encoder_lr,cost_predictor_lr,rank_warmup_epochs,weights,uncertainty_topk,grad_num,rand_num,phase,used_time,train_size,top-1,val_reg_r2,val_rank_r2,sampling_seed
0.0001,0.0001,0,"(0.4, 0.3, 0.3)",64,4,0,1,3.55,64,0,[0.6649],[None],2010
0.0001,0.0001,0,"(0.4, 0.3, 0.3)",64,4,0,1,3.45,64,0,[0.6895],[None],2011
0.0001,0.0001,0,"(0.4, 0.3, 0.3)",64,4,0,1,3.55,64,0,[0.6066],[None],2012
0.0001,0.0001,0,"(0.4, 0.3, 0.3)",64,4,0,2,7.58,128,0,"[0.7181, 0.5984]","[None, None]",2013
0.0001,0.0001,0,"(0.4, 0.3, 0.3)",64,4,0,1,3.43,64,0,[0.6881],[None],2014
0.0001,0.0001,0,"(0.4, 0.3, 0.3)",64,4,0,3,11.09,192,0,"[0.6757, 0.5921, 0.5901]","[None, None, None]",2015
0.0001,0.0001,0,"(0.4, 0.3, 0.3)",64,4,0,3,11.1,192,0,"[0.6375, 0.5199, 0.343]","[None, None, None]",2016
0.0001,0.0001,0,"(0.4, 0.3, 0.3)",64,4,0,1,3.61,64,0,[0.7327],[None],2017
0.0001,0.0001,0,"(0.4, 0.3, 0.3)",64,4,0,2,7.94,128,1,"[0.5989, 0.6187]","[None, None]",2018
0.0001,0.0001,0,"(0.4, 0.3, 0.3)",64,4,0,1,3.78,64,0,[0.6088],[None],2019
1e-05,0.0001,0,"(0.4, 0.3, 0.3)",64,4,0,1,3.7,64,0,[0.6674],[None],2010
1e-05,0.0001,0,"(0.4, 0.3, 0.3)",64,4,0,1,3.68,64,0,[0.653],[None],2011
1e-05,0.0001,0,"(0.4, 0.3, 0.3)",64,4,0,1,3.55,64,0,[0.5891],[None],2012
1e-05,0.0001,0,"(0.4, 0.3, 0.3)",64,4,0,2,7.31,128,0,"[0.6902, 0.7019]","[None, None]",2013
1e-05,0.0001,0,"(0.4, 0.3, 0.3)",64,4,0,1,3.5,64,0,[0.6797],[None],2014
1e-05,0.0001,0,"(0.4, 0.3, 0.3)",64,4,0,4,15.26,256,1,"[0.6539, 0.6277, 0.6571, 0.6561]","[None, None, None, None]",2015
1e-05,0.0001,0,"(0.4, 0.3, 0.3)",64,4,0,2,7.27,128,1,"[0.6079, 0.5808]","[None, None]",2016
1e-05,0.0001,0,"(0.4, 0.3, 0.3)",64,4,0,1,3.56,64,0,[0.716],[None],2017
1e-05,0.0001,0,"(0.4, 0.3, 0.3)",64,4,0,2,7.38,128,1,"[0.5947, 0.6245]","[None, None]",2018
1e-05,0.0001,0,"(0.4, 0.3, 0.3)",64,4,0,1,3.4,64,0,[0.5953],[None],2019
1e-05,1e-05,0,"(0.4, 0.3, 0.3)",64,4,0,1,3.45,64,0,[0.4897],[None],2010
1e-05,1e-05,0,"(0.4, 0.3, 0.3)",64,4,0,1,3.5,64,1,[0.5822],[None],2011
1e-05,1e-05,0,"(0.4, 0.3, 0.3)",64,4,0,2,7.21,128,1,"[0.6626, 0.469]","[None, None]",2012
1e-05,1e-05,0,"(0.4, 0.3, 0.3)",64,4,0,2,7.37,128,1,"[0.5406, 0.4129]","[None, None]",2013
1e-05,1e-05,0,"(0.4, 0.3, 0.3)",64,4,0,1,3.4,64,0,[0.6484],[None],2014
1e-05,1e-05,0,"(0.4, 0.3, 0.3)",64,4,0,2,7.13,128,0,"[0.4028, 0.3391]","[None, None]",2015
1e-05,1e-05,0,"(0.4, 0.3, 0.3)",64,4,0,1,3.54,64,0,[0.5065],[None],2016
1e-05,1e-05,0,"(0.4, 0.3, 0.3)",64,4,0,2,7.36,128,1,"[0.7103, 0.5657]","[None, None]",2017
1e-05,1e-05,0,"(0.4, 0.3, 0.3)",64,4,0,2,7.04,128,0,"[0.5859, 0.4496]","[None, None]",2018
1e-05,1e-05,0,"(0.4, 0.3, 0.3)",64,4,0,1,3.41,64,0,[0.5618],[None],2019
