scratch,encoder_freeze,measure_size,encoder_lr,cost_predictor_lr,rank_warmup_epochs,weights,uncertainty_topk,T_mc,grad_num,rand_num,phase,used_time,train_size,top-1,val_reg_r2,val_rank_r2,sampling_seed
False,False,48,1e-05,0.0001,0,"(0.7, 0.0, 0.3)",0,20,0,0,1,3.5,48,1,[0.3891],[None],2000
False,False,48,1e-05,0.0001,0,"(0.7, 0.0, 0.3)",0,20,0,0,10,39.3,480,0,"[0.5622, 0.4692, 0.4468, 0.3327, 0.151, 0.0199, -0.0538, -0.1407, -0.0739, -0.0249]","[None, None, None, None, None, None, None, None, None, None]",2001
False,False,48,1e-05,0.0001,0,"(0.7, 0.0, 0.3)",0,20,0,0,1,3.33,48,0,[0.4344],[None],2002
False,False,48,1e-05,0.0001,0,"(0.7, 0.0, 0.3)",0,20,0,0,1,3.34,48,0,[0.505],[None],2003
False,False,48,1e-05,0.0001,0,"(0.7, 0.0, 0.3)",0,20,0,0,1,3.21,48,0,[0.547],[None],2004
False,False,48,1e-05,0.0001,0,"(0.7, 0.0, 0.3)",0,20,0,0,2,6.57,96,0,"[0.5949, 0.5169]","[None, None]",2005
False,False,48,1e-05,0.0001,0,"(0.7, 0.0, 0.3)",0,20,0,0,1,3.32,48,0,[0.631],[None],2006
False,False,48,1e-05,0.0001,0,"(0.7, 0.0, 0.3)",0,20,0,0,2,6.86,96,0,"[0.6327, 0.5431]","[None, None]",2007
False,False,48,1e-05,0.0001,0,"(0.7, 0.0, 0.3)",0,20,0,0,2,6.74,96,0,"[0.6046, 0.5546]","[None, None]",2008
False,False,48,1e-05,0.0001,0,"(0.7, 0.0, 0.3)",0,20,0,0,1,3.21,48,0,[0.5901],[None],2009
False,False,48,1e-05,0.0001,0,"(0.7, 0.0, 0.3)",0,20,0,0,2,6.58,96,0,"[0.4703, 0.5106]","[None, None]",2010
False,False,48,1e-05,0.0001,0,"(0.7, 0.0, 0.3)",0,20,0,0,2,6.58,96,1,"[0.4229, 0.1519]","[None, None]",2011
