measure_size,scratch,encoder_freeze,encoder_lr,cost_predictor_lr,rank_warmup_epochs,weights,uncertainty_topk,grad_num,rand_num,phase,used_time,train_size,top-1,val_reg_r2,val_rank_r2,sampling_seed
64,False,False,1e-05,1e-05,100,"(1.0, 0.0, 0.0)",64,0,4,1,5.48,64,0,[0.6717],[None],2000
64,False,False,1e-05,1e-05,100,"(1.0, 0.0, 0.0)",64,0,4,1,5.58,64,0,[0.667],[None],2001
64,False,False,1e-05,1e-05,100,"(1.0, 0.0, 0.0)",64,0,4,1,5.59,64,1,[0.6109],[None],2002
64,False,False,1e-05,1e-05,100,"(1.0, 0.0, 0.0)",64,0,4,1,5.67,64,0,[0.6247],[None],2003
64,False,False,1e-05,1e-05,100,"(1.0, 0.0, 0.0)",64,0,4,1,5.36,64,0,[0.7093],[None],2004
64,False,False,1e-05,1e-05,100,"(1.0, 0.0, 0.0)",64,0,4,1,5.26,64,0,[0.5795],[None],2005
64,False,False,1e-05,1e-05,100,"(1.0, 0.0, 0.0)",64,0,4,1,4.92,64,0,[0.6447],[None],2006
64,False,False,1e-05,1e-05,100,"(1.0, 0.0, 0.0)",64,0,4,3,15.66,192,0,"[0.6641, 0.4952, 0.462]","[None, None, None]",2007
64,False,False,1e-05,1e-05,100,"(1.0, 0.0, 0.0)",64,0,4,1,4.86,64,1,[0.5354],[None],2008
64,False,False,1e-05,1e-05,100,"(1.0, 0.0, 0.0)",64,0,4,1,5.11,64,0,[0.6007],[None],2009
64,False,False,1e-05,1e-05,100,"(1.0, 0.0, 0.0)",64,0,4,1,5.13,64,0,[0.6203],[None],2010
64,False,False,1e-05,1e-05,100,"(1.0, 0.0, 0.0)",64,0,4,1,5.08,64,1,[0.6386],[None],2011
64,False,False,1e-05,1e-05,100,"(1.0, 0.0, 0.0)",64,0,4,1,4.98,64,0,[0.664],[None],2012
64,False,False,1e-05,1e-05,100,"(1.0, 0.0, 0.0)",64,0,4,2,10.45,128,0,"[0.6219, 0.5007]","[None, None]",2013
64,False,False,1e-05,1e-05,100,"(1.0, 0.0, 0.0)",64,0,4,3,16.46,192,0,"[0.6871, 0.4903, 0.4685]","[None, None, None]",2014
64,False,False,1e-05,1e-05,100,"(1.0, 0.0, 0.0)",64,0,4,4,21.54,256,0,"[0.5352, 0.418, 0.3347, 0.3411]","[None, None, None, None]",2015
64,False,False,1e-05,1e-05,100,"(1.0, 0.0, 0.0)",64,0,4,1,4.87,64,0,[0.5791],[None],2016
64,False,False,1e-05,1e-05,100,"(1.0, 0.0, 0.0)",64,0,4,1,4.82,64,0,[0.7361],[None],2017
64,False,False,1e-05,1e-05,100,"(1.0, 0.0, 0.0)",64,0,4,1,4.84,64,0,[0.6181],[None],2018
64,False,False,1e-05,1e-05,100,"(1.0, 0.0, 0.0)",64,0,4,1,4.83,64,0,[0.6024],[None],2019
