measure_size,scratch,encoder_freeze,encoder_lr,cost_predictor_lr,rank_warmup_epochs,weights,uncertainty_topk,T_mc,grad_num,rand_num,phase,train_size,used_time,top-1,val_reg_r2,val_rank_r2,seed_n,sampling_seed
64,False,False,1e-05,1e-05,0,"(0.3, 0.3, 0.4)",64,20,2,0,1.35,86.4,4.4585,0.35,[0.6151],[None],20,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]"
64,False,False,1e-05,1e-05,0,"(0.3, 0.3, 0.4)",64,20,4,0,1.35,86.4,4.465,0.35,[0.6151],[None],20,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]"
64,False,False,1e-05,1e-05,0,"(0.4, 0.3, 0.3)",64,20,2,0,1.35,86.4,4.4159999999999995,0.4,[0.6151],[None],20,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]"
64,False,False,1e-05,1e-05,0,"(0.5, 0.2, 0.3)",64,20,2,0,1.3,83.2,4.3485,0.4,[0.6151],[None],20,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]"
64,False,False,1e-05,1e-05,0,"(0.5, 0.2, 0.3)",64,20,4,0,1.3,83.2,4.369,0.4,[0.6151],[None],20,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]"
64,False,False,1e-05,1e-05,0,"(0.6, 0.1, 0.3)",64,20,2,0,1.3,83.2,4.3285,0.4,[0.6151],[None],20,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]"
64,False,False,1e-05,1e-05,0,"(0.6, 0.1, 0.3)",64,20,4,0,1.3,83.2,4.2855,0.4,[0.6151],[None],20,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]"
64,False,False,1e-05,1e-05,0,"(0.7, 0.3, 0.0)",64,20,2,0,1.45,92.8,4.863,0.2,[0.6151],[None],20,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]"
64,False,False,1e-05,1e-05,0,"(0.7, 0.3, 0.0)",64,20,4,0,1.6,102.4,5.4235,0.3,[0.6151],[None],20,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]"
64,False,False,1e-05,1e-05,100,"(0.3, 0.3, 0.4)",64,20,2,0,1.35,86.4,4.474,0.3,[0.6717],[None],20,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]"
64,False,False,1e-05,1e-05,100,"(0.3, 0.3, 0.4)",64,20,4,0,1.3,83.2,4.33,0.25,[0.6717],[None],20,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]"
64,False,False,1e-05,1e-05,100,"(0.4, 0.3, 0.3)",64,20,2,0,1.3,83.2,4.289,0.35,[0.6717],[None],20,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]"
64,False,False,1e-05,1e-05,100,"(0.5, 0.2, 0.3)",64,20,2,0,1.3,83.2,4.238,0.35,[0.6717],[None],20,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]"
