measure_size,scratch,encoder_freeze,encoder_lr,cost_predictor_lr,rank_warmup_epochs,lambda_pair,weights,uncertainty_topk,grad_num,rand_num,phase,used_time,train_size,top-1,val_reg_r2,val_rank_r2,sampling_seed
64,False,False,1e-05,1e-05,200,2.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.52,64,0,[0.7138],[None],2000
64,False,False,1e-05,1e-05,200,2.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.38,64,0,[0.6784],[None],2001
64,False,False,1e-05,1e-05,200,2.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.23,64,1,[0.6561],[None],2002
64,False,False,1e-05,1e-05,200,2.0,"(0.6, 0.1, 0.3)",64,2,0,2,6.64,128,1,"[0.6651, 0.6718]","[None, None]",2003
64,False,False,1e-05,1e-05,200,2.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.22,64,0,[0.7433],[None],2004
64,False,False,1e-05,1e-05,200,2.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.21,64,0,[0.6401],[None],2005
64,False,False,1e-05,1e-05,200,2.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.24,64,0,[0.698],[None],2006
64,False,False,1e-05,1e-05,200,2.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.21,64,0,[0.6944],[None],2007
64,False,False,1e-05,1e-05,200,2.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.25,64,1,[0.5914],[None],2008
64,False,False,1e-05,1e-05,200,2.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.24,64,0,[0.6611],[None],2009
64,False,False,1e-05,1e-05,200,2.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.22,64,0,[0.7093],[None],2010
64,False,False,1e-05,1e-05,200,2.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.2,64,1,[0.6809],[None],2011
64,False,False,1e-05,1e-05,200,2.0,"(0.6, 0.1, 0.3)",64,2,0,2,6.83,128,1,"[0.6908, 0.6643]","[None, None]",2012
64,False,False,1e-05,1e-05,200,2.0,"(0.6, 0.1, 0.3)",64,2,0,2,6.63,128,1,"[0.6876, 0.5318]","[None, None]",2013
64,False,False,1e-05,1e-05,200,2.0,"(0.6, 0.1, 0.3)",64,2,0,2,6.81,128,0,"[0.7133, 0.5771]","[None, None]",2014
64,False,False,1e-05,1e-05,200,2.0,"(0.6, 0.1, 0.3)",64,2,0,2,6.63,128,0,"[0.6322, 0.5371]","[None, None]",2015
64,False,False,1e-05,1e-05,200,2.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.22,64,0,[0.6374],[None],2016
64,False,False,1e-05,1e-05,200,2.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.22,64,0,[0.7504],[None],2017
64,False,False,1e-05,1e-05,200,2.0,"(0.6, 0.1, 0.3)",64,2,0,2,6.63,128,1,"[0.6615, 0.6268]","[None, None]",2018
64,False,False,1e-05,1e-05,200,2.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.2,64,0,[0.6524],[None],2019
