,encoder_freeze,scratch,measure_size,weights,uncertainty_topk,grad_num,rand_num,T_mc,encoder_lr,cost_predictor_lr,rank_warmup_epochs,lambda_pair,margin_scale,lambda_smooth,lambda_infonce,tau,tau_c,phase,train_size,top-1,used_time,val_reg_r2,val_rank_r2,sampling_seed
0,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.001,0.05,,1,64,0,4.24,[0.7125],[None],2000
1,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.001,0.05,,1,64,0,4.04,[0.594],[None],2001
2,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.001,0.05,,1,64,1,4.03,[0.6956],[None],2002
3,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.001,0.05,,2,128,1,8.53,"[0.6654, 0.6814]","[None, None]",2003
4,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.001,0.05,,1,64,0,4.05,[0.7129],[None],2004
5,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.001,0.05,,1,64,0,4.05,[0.6523],[None],2005
6,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.001,0.05,,1,64,0,4.03,[0.6638],[None],2006
7,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.001,0.05,,1,64,0,4.03,[0.6251],[None],2007
8,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.001,0.05,,1,64,1,4.15,[0.4908],[None],2008
9,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.001,0.05,,1,64,0,4.02,[0.6428],[None],2009
