,measure_size,scratch,encoder_freeze,encoder_lr,cost_predictor_lr,rank_warmup_epochs,weights,uncertainty_topk,grad_num,rand_num,phase,used_time,train_size,top-1,val_reg_r2,val_rank_r2,sampling_seed,lambda_pair,lambda_infonce,tau,tau_c,beta,gamma,noise_std,margin_scale,lambda_reg,feature_predictor_lr,epochs
0,48,False,False,1e-05,1e-05,100,"(1.0, 0.0, 0.0)",64,2,0,1,5.04,48,1.0,[0.3974],[None],2000,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
1,64,False,False,0.0001,0.01,0,"(0.4, 0.3, 0.3)",64,4,0,1,3.44,64,,[0.8153],[None],2000,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
2,64,False,False,0.0001,0.01,0,"(0.4, 0.3, 0.3)",64,4,0,1,3.44,64,,[0.713],[None],2001,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
3,64,False,False,0.0001,0.01,0,"(0.4, 0.3, 0.3)",64,4,0,1,3.41,64,,[0.7737],[None],2002,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
4,64,False,False,0.0001,0.01,0,"(0.4, 0.3, 0.3)",64,4,0,3,11.19,192,,"[0.7897, 0.7438, 0.8066]","[None, None, None]",2003,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
5,64,False,False,0.0001,0.01,0,"(0.4, 0.3, 0.3)",64,4,0,3,10.98,192,,"[0.7887, 0.8399, 0.8845]","[None, None, None]",2004,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
6,64,False,False,0.0001,0.01,0,"(0.4, 0.3, 0.3)",64,4,0,3,11.33,192,,"[0.7825, 0.8218, 0.8472]","[None, None, None]",2005,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
7,64,False,False,0.0001,0.01,0,"(0.4, 0.3, 0.3)",64,4,0,2,7.34,128,,"[0.7903, 0.8258]","[None, None]",2006,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
8,64,False,False,0.0001,0.01,0,"(0.4, 0.3, 0.3)",64,4,0,5,20.13,320,,"[0.7619, 0.8531, 0.8673, 0.8834, 0.8776]","[None, None, None, None, None]",2007,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9,64,False,False,0.0001,0.01,0,"(0.4, 0.3, 0.3)",64,4,0,1,3.38,64,,[0.6403],[None],2008,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
10,64,False,False,0.0001,0.01,0,"(0.4, 0.3, 0.3)",64,4,0,1,3.38,64,,[0.7809],[None],2009,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
11,64,False,False,0.0001,0.01,0,"(0.4, 0.3, 0.3)",64,4,0,1,3.37,64,,[0.7674],[None],2010,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
12,64,False,False,0.0001,0.01,0,"(0.4, 0.3, 0.3)",64,4,0,1,3.49,64,,[0.7981],[None],2011,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
13,64,False,False,0.0001,0.01,0,"(0.4, 0.3, 0.3)",64,4,0,2,7.01,128,,"[0.7616, 0.8179]","[None, None]",2012,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
