measure_size,weights,uncertainty_topk,grad_num,rand_num,phase,used_time,train_size,val_reg_r2,val_rank_r2,sampling_seed
64,"(0.4, 0.3, 0.3)",64,4,0,3,10.67,192,"[0.1444, -0.0006, -0.057]","[None, None, None]",2000
64,"(0.4, 0.3, 0.3)",64,4,0,4,14.8,256,"[0.4283, 0.2074, 0.0882, 0.1138]","[None, None, None, None]",2001
64,"(0.4, 0.3, 0.3)",64,4,0,1,3.51,64,[0.3378],[None],2002
64,"(0.4, 0.3, 0.3)",64,4,0,1,3.48,64,[0.4659],[None],2003
64,"(0.4, 0.3, 0.3)",64,4,0,5,19.08,320,"[0.2422, 0.1308, 0.1226, -0.0055, -0.0487]","[None, None, None, None, None]",2004
64,"(0.4, 0.3, 0.3)",64,4,0,4,14.83,256,"[0.2688, 0.0967, -0.119, -0.068]","[None, None, None, None]",2005
64,"(0.4, 0.3, 0.3)",64,4,0,3,10.88,192,"[0.489, 0.1701, 0.1728]","[None, None, None]",2006
64,"(0.4, 0.3, 0.3)",64,4,0,6,23.93,384,"[-0.2373, -0.028, -0.1363, -0.1665, -0.2295, -0.3268]","[None, None, None, None, None, None]",2007
64,"(0.4, 0.3, 0.3)",64,4,0,4,14.96,256,"[0.2788, 0.082, 0.0236, -0.082]","[None, None, None, None]",2008
64,"(0.4, 0.3, 0.3)",64,4,0,5,19.06,320,"[0.2004, 0.1713, -0.0644, -0.1115, -0.2662]","[None, None, None, None, None]",2009
