measure_size,encoder_freeze,scratch,cost_predictor_lr,weights,uncertainty_topk,grad_num,rand_num,phase,used_time,train_size,val_reg_r2,val_rank_r2,sampling_seed
64,False,False,0.01,"(0.4, 0.3, 0.3)",64,4,0,2,6.79,128,"[0.7264, 0.698]","[None, None]",2000
64,False,False,0.01,"(0.4, 0.3, 0.3)",64,4,0,1,3.43,64,[0.6767],[None],2001
64,False,False,0.01,"(0.4, 0.3, 0.3)",64,4,0,1,3.37,64,[0.7302],[None],2002
64,False,False,0.001,"(0.4, 0.3, 0.3)",64,4,0,5,19.03,320,"[0.694, 0.758, 0.7363, 0.7743, 0.7641]","[None, None, None, None, None]",2000
64,False,False,0.001,"(0.4, 0.3, 0.3)",64,4,0,1,3.38,64,[0.6689],[None],2001
64,False,False,0.001,"(0.4, 0.3, 0.3)",64,4,0,1,3.39,64,[0.7344],[None],2002
64,False,True,0.01,"(0.4, 0.3, 0.3)",64,4,0,6,23.28,384,"[0.7321, 0.7676, 0.7665, 0.7615, 0.7541, 0.7352]","[None, None, None, None, None, None]",2000
64,False,True,0.01,"(0.4, 0.3, 0.3)",64,4,0,1,3.44,64,[0.7231],[None],2001
64,False,True,0.01,"(0.4, 0.3, 0.3)",64,4,0,5,18.87,320,"[0.7601, 0.7487, 0.7175, 0.762, 0.7416]","[None, None, None, None, None]",2002
64,False,True,0.001,"(0.4, 0.3, 0.3)",64,4,0,2,7.03,128,"[0.7383, 0.7687]","[None, None]",2000
64,False,True,0.001,"(0.4, 0.3, 0.3)",64,4,0,1,3.39,64,[0.7308],[None],2001
64,False,True,0.001,"(0.4, 0.3, 0.3)",64,4,0,5,18.94,320,"[0.7546, 0.6884, 0.7359, 0.7568, 0.7268]","[None, None, None, None, None]",2002
64,True,False,0.01,"(0.4, 0.3, 0.3)",64,4,0,2,5.66,128,"[0.7189, 0.7174]","[None, None]",2000
64,True,False,0.01,"(0.4, 0.3, 0.3)",64,4,0,1,2.76,64,[0.6561],[None],2001
64,True,False,0.01,"(0.4, 0.3, 0.3)",64,4,0,4,12.07,256,"[0.7288, 0.7506, 0.7417, 0.7349]","[None, None, None, None]",2002
64,True,False,0.001,"(0.4, 0.3, 0.3)",64,4,0,3,8.98,192,"[0.6195, 0.7354, 0.7506]","[None, None, None]",2000
64,True,False,0.001,"(0.4, 0.3, 0.3)",64,4,0,1,2.8,64,[0.6139],[None],2001
64,True,False,0.001,"(0.4, 0.3, 0.3)",64,4,0,2,5.8,128,"[0.6897, 0.7081]","[None, None]",2002
64,True,True,0.01,"(0.4, 0.3, 0.3)",64,4,0,6,19.43,384,"[0.5552, 0.6617, 0.6382, 0.6258, 0.5015, 0.5698]","[None, None, None, None, None, None]",2000
64,True,True,0.01,"(0.4, 0.3, 0.3)",64,4,0,1,2.67,64,[0.527],[None],2001
64,True,True,0.01,"(0.4, 0.3, 0.3)",64,4,0,8,27.15,512,"[0.6434, 0.6306, 0.5987, 0.4717, 0.5882, 0.536, 0.4247, 0.4077]","[None, None, None, None, None, None, None, None]",2002
64,True,True,0.001,"(0.4, 0.3, 0.3)",64,4,0,10,42.96,640,"[0.5644, 0.5984, 0.6326, 0.5459, 0.5026, 0.4858, 0.3727, 0.3455, 0.4865, 0.4551]","[None, None, None, None, None, None, None, None, None, None]",2000
64,True,True,0.001,"(0.4, 0.3, 0.3)",64,4,0,1,3.2,64,[0.5987],[None],2001
64,True,True,0.001,"(0.4, 0.3, 0.3)",64,4,0,6,19.95,384,"[0.6609, 0.612, 0.548, 0.5528, 0.5326, 0.4676]","[None, None, None, None, None, None]",2002
