measure_size,scratch,encoder_freeze,encoder_lr,cost_predictor_lr,rank_warmup_epochs,weights,uncertainty_topk,grad_num,rand_num,phase,used_time,train_size,top-1,val_reg_r2,val_rank_r2,sampling_seed
64,False,False,1e-05,0.0001,300,"(0.4, 0.3, 0.3)",64,4,0,3,16.5,192,0,"[0.6039, 0.6774, 0.6417]","[None, None, None]",2000
64,False,False,1e-05,0.0001,300,"(0.4, 0.3, 0.3)",64,4,0,1,4.88,64,0,[0.5572],[None],2001
64,False,False,1e-05,0.0001,300,"(0.4, 0.3, 0.3)",64,4,0,2,10.3,128,0,"[0.6471, 0.6407]","[None, None]",2002
64,False,False,1e-05,0.0001,300,"(0.4, 0.3, 0.3)",64,4,0,2,10.45,128,0,"[0.6167, 0.6533]","[None, None]",2003
64,False,False,1e-05,0.0001,300,"(0.4, 0.3, 0.3)",64,4,0,3,16.37,192,0,"[0.535, 0.6602, 0.6206]","[None, None, None]",2004
64,False,False,1e-05,0.0001,300,"(0.4, 0.3, 0.3)",64,4,0,2,10.37,128,0,"[0.6769, 0.6825]","[None, None]",2005
64,False,False,1e-05,0.0001,300,"(0.4, 0.3, 0.3)",64,4,0,2,10.47,128,0,"[0.5967, 0.681]","[None, None]",2006
64,False,False,1e-05,0.0001,300,"(0.4, 0.3, 0.3)",64,4,0,3,16.63,192,0,"[0.5115, 0.7144, 0.699]","[None, None, None]",2007
64,False,False,1e-05,0.0001,300,"(0.4, 0.3, 0.3)",64,4,0,2,10.44,128,0,"[0.6025, 0.6623]","[None, None]",2008
64,False,False,1e-05,0.0001,300,"(0.4, 0.3, 0.3)",64,4,0,2,10.18,128,0,"[0.6639, 0.6737]","[None, None]",2009
64,False,False,1e-05,0.0001,300,"(0.4, 0.3, 0.3)",64,4,0,5,28.98,320,0,"[0.5317, 0.6449, 0.6649, 0.6549, 0.6393]","[None, None, None, None, None]",2010
64,False,False,1e-05,0.0001,300,"(0.4, 0.3, 0.3)",64,4,0,3,16.66,192,0,"[0.6453, 0.6715, 0.6798]","[None, None, None]",2011
64,False,False,1e-05,0.0001,300,"(0.4, 0.3, 0.3)",64,4,0,3,16.19,192,0,"[0.6351, 0.5937, 0.6631]","[None, None, None]",2012
64,False,False,1e-05,0.0001,300,"(0.4, 0.3, 0.3)",64,4,0,2,10.8,128,0,"[0.5636, 0.6213]","[None, None]",2013
64,False,False,1e-05,0.0001,300,"(0.4, 0.3, 0.3)",64,4,0,3,17.63,192,0,"[0.5941, 0.6948, 0.6798]","[None, None, None]",2014
64,False,False,1e-05,0.0001,300,"(0.4, 0.3, 0.3)",64,4,0,3,16.88,192,0,"[0.6263, 0.626, 0.6474]","[None, None, None]",2015
64,False,False,1e-05,0.0001,300,"(0.4, 0.3, 0.3)",64,4,0,3,17.16,192,0,"[0.5987, 0.6584, 0.6678]","[None, None, None]",2016
64,False,False,1e-05,0.0001,300,"(0.4, 0.3, 0.3)",64,4,0,2,10.27,128,0,"[0.5223, 0.6989]","[None, None]",2017
64,False,False,1e-05,0.0001,300,"(0.4, 0.3, 0.3)",64,4,0,3,15.49,192,0,"[0.5962, 0.6518, 0.6348]","[None, None, None]",2018
64,False,False,1e-05,0.0001,300,"(0.4, 0.3, 0.3)",64,4,0,2,10.67,128,0,"[0.6134, 0.6509]","[None, None]",2019
