,encoder_freeze,scratch,measure_size,weights,uncertainty_topk,grad_num,rand_num,T_mc,encoder_lr,cost_predictor_lr,rank_warmup_epochs,lambda_reg,lambda_pair,lambda_infonce,gamma,beta,noise_std,margin_scale,tau,tau_c,feature_predictor_lr,epochs,phase,train_size,top-1,used_time,val_reg_r2,val_rank_r2,sampling_seed
0,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.01,0.01,0.01,0.001,0.3,0.05,,0.0,1000,3,192,0,13.24,"[0.6046, 0.655, 0.6541]","[None, None, None]",2000
1,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.01,0.01,0.01,0.001,0.3,0.05,,0.0,1000,1,64,0,4.13,[0.5583],[None],2001
2,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.01,0.01,0.01,0.001,0.3,0.05,,0.0,1000,2,128,0,8.45,"[0.6424, 0.6275]","[None, None]",2002
3,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.01,0.01,0.01,0.001,0.3,0.05,,0.0,1000,2,128,0,8.51,"[0.6229, 0.6613]","[None, None]",2003
4,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.01,0.01,0.01,0.001,0.3,0.05,,0.0,1000,5,320,0,22.86,"[0.5503, 0.6314, 0.6152, 0.6267, 0.6135]","[None, None, None, None, None]",2004
5,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.01,0.01,0.01,0.001,0.3,0.05,,0.0,1000,2,128,0,8.64,"[0.6811, 0.701]","[None, None]",2005
6,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.01,0.01,0.01,0.001,0.3,0.05,,0.0,1000,2,128,0,8.66,"[0.5995, 0.6741]","[None, None]",2006
7,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.01,0.01,0.01,0.001,0.3,0.05,,0.0,1000,3,192,0,13.04,"[0.5183, 0.6985, 0.7178]","[None, None, None]",2007
8,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.01,0.01,0.01,0.001,0.3,0.05,,0.0,1000,2,128,0,8.36,"[0.6091, 0.6451]","[None, None]",2008
9,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.01,0.01,0.01,0.001,0.3,0.05,,0.0,1000,2,128,0,8.36,"[0.6675, 0.6512]","[None, None]",2009
10,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.01,0.01,0.01,0.001,0.3,0.05,,0.0,1000,3,192,0,12.84,"[0.5436, 0.6607, 0.6394]","[None, None, None]",2010
11,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.01,0.01,0.01,0.001,0.3,0.05,,0.0,1000,3,192,0,12.87,"[0.6514, 0.6611, 0.6722]","[None, None, None]",2011
12,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.01,0.01,0.01,0.001,0.3,0.05,,0.0,1000,2,128,0,8.36,"[0.6372, 0.6221]","[None, None]",2012
13,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.01,0.01,0.01,0.001,0.3,0.05,,0.0,1000,2,128,0,8.39,"[0.5676, 0.6477]","[None, None]",2013
14,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.01,0.01,0.01,0.001,0.3,0.05,,0.0,1000,4,256,0,17.66,"[0.5923, 0.7206, 0.7067, 0.6481]","[None, None, None, None]",2014
15,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.01,0.01,0.01,0.001,0.3,0.05,,0.0,1000,3,192,0,13.02,"[0.6326, 0.6742, 0.6386]","[None, None, None]",2015
16,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.01,0.01,0.01,0.001,0.3,0.05,,0.0,1000,3,192,0,13.13,"[0.6048, 0.679, 0.6876]","[None, None, None]",2016
