encoder_freeze,scratch,measure_size,weights,uncertainty_topk,grad_num,rand_num,T_mc,encoder_lr,cost_predictor_lr,rank_warmup_epochs,lambda_reg,lambda_pair,lambda_infonce,gamma,beta,noise_std,margin_scale,tau,tau_c,feature_predictor_lr,epochs,phase,train_size,top-1,used_time,val_reg_r2,val_rank_r2,seed_n,sampling_seed
False,False,64,"(0.3, 0.3, 0.4)",64,4,0,20,1e-05,1e-05,100,0.01,2.0,0.1,0.01,0.01,0.001,0.3,0.05,,0.0,1000,3.15,201.6,0.0,13.889000000000001,"[0.5578, 0.6022, 0.5484, 0.5406, 0.5415]","[None, None, None, None, None]",20,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]"
False,False,64,"(0.3, 0.3, 0.4)",64,4,0,20,1e-05,1e-05,100,0.01,2.0,0.2,0.01,0.01,0.001,0.3,0.05,,0.0,1000,2.95,188.8,0.0,12.8045,"[0.4074, 0.5126, 0.4819, 0.4757]","[None, None, None, None]",20,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]"
False,False,64,"(0.3, 0.3, 0.4)",64,4,0,20,1e-05,1e-05,100,0.01,3.0,0.1,0.01,0.01,0.001,0.3,0.05,,0.0,1000,2.95,188.8,0.0,13.172,"[0.1239, 0.1191, -0.1123, -0.2338]","[None, None, None, None]",20,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]"
False,False,64,"(0.3, 0.3, 0.4)",64,4,0,20,1e-05,1e-05,100,0.01,3.0,0.2,0.01,0.01,0.001,0.3,0.05,,0.0,1000,3.25,208.0,0.0,14.4845,"[-0.3989, -0.5019, -0.9556, -0.6322]","[None, None, None, None]",20,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]"
False,False,64,"(0.3, 0.3, 0.4)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.1,0.01,0.01,0.001,0.3,0.05,,0.0,1000,2.9,185.6,0.0,12.593,"[0.5809, 0.6555, 0.6499]","[None, None, None]",20,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]"
False,False,64,"(0.3, 0.3, 0.4)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.2,0.01,0.01,0.001,0.3,0.05,,0.0,1000,3.05,195.2,0.0,13.342500000000001,"[0.5726, 0.6397, 0.6607]","[None, None, None]",20,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]"
False,False,64,"(0.3, 0.3, 0.4)",64,4,0,20,1e-05,0.0001,100,0.01,3.0,0.1,0.01,0.01,0.001,0.3,0.05,,0.0,1000,2.55,163.2,0.0,10.927,"[0.5846, 0.6271, 0.6091, 0.6582]","[None, None, None, None]",20,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]"
False,False,64,"(0.3, 0.3, 0.4)",64,4,0,20,1e-05,0.0001,100,0.01,3.0,0.2,0.01,0.01,0.001,0.3,0.05,,0.0,1000,2.6,166.4,0.0,11.3065,"[0.5736, 0.613, 0.6204]","[None, None, None]",20,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]"
False,False,64,"(0.3, 0.3, 0.4)",128,4,0,20,1e-05,1e-05,100,0.01,2.0,0.1,0.01,0.01,0.001,0.3,0.05,,0.0,1000,3.15,201.6,0.0,13.8415,"[0.5578, 0.5986, 0.5493, 0.5213, 0.5285]","[None, None, None, None, None]",20,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]"
False,False,64,"(0.3, 0.3, 0.4)",128,4,0,20,1e-05,1e-05,100,0.01,2.0,0.2,0.01,0.01,0.001,0.3,0.05,,0.0,1000,3.25,208.0,0.0,14.356,"[0.4074, 0.4921, 0.4518, 0.4613, 0.4513]","[None, None, None, None, None]",20,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]"
