,measure_size,encoder_freeze,scratch,weights,uncertainty_topk,grad_num,rand_num,encoder_lr,cost_predictor_lr,rank_warmup_epochs,lambda_pair,margin_scale,phase,train_size,top-1,used_time,val_reg_r2,val_rank_r2,sampling_seed,lambda_infonce,tau,tau_c,beta,gamma,noise_std,lambda_reg,feature_predictor_lr,epochs
0,64,False,False,"(0.6, 0.1, 0.3)",64.0,4,0,1e-05,0.0001,100,3.0,0.3,4,256,0.0,14.79,"[0.6052, 0.6311, 0.6198, 0.6371]","[None, None, None, None]",2000,0.0,0.0,,0.01,0.01,0.001,,,
1,64,False,False,"(0.6, 0.1, 0.3)",64.0,4,0,1e-05,0.0001,100,3.0,0.3,1,64,0.0,3.38,[0.5482],[None],2001,0.0,0.0,,0.01,0.01,0.001,,,
2,64,False,False,"(0.6, 0.1, 0.3)",64.0,4,0,1e-05,0.0001,100,3.0,0.3,2,128,0.0,7.16,"[0.6397, 0.5774]","[None, None]",2002,0.0,0.0,,0.01,0.01,0.001,,,
3,64,False,False,"(0.6, 0.1, 0.3)",64.0,4,0,1e-05,0.0001,100,3.0,0.3,2,128,0.0,6.79,"[0.6177, 0.6269]","[None, None]",2003,0.0,0.0,,0.01,0.01,0.001,,,
4,64,False,False,"(0.6, 0.1, 0.3)",64.0,4,0,1e-05,0.0001,100,3.0,0.3,4,256,0.0,14.46,"[0.5467, 0.5756, 0.5546, 0.5755]","[None, None, None, None]",2004,0.0,0.0,,0.01,0.01,0.001,,,
5,64,False,False,"(0.6, 0.1, 0.3)",64.0,4,0,1e-05,0.0001,100,3.0,0.3,2,128,0.0,6.71,"[0.6795, 0.683]","[None, None]",2005,0.0,0.0,,0.01,0.01,0.001,,,
6,64,False,False,"(0.6, 0.1, 0.3)",64.0,4,0,1e-05,0.0001,100,3.0,0.3,2,128,0.0,6.76,"[0.5933, 0.6556]","[None, None]",2006,0.0,0.0,,0.01,0.01,0.001,,,
7,64,False,False,"(0.6, 0.1, 0.3)",64.0,4,0,1e-05,0.0001,100,3.0,0.3,3,192,0.0,10.4,"[0.5085, 0.6942, 0.6821]","[None, None, None]",2007,0.0,0.0,,0.01,0.01,0.001,,,
8,64,False,False,"(0.6, 0.1, 0.3)",64.0,4,0,1e-05,0.0001,100,3.0,0.3,2,128,0.0,6.66,"[0.6001, 0.6336]","[None, None]",2008,0.0,0.0,,0.01,0.01,0.001,,,
9,64,False,False,"(0.6, 0.1, 0.3)",64.0,4,0,1e-05,0.0001,100,3.0,0.3,2,128,0.0,6.68,"[0.6655, 0.6442]","[None, None]",2009,0.0,0.0,,0.01,0.01,0.001,,,
10,64,False,False,"(0.6, 0.1, 0.3)",64.0,4,0,1e-05,0.0001,100,3.0,0.3,3,192,0.0,10.32,"[0.5331, 0.6521, 0.6381]","[None, None, None]",2010,0.0,0.0,,0.01,0.01,0.001,,,
