weights,phase,used_time,train_size,val_reg_r2,val_rank_r2,sampling_seed
"(0.3, 0.0, 0.7)",4,42.85,256,"[0.7134, 0.6951, 0.4022, 0.3625]","[0.8184, 0.8754, 0.8683, 0.8835]",2023
"(0.3, 0.0, 0.7)",4,42.27,256,"[0.6896, 0.5774, 0.4759, 0.3107]","[0.8422, 0.8599, 0.8753, 0.8871]",2025
"(0.3, 0.1, 0.6)",3,30.87,192,"[0.7134, 0.656, 0.5278]","[0.8184, 0.8687, 0.8689]",2023
"(0.3, 0.1, 0.6)",7,78.72,448,"[0.6896, 0.4965, 0.5876, 0.4994, 0.3334, 0.2552, 0.3006]","[0.8422, 0.8659, 0.8893, 0.8872, 0.8896, 0.8968, 0.8936]",2025
"(0.3, 0.2, 0.5)",3,32.22,192,"[0.7134, 0.5041, 0.4612]","[0.8184, 0.8676, 0.8753]",2023
"(0.3, 0.2, 0.5)",4,42.93,256,"[0.6896, 0.536, 0.4519, 0.3684]","[0.8422, 0.8653, 0.8787, 0.8826]",2025
"(0.3, 0.3, 0.4)",3,30.6,192,"[0.7134, 0.6743, 0.4605]","[0.8184, 0.8642, 0.8732]",2023
"(0.3, 0.3, 0.4)",5,54.16,320,"[0.6896, 0.4387, 0.5216, 0.3398, 0.3819]","[0.8422, 0.8592, 0.8802, 0.8817, 0.8908]",2025
"(0.3, 0.4, 0.3)",3,30.53,192,"[0.7134, 0.5538, 0.3629]","[0.8184, 0.871, 0.8686]",2023
"(0.3, 0.4, 0.3)",4,41.72,256,"[0.6896, 0.3496, 0.4804, 0.3313]","[0.8422, 0.8589, 0.8886, 0.8829]",2025
"(0.3, 0.5, 0.2)",3,30.54,192,"[0.7134, 0.7127, 0.458]","[0.8184, 0.8692, 0.878]",2023
"(0.3, 0.5, 0.2)",7,78.98,448,"[0.6896, 0.4291, 0.4714, 0.4043, 0.2493, 0.2729, 0.2193]","[0.8422, 0.8695, 0.8843, 0.8931, 0.8926, 0.8946, 0.9013]",2025
"(0.3, 0.6, 0.1)",3,30.47,192,"[0.7134, 0.709, 0.4969]","[0.8184, 0.8656, 0.8767]",2023
"(0.3, 0.6, 0.1)",5,54.28,320,"[0.6896, 0.3681, 0.3757, 0.1179, 0.0147]","[0.8422, 0.8562, 0.8698, 0.8855, 0.8826]",2025
"(0.3, 0.7, 0.0)",3,31.24,192,"[0.7134, 0.5135, 0.3584]","[0.8184, 0.8655, 0.8718]",2023
"(0.3, 0.7, 0.0)",3,30.65,192,"[0.6896, 0.3942, 0.3182]","[0.8422, 0.8488, 0.8701]",2025
"(0.4, 0.0, 0.6)",3,31.11,192,"[0.7134, 0.6661, 0.4668]","[0.8184, 0.8727, 0.8755]",2023
"(0.4, 0.0, 0.6)",6,67.2,384,"[0.6896, 0.564, 0.4695, 0.3973, 0.2181, 0.2735]","[0.8422, 0.8648, 0.8803, 0.8926, 0.8893, 0.8941]",2025
"(0.4, 0.1, 0.5)",3,30.65,192,"[0.7134, 0.5472, 0.4686]","[0.8184, 0.8641, 0.8724]",2023
"(0.4, 0.1, 0.5)",4,42.32,256,"[0.6896, 0.5096, 0.4519, 0.3081]","[0.8422, 0.8609, 0.8751, 0.8889]",2025
"(0.4, 0.2, 0.4)",3,30.68,192,"[0.7134, 0.6787, 0.4208]","[0.8184, 0.8673, 0.877]",2023
"(0.4, 0.2, 0.4)",4,42.13,256,"[0.6896, 0.5631, 0.5039, 0.4262]","[0.8422, 0.8629, 0.8876, 0.8962]",2025
"(0.4, 0.3, 0.3)",3,31.35,192,"[0.7134, 0.669, 0.4816]","[0.8184, 0.8678, 0.8758]",2023
"(0.4, 0.3, 0.3)",5,53.87,320,"[0.6896, 0.4476, 0.4371, 0.3293, 0.1851]","[0.8422, 0.8557, 0.8788, 0.8799, 0.8887]",2025
"(0.4, 0.4, 0.2)",3,31.35,192,"[0.7134, 0.5874, 0.4395]","[0.8184, 0.8638, 0.8729]",2023
"(0.4, 0.4, 0.2)",5,54.13,320,"[0.6896, 0.4277, 0.3917, 0.1897, 0.1049]","[0.8422, 0.8548, 0.8824, 0.8764, 0.8809]",2025
"(0.4, 0.5, 0.1)",3,30.88,192,"[0.7134, 0.3335, 0.3525]","[0.8184, 0.8567, 0.8743]",2023
"(0.4, 0.5, 0.1)",5,54.86,320,"[0.6896, 0.4181, 0.3956, 0.1627, 0.1076]","[0.8422, 0.8536, 0.8728, 0.8758, 0.891]",2025
"(0.4, 0.6, 0.0)",3,31.36,192,"[0.7134, 0.6378, 0.2685]","[0.8184, 0.8644, 0.8624]",2023
"(0.4, 0.6, 0.0)",5,54.1,320,"[0.6896, 0.2864, 0.3022, -0.0568, -0.0016]","[0.8422, 0.8524, 0.8725, 0.8718, 0.8834]",2025
"(0.5, 0.0, 0.5)",3,30.55,192,"[0.7134, 0.5902, 0.5474]","[0.8184, 0.8772, 0.8786]",2023
