measure_size,weights,uncertainty_topk,grad_num,rand_num,phase,used_time,train_size,val_reg_r2,val_rank_r2,sampling_seed
64,"(0.6, 0.1, 0.3)",64,0,0,2,7.06,128,"[0.7609, 0.5291]","[None, None]",2000
64,"(0.6, 0.1, 0.3)",64,0,0,1,3.36,64,[0.7088],[None],2001
64,"(0.6, 0.1, 0.3)",64,0,0,1,3.41,64,[0.7988],[None],2002
64,"(0.6, 0.1, 0.3)",64,0,0,3,10.69,192,"[0.7705, 0.5967, 0.3261]","[None, None, None]",2003
64,"(0.6, 0.1, 0.3)",64,0,0,2,6.95,128,"[0.7366, 0.5059]","[None, None]",2004
64,"(0.6, 0.1, 0.3)",64,0,0,2,6.96,128,"[0.7421, 0.576]","[None, None]",2005
64,"(0.6, 0.1, 0.3)",64,0,0,2,6.98,128,"[0.7234, 0.6728]","[None, None]",2006
64,"(0.6, 0.1, 0.3)",64,0,0,4,14.75,256,"[0.703, 0.72, 0.4385, 0.4093]","[None, None, None, None]",2007
64,"(0.6, 0.1, 0.3)",64,2,0,2,6.95,128,"[0.7609, 0.5547]","[None, None]",2000
64,"(0.6, 0.1, 0.3)",64,2,0,1,3.34,64,[0.7088],[None],2001
64,"(0.6, 0.1, 0.3)",64,2,0,1,3.36,64,[0.7988],[None],2002
64,"(0.6, 0.1, 0.3)",64,2,0,3,10.66,192,"[0.7705, 0.5282, 0.3801]","[None, None, None]",2003
64,"(0.6, 0.1, 0.3)",64,2,0,2,6.92,128,"[0.7366, 0.5282]","[None, None]",2004
64,"(0.6, 0.1, 0.3)",64,2,0,2,6.93,128,"[0.7421, 0.6306]","[None, None]",2005
64,"(0.6, 0.1, 0.3)",64,2,0,2,7.28,128,"[0.7234, 0.6691]","[None, None]",2006
64,"(0.6, 0.1, 0.3)",64,2,0,4,15.23,256,"[0.703, 0.65, 0.3808, 0.2959]","[None, None, None, None]",2007
64,"(0.6, 0.1, 0.3)",64,4,0,2,7.23,128,"[0.7609, 0.536]","[None, None]",2000
64,"(0.6, 0.1, 0.3)",64,4,0,1,3.57,64,[0.7088],[None],2001
64,"(0.6, 0.1, 0.3)",64,4,0,1,3.51,64,[0.7988],[None],2002
64,"(0.6, 0.1, 0.3)",64,4,0,3,11.14,192,"[0.7705, 0.583, 0.4161]","[None, None, None]",2003
64,"(0.6, 0.1, 0.3)",64,4,0,2,6.91,128,"[0.7366, 0.5354]","[None, None]",2004
64,"(0.6, 0.1, 0.3)",64,4,0,2,6.91,128,"[0.7421, 0.6062]","[None, None]",2005
64,"(0.6, 0.1, 0.3)",64,4,0,2,6.91,128,"[0.7234, 0.7727]","[None, None]",2006
64,"(0.6, 0.1, 0.3)",64,4,0,4,14.85,256,"[0.703, 0.6875, 0.475, 0.3705]","[None, None, None, None]",2007
