measure_size,phase,used_time,train_size,top-{top_k},val_reg_r2,val_rank_r2,sampling_seed
64,2,3.62,128,0,"[0.4806, 0.4979]",[],2000
64,7,8.7,448,0,"[0.4699, 0.5804, 0.5996, 0.556, 0.5277, 0.5244, 0.5053]",[],2001
64,8,10.23,512,0,"[0.4089, 0.5134, 0.4868, 0.4575, 0.4236, 0.4827, 0.5119, 0.5796]",[],2002
64,6,7.12,384,0,"[0.4695, 0.542, 0.5432, 0.5655, 0.6208, 0.6233]",[],2003
64,6,7.19,384,0,"[0.403, 0.4552, 0.4697, 0.5477, 0.4957, 0.5281]",[],2004
64,1,2.99,64,0,[0.482],[],2005
64,8,10.24,512,0,"[0.4158, 0.5449, 0.4637, 0.4751, 0.4784, 0.5437, 0.5405, 0.5451]",[],2006
64,2,3.5,128,0,"[0.4598, 0.49]",[],2007
64,6,7.31,384,0,"[0.3252, 0.5412, 0.5476, 0.5568, 0.5322, 0.5753]",[],2008
64,6,7.31,384,0,"[0.3259, 0.5509, 0.2959, 0.5041, 0.5413, 0.5769]",[],2009
64,4,5.08,256,0,"[0.4057, 0.4954, 0.4964, 0.6094]",[],2010
64,4,5.1,256,0,"[0.499, 0.4738, 0.3021, 0.5001]",[],2011
64,6,7.12,384,0,"[0.4378, 0.4843, 0.5519, 0.5069, 0.4325, 0.584]",[],2012
64,6,7.48,384,0,"[0.3169, 0.3294, 0.4629, 0.6149, 0.5857, 0.5972]",[],2013
64,6,7.6,384,0,"[0.3901, 0.5325, 0.5712, 0.5391, 0.5573, 0.5973]",[],2014
64,3,4.42,192,1,"[0.3672, 0.3968, 0.3899]",[],2015
64,7,8.43,448,0,"[0.4724, 0.3922, 0.6149, 0.5696, 0.5322, 0.5883, 0.6557]",[],2016
64,1,3.11,64,0,[0.4748],[],2017
64,2,3.72,128,0,"[0.4456, 0.4817]",[],2018
64,1,3.23,64,0,[0.4361],[],2019
