measure_size,phase,used_time,train_size,val_reg_r2,val_rank_r2,sampling_seed
64,2,3.16,128,"[0.455, 0.4711]",[],2000
64,5,4.44,320,"[0.5689, 0.5475, 0.5938, 0.5836, 0.6436]",[],2001
64,4,4.01,256,"[0.588, 0.5441, 0.5812, 0.6114]",[],2002
64,2,3.09,128,"[0.5876, 0.5477]",[],2003
64,2,3.24,128,"[0.4325, 0.608]",[],2004
64,2,3.09,128,"[0.4016, 0.5381]",[],2005
64,2,3.09,128,"[0.5755, 0.333]",[],2006
64,7,5.6,448,"[0.4894, 0.5619, 0.478, 0.5676, 0.5699, 0.5365, 0.5669]",[],2007
64,2,3.11,128,"[0.5457, 0.6573]",[],2008
64,4,3.92,256,"[0.3686, 0.5665, 0.5754, 0.6717]",[],2009
