,measure_size,phase,used_time,train_size,val_reg_r2,val_rank_r2,sampling_seed
0,64,4,5.38,256,"[0.4867, 0.5433, 0.5, 0.5829]",[],2000
1,64,6,7.79,384,"[0.6154, 0.5571, 0.5376, 0.4793, 0.4761, 0.5468]",[],2001
2,64,3,4.29,192,"[0.4321, 0.5867, 0.5413]",[],2002
3,64,2,3.54,128,"[0.5598, 0.6381]",[],2003
4,64,3,4.36,192,"[0.5177, 0.4876, 0.5926]",[],2004
5,64,2,3.53,128,"[0.547, 0.5537]",[],2005
6,64,3,4.26,192,"[0.5393, 0.5576, 0.5586]",[],2006
7,64,2,3.7,128,"[0.443, 0.6187]",[],2007
8,64,10,14.96,640,"[0.5676, 0.4763, 0.6357, 0.6481, 0.6175, 0.5569, 0.5918, 0.6016, 0.6487, 0.6862]",[],2008
9,64,2,3.53,128,"[0.6239, 0.6472]",[],2009
10,64,1,3.05,64,[0.6311],[],2010
11,64,1,2.99,64,[0.6449],[],2011
12,64,7,9.22,448,"[0.4285, 0.4604, 0.5753, 0.6048, 0.6298, 0.6921, 0.6852]",[],2012
13,64,2,3.61,128,"[0.483, 0.5517]",[],2013
14,64,3,4.71,192,"[0.4025, 0.5675, 0.6654]",[],2014
15,64,1,2.99,64,[0.571],[],2000
16,64,4,5.26,256,"[0.6434, 0.5924, 0.5613, 0.6349]",[],2001
17,64,2,3.64,128,"[0.4126, 0.5606]",[],2002
18,64,2,3.6,128,"[0.5806, 0.5783]",[],2003
19,64,2,3.52,128,"[0.4923, 0.5771]",[],2004
20,64,2,3.53,128,"[0.5476, 0.5741]",[],2005
21,64,2,3.5,128,"[0.5533, 0.5627]",[],2006
22,64,2,3.57,128,"[0.4007, 0.627]",[],2007
23,64,11,16.99,704,"[0.5658, 0.4738, 0.6431, 0.611, 0.5232, 0.5887, 0.6291, 0.6948, 0.6907, 0.6899, 0.6769]",[],2008
24,64,3,4.28,192,"[0.577, 0.5027, 0.5919]",[],2009
25,64,1,3.04,64,[0.63],[],2010
26,64,1,3.02,64,[0.6334],[],2011
27,64,4,5.23,256,"[0.4191, 0.5491, 0.5625, 0.5709]",[],2012
28,64,2,3.55,128,"[0.4745, 0.5474]",[],2013
29,64,4,5.31,256,"[0.3741, 0.573, 0.6532, 0.6503]",[],2014
30,64,2,3.53,128,"[0.5239, 0.5645]",[],2015
31,64,3,4.27,192,"[0.5505, 0.5214, 0.4497]",[],2016
32,64,3,4.27,192,"[0.6056, 0.5081, 0.6289]",[],2017
33,64,1,2.96,64,[0.466],[],2018
34,64,3,4.27,192,"[0.4756, 0.5376, 0.5716]",[],2019
