measure_size,phase,used_time,train_size,val_reg_r2,val_rank_r2,sampling_seed
64,4,5.38,256,"[0.4867, 0.5433, 0.5, 0.5829]",[],2000
64,6,7.79,384,"[0.6154, 0.5571, 0.5376, 0.4793, 0.4761, 0.5468]",[],2001
64,3,4.29,192,"[0.4321, 0.5867, 0.5413]",[],2002
64,2,3.54,128,"[0.5598, 0.6381]",[],2003
64,3,4.36,192,"[0.5177, 0.4876, 0.5926]",[],2004
64,2,3.53,128,"[0.547, 0.5537]",[],2005
64,3,4.26,192,"[0.5393, 0.5576, 0.5586]",[],2006
64,2,3.7,128,"[0.443, 0.6187]",[],2007
64,10,14.96,640,"[0.5676, 0.4763, 0.6357, 0.6481, 0.6175, 0.5569, 0.5918, 0.6016, 0.6487, 0.6862]",[],2008
64,2,3.53,128,"[0.6239, 0.6472]",[],2009
64,1,3.05,64,[0.6311],[],2010
64,1,2.99,64,[0.6449],[],2011
64,7,9.22,448,"[0.4285, 0.4604, 0.5753, 0.6048, 0.6298, 0.6921, 0.6852]",[],2012
64,2,3.61,128,"[0.483, 0.5517]",[],2013
64,3,4.71,192,"[0.4025, 0.5675, 0.6654]",[],2014
64,2,3.57,128,"[0.5236, 0.5524]",[],2015
64,2,3.55,128,"[0.549, 0.5258]",[],2016
64,3,4.3,192,"[0.6082, 0.5804, 0.4871]",[],2017
64,3,4.35,192,"[0.4551, 0.5221, 0.5382]",[],2018
64,3,4.37,192,"[0.4754, 0.539, 0.5002]",[],2019
