measure_size,weights,uncertainty_topk,grad_num,rand_num,phase,used_time,train_size,val_reg_r2,val_rank_r2,sampling_seed
64,"(0.4, 0.3, 0.3)",64,4,0,2,6.89,128,"[0.0257, 0.0527]","[None, None]",2000
64,"(0.4, 0.3, 0.3)",64,4,0,3,10.43,192,"[-0.0138, 0.2743, 0.2653]","[None, None, None]",2001
64,"(0.4, 0.3, 0.3)",64,4,0,1,3.32,64,[0.0228],[None],2002
64,"(0.4, 0.3, 0.3)",64,4,0,2,7.0,128,"[-0.238, 0.1076]","[None, None]",2003
64,"(0.4, 0.3, 0.3)",64,4,0,2,7.13,128,"[0.0759, 0.1949]","[None, None]",2004
64,"(0.4, 0.3, 0.3)",64,4,0,3,10.56,192,"[-0.2091, -0.0694, -0.1084]","[None, None, None]",2005
64,"(0.4, 0.3, 0.3)",64,4,0,2,6.85,128,"[0.0731, -0.0215]","[None, None]",2006
64,"(0.4, 0.3, 0.3)",64,4,0,2,6.82,128,"[-0.0178, 0.2696]","[None, None]",2007
64,"(0.4, 0.3, 0.3)",64,4,0,2,6.73,128,"[0.1881, 0.0539]","[None, None]",2008
64,"(0.4, 0.3, 0.3)",64,4,0,4,14.66,256,"[0.2024, 0.1428, 0.1657, 0.1294]","[None, None, None, None]",2009
