measure_size,encoder_lr,cost_predictor_lr,rank_warmup_epochs,weights,uncertainty_topk,grad_num,rand_num,phase,used_time,train_size,top-1,val_reg_r2,val_rank_r2,sampling_seed
32,1e-05,0.0001,100,"(0.4, 0.3, 0.3)",0,2,0,2,6.99,64,0,"[0.4159, 0.3981]","[None, None]",2000
32,1e-05,0.0001,100,"(0.4, 0.3, 0.3)",0,2,0,7,25.76,224,0,"[0.5225, 0.3093, 0.3061, 0.331, 0.2718, 0.3162, 0.3699]","[None, None, None, None, None, None, None]",2001
32,1e-05,0.0001,100,"(0.4, 0.3, 0.3)",0,2,0,8,30.02,256,0,"[0.5101, 0.5259, 0.4472, 0.3048, 0.4609, 0.4364, 0.3583, 0.3322]","[None, None, None, None, None, None, None, None]",2002
32,1e-05,0.0001,100,"(0.4, 0.3, 0.3)",0,2,0,2,6.7,64,0,"[0.4739, 0.6055]","[None, None]",2003
32,1e-05,0.0001,100,"(0.4, 0.3, 0.3)",0,2,0,3,10.49,96,0,"[0.5069, 0.3033, 0.3294]","[None, None, None]",2004
32,1e-05,0.0001,100,"(0.4, 0.3, 0.3)",0,2,0,4,14.03,128,0,"[0.4335, 0.1959, 0.3448, 0.3944]","[None, None, None, None]",2005
32,1e-05,0.0001,100,"(0.4, 0.3, 0.3)",0,2,0,3,10.45,96,0,"[0.588, 0.4293, 0.4609]","[None, None, None]",2006
32,1e-05,0.0001,100,"(0.4, 0.3, 0.3)",0,2,0,2,6.64,64,0,"[0.3491, 0.5304]","[None, None]",2007
32,1e-05,0.0001,100,"(0.4, 0.3, 0.3)",0,2,0,2,6.68,64,0,"[0.3065, 0.2952]","[None, None]",2008
32,1e-05,0.0001,100,"(0.4, 0.3, 0.3)",0,2,0,2,6.78,64,0,"[0.5423, 0.3279]","[None, None]",2009
32,1e-05,0.0001,100,"(0.4, 0.3, 0.3)",0,2,0,2,6.7,64,0,"[0.5203, 0.2864]","[None, None]",2010
32,1e-05,0.0001,100,"(0.4, 0.3, 0.3)",0,2,0,4,14.24,128,0,"[0.402, 0.2661, 0.2242, 0.2326]","[None, None, None, None]",2011
32,1e-05,0.0001,100,"(0.4, 0.3, 0.3)",0,2,0,2,6.71,64,1,"[0.5289, 0.4552]","[None, None]",2012
