measure_size,weights,uncertainty_topk,grad_num,rand_num,phase,used_time,train_size,val_reg_r2,val_rank_r2,sampling_seed
64,"(0.4, 0.3, 0.3)",64,4,0,2,6.96,128,"[0.4752, 0.4705]","[None, None]",2000
64,"(0.4, 0.3, 0.3)",64,4,0,1,3.18,64,[0.3287],[None],2001
64,"(0.4, 0.3, 0.3)",64,4,0,1,3.17,64,[0.5621],[None],2002
64,"(0.4, 0.3, 0.3)",64,4,0,2,6.57,128,"[0.6679, 0.6319]","[None, None]",2003
64,"(0.4, 0.3, 0.3)",64,4,0,2,6.87,128,"[0.2576, 0.4844]","[None, None]",2004
64,"(0.4, 0.3, 0.3)",64,4,0,2,6.87,128,"[0.5822, 0.5249]","[None, None]",2005
64,"(0.4, 0.3, 0.3)",64,4,0,4,14.25,256,"[0.4707, 0.5595, 0.4959, 0.5653]","[None, None, None, None]",2006
64,"(0.4, 0.3, 0.3)",64,4,0,2,6.7,128,"[0.4425, 0.5652]","[None, None]",2007
64,"(0.4, 0.3, 0.3)",64,4,0,1,3.19,64,[-0.0201],[None],2008
64,"(0.4, 0.3, 0.3)",64,4,0,1,3.19,64,[0.4578],[None],2009
