scratch,encoder_freeze,encoder_lr,cost_predictor_lr,weights,uncertainty_topk,grad_num,rand_num,phase,used_time,train_size,val_reg_r2,val_rank_r2,sampling_seed
False,False,0.0001,0.0001,"(0.4, 0.3, 0.3)",64,4,0,1,3.53,64,[0.7052],[None],2000
False,False,0.0001,0.0001,"(0.4, 0.3, 0.3)",64,4,0,1,3.41,64,[0.6411],[None],2001
False,False,0.0001,0.0001,"(0.4, 0.3, 0.3)",64,4,0,1,3.41,64,[0.6609],[None],2002
False,False,0.0001,0.0001,"(0.4, 0.3, 0.3)",64,4,0,1,3.4,64,[0.6945],[None],2003
False,False,0.0001,0.0001,"(0.4, 0.3, 0.3)",64,4,0,1,3.4,64,[0.7329],[None],2004
False,False,1e-05,0.0001,"(0.4, 0.3, 0.3)",64,4,0,1,3.44,64,[0.6977],[None],2000
False,False,1e-05,0.0001,"(0.4, 0.3, 0.3)",64,4,0,1,3.47,64,[0.5826],[None],2001
False,False,1e-05,0.0001,"(0.4, 0.3, 0.3)",64,4,0,1,3.4,64,[0.695],[None],2002
False,False,1e-05,0.0001,"(0.4, 0.3, 0.3)",64,4,0,2,7.13,128,"[0.6664, 0.6943]","[None, None]",2003
False,False,1e-05,0.0001,"(0.4, 0.3, 0.3)",64,4,0,1,3.43,64,[0.7097],[None],2004
False,False,1e-06,0.0001,"(0.4, 0.3, 0.3)",64,4,0,1,3.46,64,[0.7073],[None],2000
False,False,1e-06,0.0001,"(0.4, 0.3, 0.3)",64,4,0,1,3.42,64,[0.5621],[None],2001
False,False,1e-06,0.0001,"(0.4, 0.3, 0.3)",64,4,0,1,3.96,64,[0.6895],[None],2002
False,False,1e-06,0.0001,"(0.4, 0.3, 0.3)",64,4,0,2,8.66,128,"[0.6329, 0.649]","[None, None]",2003
False,False,1e-06,0.0001,"(0.4, 0.3, 0.3)",64,4,0,1,3.54,64,[0.7054],[None],2004
