measure_size,weights,uncertainty_topk,grad_num,rand_num,phase,used_time,train_size,val_reg_r2,val_rank_r2,sampling_seed
64,"(0.4, 0.3, 0.3)",64,4,0,3,10.5,192,"[0.2622, 0.3417, 0.4631]","[None, None, None]",2000
64,"(0.4, 0.3, 0.3)",64,4,0,2,6.69,128,"[0.2278, 0.3608]","[None, None]",2001
64,"(0.4, 0.3, 0.3)",64,4,0,2,6.67,128,"[0.2954, 0.4505]","[None, None]",2002
64,"(0.4, 0.3, 0.3)",64,4,0,2,6.9,128,"[0.2954, 0.4505]","[None, None]",2003
64,"(0.4, 0.3, 0.3)",64,4,0,2,6.65,128,"[0.2954, 0.4505]","[None, None]",2004
64,"(0.4, 0.3, 0.3)",64,4,0,2,6.78,128,"[0.2954, 0.4505]","[None, None]",2005
64,"(0.4, 0.3, 0.3)",64,4,0,2,6.64,128,"[0.2954, 0.4505]","[None, None]",2006
64,"(0.4, 0.3, 0.3)",64,4,0,2,6.56,128,"[0.2954, 0.4505]","[None, None]",2007
64,"(0.4, 0.3, 0.3)",64,4,0,2,6.59,128,"[0.2954, 0.4505]","[None, None]",2008
64,"(0.4, 0.3, 0.3)",64,4,0,2,6.59,128,"[0.2954, 0.4505]","[None, None]",2009
