measure_size,weights,uncertainty_topk,grad_num,rand_num,phase,used_time,train_size,val_reg_r2,val_rank_r2,sampling_seed
64,"(0.4, 0.3, 0.3)",64,4,0,2,7.08,128,"[0.5087, 0.583]","[None, None]",2000
64,"(0.4, 0.3, 0.3)",64,4,0,2,7.27,128,"[0.5119, 0.6441]","[None, None]",2001
64,"(0.4, 0.3, 0.3)",64,4,0,2,7.06,128,"[0.5758, 0.5786]","[None, None]",2002
64,"(0.4, 0.3, 0.3)",64,4,0,2,6.95,128,"[0.5882, 0.6017]","[None, None]",2003
64,"(0.4, 0.3, 0.3)",64,4,0,1,3.4,64,[0.4419],[None],2004
64,"(0.4, 0.3, 0.3)",64,4,0,1,3.39,64,[0.5078],[None],2005
64,"(0.4, 0.3, 0.3)",64,4,0,3,10.75,192,"[0.3894, 0.5443, 0.5525]","[None, None, None]",2006
64,"(0.4, 0.3, 0.3)",64,4,0,3,11.03,192,"[0.5018, 0.6047, 0.5992]","[None, None, None]",2007
64,"(0.4, 0.3, 0.3)",64,4,0,2,7.17,128,"[0.3806, 0.5852]","[None, None]",2008
64,"(0.4, 0.3, 0.3)",64,4,0,1,3.48,64,[0.3738],[None],2009
