scratch,encoder_freeze,encoder_lr,cost_predictor_lr,weights,uncertainty_topk,grad_num,rand_num,phase,used_time,train_size,val_reg_r2,val_rank_r2,sampling_seed
False,False,0.0001,0.0001,"(0.4, 0.3, 0.3)",64,4,0,1,3.48,64,[0.7052],[None],2000
False,False,0.0001,0.0001,"(0.4, 0.3, 0.3)",64,4,0,1,3.47,64,[0.6411],[None],2001
False,False,0.0001,0.0001,"(0.4, 0.3, 0.3)",64,4,0,1,3.46,64,[0.6609],[None],2002
False,False,0.0001,0.0001,"(0.4, 0.3, 0.3)",64,4,0,1,3.4,64,[0.6945],[None],2003
False,False,0.0001,0.0001,"(0.4, 0.3, 0.3)",64,4,0,1,3.43,64,[0.7329],[None],2004
False,False,0.0001,0.0001,"(0.4, 0.3, 0.3)",64,4,0,1,3.4,64,[0.6963],[None],2005
False,False,0.0001,0.0001,"(0.4, 0.3, 0.3)",64,4,0,1,3.42,64,[0.6626],[None],2006
False,False,0.0001,0.0001,"(0.4, 0.3, 0.3)",64,4,0,1,3.54,64,[0.6413],[None],2007
False,False,0.0001,0.0001,"(0.4, 0.3, 0.3)",64,4,0,1,3.38,64,[0.466],[None],2008
False,False,0.0001,0.0001,"(0.4, 0.3, 0.3)",64,4,0,1,3.4,64,[0.6797],[None],2009
False,False,0.0001,0.0001,"(0.4, 0.3, 0.3)",64,4,0,1,3.39,64,[0.6649],[None],2010
False,False,0.0001,0.0001,"(0.4, 0.3, 0.3)",64,4,0,1,3.38,64,[0.6895],[None],2011
False,False,0.0001,0.0001,"(0.4, 0.3, 0.3)",64,4,0,1,3.4,64,[0.6066],[None],2012
False,False,0.0001,0.0001,"(0.4, 0.3, 0.3)",64,4,0,2,7.0,128,"[0.7181, 0.5984]","[None, None]",2013
False,False,0.0001,0.0001,"(0.4, 0.3, 0.3)",64,4,0,1,3.39,64,[0.6881],[None],2014
False,False,0.0001,0.0001,"(0.4, 0.3, 0.3)",64,4,0,3,10.89,192,"[0.6757, 0.5921, 0.5901]","[None, None, None]",2015
False,False,0.0001,0.0001,"(0.4, 0.3, 0.3)",64,4,0,3,10.87,192,"[0.6375, 0.5199, 0.343]","[None, None, None]",2016
False,False,0.0001,0.0001,"(0.4, 0.3, 0.3)",64,4,0,1,3.5,64,[0.7327],[None],2017
False,False,0.0001,0.0001,"(0.4, 0.3, 0.3)",64,4,0,2,7.32,128,"[0.5989, 0.6187]","[None, None]",2018
False,False,0.0001,0.0001,"(0.4, 0.3, 0.3)",64,4,0,1,3.55,64,[0.6088],[None],2019
False,False,0.0001,1e-05,"(0.4, 0.3, 0.3)",64,4,0,1,3.54,64,[0.621],[None],2000
False,False,0.0001,1e-05,"(0.4, 0.3, 0.3)",64,4,0,1,3.53,64,[0.5698],[None],2001
False,False,0.0001,1e-05,"(0.4, 0.3, 0.3)",64,4,0,1,3.45,64,[0.6198],[None],2002
False,False,0.0001,1e-05,"(0.4, 0.3, 0.3)",64,4,0,3,11.02,192,"[0.585, 0.4928, 0.3957]","[None, None, None]",2003
False,False,0.0001,1e-05,"(0.4, 0.3, 0.3)",64,4,0,2,7.31,128,"[0.6623, 0.4442]","[None, None]",2004
False,False,0.0001,1e-05,"(0.4, 0.3, 0.3)",64,4,0,1,3.41,64,[0.6066],[None],2005
False,False,0.0001,1e-05,"(0.4, 0.3, 0.3)",64,4,0,1,3.38,64,[0.5703],[None],2006
False,False,0.0001,1e-05,"(0.4, 0.3, 0.3)",64,4,0,1,3.49,64,[0.5609],[None],2007
False,False,0.0001,1e-05,"(0.4, 0.3, 0.3)",64,4,0,1,3.55,64,[0.3521],[None],2008
False,False,0.0001,1e-05,"(0.4, 0.3, 0.3)",64,4,0,2,7.29,128,"[0.618, 0.5438]","[None, None]",2009
False,False,0.0001,1e-05,"(0.4, 0.3, 0.3)",64,4,0,1,3.37,64,[0.5776],[None],2010
False,False,0.0001,1e-05,"(0.4, 0.3, 0.3)",64,4,0,1,3.38,64,[0.6167],[None],2011
False,False,0.0001,1e-05,"(0.4, 0.3, 0.3)",64,4,0,2,7.02,128,"[0.4908, 0.4352]","[None, None]",2012
False,False,0.0001,1e-05,"(0.4, 0.3, 0.3)",64,4,0,2,7.08,128,"[0.627, 0.3518]","[None, None]",2013
False,False,0.0001,1e-05,"(0.4, 0.3, 0.3)",64,4,0,1,3.42,64,[0.611],[None],2014
False,False,0.0001,1e-05,"(0.4, 0.3, 0.3)",64,4,0,3,10.9,192,"[0.6013, 0.4846, 0.4]","[None, None, None]",2015
False,False,0.0001,1e-05,"(0.4, 0.3, 0.3)",64,4,0,2,7.01,128,"[0.553, 0.3565]","[None, None]",2016
False,False,0.0001,1e-05,"(0.4, 0.3, 0.3)",64,4,0,1,3.39,64,[0.6477],[None],2017
False,False,0.0001,1e-05,"(0.4, 0.3, 0.3)",64,4,0,2,7.0,128,"[0.5146, 0.3453]","[None, None]",2018
False,False,0.0001,1e-05,"(0.4, 0.3, 0.3)",64,4,0,1,3.39,64,[0.5223],[None],2019
False,False,0.0001,1e-06,"(0.4, 0.3, 0.3)",64,4,0,2,7.05,128,"[-0.0166, -0.6613]","[None, None]",2000
False,False,0.0001,1e-06,"(0.4, 0.3, 0.3)",64,4,0,1,3.41,64,[-0.081],[None],2001
False,False,0.0001,1e-06,"(0.4, 0.3, 0.3)",64,4,0,1,3.39,64,[0.0856],[None],2002
False,False,0.0001,1e-06,"(0.4, 0.3, 0.3)",64,4,0,3,10.84,192,"[-0.2089, -0.7084, -1.117]","[None, None, None]",2003
False,False,0.0001,1e-06,"(0.4, 0.3, 0.3)",64,4,0,2,7.13,128,"[0.0731, -0.6259]","[None, None]",2004
False,False,0.0001,1e-06,"(0.4, 0.3, 0.3)",64,4,0,3,11.4,192,"[-0.1762, -0.7398, -1.026]","[None, None, None]",2005
False,False,0.0001,1e-06,"(0.4, 0.3, 0.3)",64,4,0,1,3.58,64,[-0.1919],[None],2006
False,False,0.0001,1e-06,"(0.4, 0.3, 0.3)",64,4,0,3,10.91,192,"[-0.0503, -0.9092, -1.3278]","[None, None, None]",2007
False,False,0.0001,1e-06,"(0.4, 0.3, 0.3)",64,4,0,1,3.44,64,[-0.3718],[None],2008
False,False,0.0001,1e-06,"(0.4, 0.3, 0.3)",64,4,0,2,7.67,128,"[-0.0464, -0.6706]","[None, None]",2009
False,False,0.0001,1e-06,"(0.4, 0.3, 0.3)",64,4,0,1,3.61,64,[-0.1833],[None],2010
False,False,0.0001,1e-06,"(0.4, 0.3, 0.3)",64,4,0,1,3.52,64,[-0.1538],[None],2011
False,False,0.0001,1e-06,"(0.4, 0.3, 0.3)",64,4,0,2,7.47,128,"[-0.0992, -0.733]","[None, None]",2012
False,False,0.0001,1e-06,"(0.4, 0.3, 0.3)",64,4,0,2,7.41,128,"[-0.1528, -0.8167]","[None, None]",2013
False,False,0.0001,1e-06,"(0.4, 0.3, 0.3)",64,4,0,2,7.17,128,"[-0.0395, -0.6251]","[None, None]",2014
False,False,0.0001,1e-06,"(0.4, 0.3, 0.3)",64,4,0,3,12.13,192,"[-0.0923, -0.7165, -1.0645]","[None, None, None]",2015
False,False,0.0001,1e-06,"(0.4, 0.3, 0.3)",64,4,0,1,4.15,64,[-0.288],[None],2016
False,False,0.0001,1e-06,"(0.4, 0.3, 0.3)",64,4,0,2,7.56,128,"[-0.0913, -0.6461]","[None, None]",2017
False,False,0.0001,1e-06,"(0.4, 0.3, 0.3)",64,4,0,1,3.56,64,[-0.2353],[None],2018
