encoder_lr,cost_predictor_lr,rank_warmup_epochs,weights,uncertainty_topk,grad_num,rand_num,phase,used_time,train_size,top-1,val_reg_r2,val_rank_r2,sampling_seed
0.0001,0.0001,100,"(0.4, 0.3, 0.3)",64,4,0,1,3.42,64,0,[0.7117],[None],2000
0.0001,0.0001,100,"(0.4, 0.3, 0.3)",64,4,0,1,3.38,64,0,[0.651],[None],2001
0.0001,0.0001,100,"(0.4, 0.3, 0.3)",64,4,0,1,3.4,64,1,[0.6851],[None],2002
0.0001,0.0001,100,"(0.4, 0.3, 0.3)",64,4,0,2,7.03,128,1,"[0.6908, 0.6295]","[None, None]",2003
0.0001,0.0001,100,"(0.4, 0.3, 0.3)",64,4,0,1,3.39,64,0,[0.7468],[None],2004
0.0001,0.0001,100,"(0.4, 0.3, 0.3)",64,4,0,1,3.4,64,0,[0.7112],[None],2005
0.0001,0.0001,100,"(0.4, 0.3, 0.3)",64,4,0,1,3.39,64,0,[0.6916],[None],2006
0.0001,0.0001,100,"(0.4, 0.3, 0.3)",64,4,0,1,3.4,64,0,[0.6555],[None],2007
0.0001,0.0001,100,"(0.4, 0.3, 0.3)",64,4,0,1,3.39,64,1,[0.5258],[None],2008
0.0001,0.0001,100,"(0.4, 0.3, 0.3)",64,4,0,1,3.43,64,0,[0.6864],[None],2009
0.0001,0.0001,200,"(0.4, 0.3, 0.3)",64,4,0,1,3.38,64,0,[0.7106],[None],2000
0.0001,0.0001,200,"(0.4, 0.3, 0.3)",64,4,0,1,3.38,64,0,[0.6443],[None],2001
0.0001,0.0001,200,"(0.4, 0.3, 0.3)",64,4,0,1,3.38,64,1,[0.6911],[None],2002
0.0001,0.0001,200,"(0.4, 0.3, 0.3)",64,4,0,2,7.15,128,1,"[0.686, 0.6419]","[None, None]",2003
0.0001,0.0001,200,"(0.4, 0.3, 0.3)",64,4,0,1,3.38,64,0,[0.7454],[None],2004
0.0001,0.0001,200,"(0.4, 0.3, 0.3)",64,4,0,1,3.4,64,0,[0.7122],[None],2005
0.0001,0.0001,200,"(0.4, 0.3, 0.3)",64,4,0,1,3.5,64,0,[0.6855],[None],2006
0.0001,0.0001,200,"(0.4, 0.3, 0.3)",64,4,0,1,3.49,64,0,[0.653],[None],2007
0.0001,0.0001,200,"(0.4, 0.3, 0.3)",64,4,0,1,3.38,64,1,[0.5379],[None],2008
0.0001,0.0001,200,"(0.4, 0.3, 0.3)",64,4,0,1,3.53,64,0,[0.6835],[None],2009
0.0001,0.0001,300,"(0.4, 0.3, 0.3)",64,4,0,1,3.4,64,0,[0.71],[None],2000
0.0001,0.0001,300,"(0.4, 0.3, 0.3)",64,4,0,1,3.46,64,0,[0.6389],[None],2001
0.0001,0.0001,300,"(0.4, 0.3, 0.3)",64,4,0,1,3.38,64,1,[0.6823],[None],2002
0.0001,0.0001,300,"(0.4, 0.3, 0.3)",64,4,0,2,7.02,128,1,"[0.6861, 0.691]","[None, None]",2003
0.0001,0.0001,300,"(0.4, 0.3, 0.3)",64,4,0,1,3.78,64,0,[0.7445],[None],2004
0.0001,0.0001,300,"(0.4, 0.3, 0.3)",64,4,0,1,3.41,64,0,[0.7128],[None],2005
0.0001,0.0001,300,"(0.4, 0.3, 0.3)",64,4,0,1,3.39,64,0,[0.6864],[None],2006
0.0001,0.0001,300,"(0.4, 0.3, 0.3)",64,4,0,1,3.39,64,0,[0.6452],[None],2007
0.0001,0.0001,300,"(0.4, 0.3, 0.3)",64,4,0,1,3.39,64,1,[0.5432],[None],2008
0.0001,0.0001,300,"(0.4, 0.3, 0.3)",64,4,0,1,3.38,64,0,[0.6801],[None],2009
0.0001,1e-05,100,"(0.4, 0.3, 0.3)",64,4,0,1,3.39,64,0,[0.6387],[None],2000
0.0001,1e-05,100,"(0.4, 0.3, 0.3)",64,4,0,1,3.41,64,0,[0.5856],[None],2001
0.0001,1e-05,100,"(0.4, 0.3, 0.3)",64,4,0,1,3.37,64,1,[0.6373],[None],2002
0.0001,1e-05,100,"(0.4, 0.3, 0.3)",64,4,0,2,7.03,128,0,"[0.5974, 0.5392]","[None, None]",2003
