measure_size,encoder_lr,cost_predictor_lr,rank_warmup_epochs,weights,uncertainty_topk,grad_num,rand_num,phase,used_time,train_size,top-1,val_reg_r2,val_rank_r2,sampling_seed
64,0.0001,0.0001,400,"(0.4, 0.3, 0.3)",64,4,0,1,3.45,64,0,[0.7098],[None],2000
64,0.0001,0.0001,400,"(0.4, 0.3, 0.3)",64,4,0,1,3.45,64,0,[0.6351],[None],2001
64,0.0001,0.0001,400,"(0.4, 0.3, 0.3)",64,4,0,1,3.62,64,1,[0.6836],[None],2002
64,0.0001,0.0001,400,"(0.4, 0.3, 0.3)",64,4,0,2,7.28,128,1,"[0.6855, 0.6486]","[None, None]",2003
64,0.0001,0.0001,400,"(0.4, 0.3, 0.3)",64,4,0,1,3.7,64,0,[0.7418],[None],2004
64,0.0001,0.0001,400,"(0.4, 0.3, 0.3)",64,4,0,1,3.56,64,0,[0.7183],[None],2005
64,0.0001,0.0001,400,"(0.4, 0.3, 0.3)",64,4,0,1,3.39,64,0,[0.6843],[None],2006
64,0.0001,0.0001,400,"(0.4, 0.3, 0.3)",64,4,0,1,3.61,64,0,[0.6382],[None],2007
64,0.0001,0.0001,400,"(0.4, 0.3, 0.3)",64,4,0,1,3.4,64,1,[0.5415],[None],2008
64,0.0001,0.0001,400,"(0.4, 0.3, 0.3)",64,4,0,1,3.39,64,0,[0.6798],[None],2009
64,0.0001,0.0001,400,"(0.4, 0.3, 0.3)",64,4,0,1,3.37,64,0,[0.701],[None],2010
64,0.0001,0.0001,400,"(0.4, 0.3, 0.3)",64,4,0,1,3.41,64,0,[0.6966],[None],2011
64,0.0001,0.0001,400,"(0.4, 0.3, 0.3)",64,4,0,3,10.92,192,0,"[0.6077, 0.641, 0.5568]","[None, None, None]",2012
64,0.0001,0.0001,400,"(0.4, 0.3, 0.3)",64,4,0,2,7.81,128,0,"[0.7232, 0.6576]","[None, None]",2013
64,0.0001,0.0001,400,"(0.4, 0.3, 0.3)",64,4,0,2,8.71,128,1,"[0.6919, 0.6265]","[None, None]",2014
64,0.0001,0.0001,400,"(0.4, 0.3, 0.3)",64,4,0,3,12.06,192,0,"[0.6806, 0.5943, 0.5455]","[None, None, None]",2015
64,0.0001,0.0001,400,"(0.4, 0.3, 0.3)",64,4,0,2,7.84,128,0,"[0.6257, 0.4809]","[None, None]",2016
64,0.0001,0.0001,400,"(0.4, 0.3, 0.3)",64,4,0,1,3.56,64,0,[0.7375],[None],2017
64,0.0001,0.0001,400,"(0.4, 0.3, 0.3)",64,4,0,2,8.46,128,1,"[0.6244, 0.5701]","[None, None]",2018
64,0.0001,0.0001,400,"(0.4, 0.3, 0.3)",64,4,0,1,3.86,64,0,[0.6388],[None],2019
64,0.0001,0.0001,500,"(0.4, 0.3, 0.3)",64,4,0,1,3.76,64,0,[0.7091],[None],2000
64,0.0001,0.0001,500,"(0.4, 0.3, 0.3)",64,4,0,1,3.44,64,0,[0.6302],[None],2001
64,0.0001,0.0001,500,"(0.4, 0.3, 0.3)",64,4,0,1,3.73,64,1,[0.6802],[None],2002
64,0.0001,0.0001,500,"(0.4, 0.3, 0.3)",64,4,0,2,8.36,128,1,"[0.6844, 0.6266]","[None, None]",2003
64,0.0001,0.0001,500,"(0.4, 0.3, 0.3)",64,4,0,2,8.82,128,1,"[0.7388, 0.6478]","[None, None]",2004
64,0.0001,0.0001,500,"(0.4, 0.3, 0.3)",64,4,0,1,3.58,64,0,[0.7189],[None],2005
64,0.0001,0.0001,500,"(0.4, 0.3, 0.3)",64,4,0,1,3.58,64,0,[0.6873],[None],2006
64,0.0001,0.0001,500,"(0.4, 0.3, 0.3)",64,4,0,1,3.58,64,0,[0.6363],[None],2007
64,0.0001,0.0001,500,"(0.4, 0.3, 0.3)",64,4,0,1,3.41,64,1,[0.5433],[None],2008
64,0.0001,0.0001,500,"(0.4, 0.3, 0.3)",64,4,0,1,3.42,64,0,[0.681],[None],2009
64,0.0001,0.0001,500,"(0.4, 0.3, 0.3)",64,4,0,1,3.41,64,0,[0.7001],[None],2010
64,0.0001,0.0001,500,"(0.4, 0.3, 0.3)",64,4,0,1,3.41,64,0,[0.6959],[None],2011
64,0.0001,0.0001,500,"(0.4, 0.3, 0.3)",64,4,0,3,11.14,192,0,"[0.6054, 0.6181, 0.5365]","[None, None, None]",2012
64,0.0001,0.0001,500,"(0.4, 0.3, 0.3)",64,4,0,2,7.16,128,0,"[0.7205, 0.6738]","[None, None]",2013
64,0.0001,0.0001,500,"(0.4, 0.3, 0.3)",64,4,0,2,7.07,128,1,"[0.6866, 0.6514]","[None, None]",2014
64,0.0001,0.0001,500,"(0.4, 0.3, 0.3)",64,4,0,4,15.44,256,0,"[0.6785, 0.602, 0.5846, 0.5291]","[None, None, None, None]",2015
64,0.0001,0.0001,500,"(0.4, 0.3, 0.3)",64,4,0,2,7.17,128,0,"[0.6228, 0.4853]","[None, None]",2016
64,0.0001,0.0001,500,"(0.4, 0.3, 0.3)",64,4,0,1,3.49,64,0,[0.734],[None],2017
64,0.0001,0.0001,500,"(0.4, 0.3, 0.3)",64,4,0,2,7.07,128,1,"[0.624, 0.5617]","[None, None]",2018
64,0.0001,0.0001,500,"(0.4, 0.3, 0.3)",64,4,0,1,3.42,64,0,[0.6418],[None],2019
