scratch,encoder_freeze,measure_size,encoder_lr,cost_predictor_lr,rank_warmup_epochs,weights,uncertainty_topk,T_mc,grad_num,rand_num,phase,used_time,train_size,top-1,val_reg_r2,val_rank_r2,sampling_seed
False,False,48,1e-05,0.0001,0,"(0.7, 0.0, 0.3)",0,20,2,0,1,3.41,48,1,[0.3891],[None],2000
False,False,48,1e-05,0.0001,0,"(0.7, 0.0, 0.3)",0,20,2,0,6,21.49,288,0,"[0.5622, 0.478, 0.4025, 0.3336, 0.2119, 0.2172]","[None, None, None, None, None, None]",2001
False,False,48,1e-05,0.0001,0,"(0.7, 0.0, 0.3)",0,20,2,0,1,3.18,48,0,[0.4344],[None],2002
False,False,48,1e-05,0.0001,0,"(0.7, 0.0, 0.3)",0,20,2,0,1,3.16,48,0,[0.505],[None],2003
False,False,48,1e-05,0.0001,0,"(0.7, 0.0, 0.3)",0,20,2,0,1,3.26,48,0,[0.547],[None],2004
False,False,48,1e-05,0.0001,0,"(0.7, 0.0, 0.3)",0,20,2,0,2,6.5,96,0,"[0.5949, 0.5711]","[None, None]",2005
False,False,48,1e-05,0.0001,0,"(0.7, 0.0, 0.3)",0,20,2,0,1,3.2,48,0,[0.631],[None],2006
False,False,48,1e-05,0.0001,0,"(0.7, 0.0, 0.3)",0,20,2,0,2,6.49,96,0,"[0.6327, 0.506]","[None, None]",2007
False,False,48,1e-05,0.0001,0,"(0.7, 0.0, 0.3)",0,20,2,0,2,6.61,96,0,"[0.6046, 0.5725]","[None, None]",2008
False,False,48,1e-05,0.0001,0,"(0.7, 0.0, 0.3)",0,20,2,0,1,3.17,48,0,[0.5901],[None],2009
False,False,48,1e-05,0.0001,0,"(0.7, 0.0, 0.3)",0,20,2,0,2,6.53,96,0,"[0.4703, 0.5065]","[None, None]",2010
False,False,48,1e-05,0.0001,0,"(0.7, 0.0, 0.3)",0,20,2,0,2,6.48,96,0,"[0.4229, 0.1259]","[None, None]",2011
False,False,48,1e-05,0.0001,0,"(0.7, 0.0, 0.3)",0,20,2,0,2,6.48,96,0,"[0.492, 0.474]","[None, None]",2012
False,False,48,1e-05,0.0001,0,"(0.7, 0.0, 0.3)",0,20,2,0,2,6.76,96,0,"[0.5464, 0.4554]","[None, None]",2013
False,False,48,1e-05,0.0001,0,"(0.7, 0.0, 0.3)",0,20,2,0,1,3.3,48,0,[0.5136],[None],2014
False,False,48,1e-05,0.0001,0,"(0.7, 0.0, 0.3)",0,20,2,0,2,6.64,96,1,"[0.6024, 0.3561]","[None, None]",2015
False,False,48,1e-05,0.0001,0,"(0.7, 0.0, 0.3)",0,20,2,0,2,6.48,96,0,"[0.4, 0.2943]","[None, None]",2016
False,False,48,1e-05,0.0001,0,"(0.7, 0.0, 0.3)",0,20,2,0,3,9.92,144,0,"[0.6085, 0.5733, 0.5842]","[None, None, None]",2017
False,False,48,1e-05,0.0001,0,"(0.7, 0.0, 0.3)",0,20,2,0,4,13.59,192,0,"[0.5661, 0.3826, 0.3394, 0.4114]","[None, None, None, None]",2018
False,False,48,1e-05,0.0001,0,"(0.7, 0.0, 0.3)",0,20,2,0,2,6.51,96,0,"[0.5432, 0.4612]","[None, None]",2019
False,False,48,1e-05,0.0001,100,"(0.7, 0.0, 0.3)",0,20,2,0,1,3.19,48,1,[0.3629],[None],2000
False,False,48,1e-05,0.0001,100,"(0.7, 0.0, 0.3)",0,20,2,0,11,48.78,528,0,"[0.5674, 0.5283, 0.4508, 0.3505, 0.2626, 0.2717, 0.1734, 0.1174, 0.1211, 0.0971, 0.2568]","[None, None, None, None, None, None, None, None, None, None, None]",2001
False,False,48,1e-05,0.0001,100,"(0.7, 0.0, 0.3)",0,20,2,0,1,3.17,48,0,[0.4536],[None],2002
False,False,48,1e-05,0.0001,100,"(0.7, 0.0, 0.3)",0,20,2,0,1,3.18,48,0,[0.5284],[None],2003
False,False,48,1e-05,0.0001,100,"(0.7, 0.0, 0.3)",0,20,2,0,1,3.21,48,0,[0.543],[None],2004
False,False,48,1e-05,0.0001,100,"(0.7, 0.0, 0.3)",0,20,2,0,2,6.5,96,0,"[0.5832, 0.4865]","[None, None]",2005
False,False,48,1e-05,0.0001,100,"(0.7, 0.0, 0.3)",0,20,2,0,1,3.3,48,0,[0.6337],[None],2006
False,False,48,1e-05,0.0001,100,"(0.7, 0.0, 0.3)",0,20,2,0,2,6.75,96,0,"[0.6361, 0.5115]","[None, None]",2007
False,False,48,1e-05,0.0001,100,"(0.7, 0.0, 0.3)",0,20,2,0,2,6.51,96,0,"[0.5834, 0.5457]","[None, None]",2008
False,False,48,1e-05,0.0001,100,"(0.7, 0.0, 0.3)",0,20,2,0,1,3.18,48,0,[0.5804],[None],2009
False,False,48,1e-05,0.0001,100,"(0.7, 0.0, 0.3)",0,20,2,0,2,6.47,96,0,"[0.5002, 0.5747]","[None, None]",2010
False,False,48,1e-05,0.0001,100,"(0.7, 0.0, 0.3)",0,20,2,0,2,6.46,96,0,"[0.4289, 0.2215]","[None, None]",2011
False,False,48,1e-05,0.0001,100,"(0.7, 0.0, 0.3)",0,20,2,0,2,6.47,96,1,"[0.4976, 0.5306]","[None, None]",2012
False,False,48,1e-05,0.0001,100,"(0.7, 0.0, 0.3)",0,20,2,0,2,6.47,96,0,"[0.5272, 0.471]","[None, None]",2013
False,False,48,1e-05,0.0001,100,"(0.7, 0.0, 0.3)",0,20,2,0,1,3.15,48,0,[0.502],[None],2014
False,False,48,1e-05,0.0001,100,"(0.7, 0.0, 0.3)",0,20,2,0,2,6.46,96,0,"[0.6207, 0.4966]","[None, None]",2015
False,False,48,1e-05,0.0001,100,"(0.7, 0.0, 0.3)",0,20,2,0,2,6.48,96,0,"[0.4028, 0.3755]","[None, None]",2016
False,False,48,1e-05,0.0001,100,"(0.7, 0.0, 0.3)",0,20,2,0,2,6.5,96,0,"[0.6194, 0.6409]","[None, None]",2017
False,False,48,1e-05,0.0001,100,"(0.7, 0.0, 0.3)",0,20,2,0,4,13.74,192,0,"[0.5617, 0.4067, 0.3919, 0.4451]","[None, None, None, None]",2018
False,False,48,1e-05,0.0001,100,"(0.7, 0.0, 0.3)",0,20,2,0,1,3.52,48,0,[0.5465],[None],2019
False,False,48,1e-05,0.0001,200,"(0.7, 0.0, 0.3)",0,20,2,0,1,3.4,48,1,[0.3614],[None],2000
False,False,48,1e-05,0.0001,200,"(0.7, 0.0, 0.3)",0,20,2,0,9,34.4,432,0,"[0.5676, 0.543, 0.4483, 0.4143, 0.3368, 0.3254, 0.2823, 0.3122, 0.4032]","[None, None, None, None, None, None, None, None, None]",2001
False,False,48,1e-05,0.0001,200,"(0.7, 0.0, 0.3)",0,20,2,0,1,3.21,48,0,[0.4673],[None],2002
False,False,48,1e-05,0.0001,200,"(0.7, 0.0, 0.3)",0,20,2,0,1,3.19,48,0,[0.5296],[None],2003
False,False,48,1e-05,0.0001,200,"(0.7, 0.0, 0.3)",0,20,2,0,1,3.18,48,0,[0.5405],[None],2004
False,False,48,1e-05,0.0001,200,"(0.7, 0.0, 0.3)",0,20,2,0,2,6.53,96,0,"[0.5783, 0.4843]","[None, None]",2005
False,False,48,1e-05,0.0001,200,"(0.7, 0.0, 0.3)",0,20,2,0,1,3.19,48,0,[0.6326],[None],2006
False,False,48,1e-05,0.0001,200,"(0.7, 0.0, 0.3)",0,20,2,0,2,6.64,96,0,"[0.6383, 0.5153]","[None, None]",2007
False,False,48,1e-05,0.0001,200,"(0.7, 0.0, 0.3)",0,20,2,0,2,6.94,96,0,"[0.5768, 0.5482]","[None, None]",2008
False,False,48,1e-05,0.0001,200,"(0.7, 0.0, 0.3)",0,20,2,0,1,3.35,48,0,[0.5844],[None],2009
False,False,48,1e-05,0.0001,200,"(0.7, 0.0, 0.3)",0,20,2,0,2,6.83,96,1,"[0.4949, 0.4723]","[None, None]",2010
False,False,48,1e-05,0.0001,200,"(0.7, 0.0, 0.3)",0,20,2,0,2,6.61,96,0,"[0.4212, 0.2437]","[None, None]",2011
False,False,48,1e-05,0.0001,200,"(0.7, 0.0, 0.3)",0,20,2,0,1,3.17,48,0,[0.4976],[None],2012
False,False,48,1e-05,0.0001,200,"(0.7, 0.0, 0.3)",0,20,2,0,2,6.6,96,0,"[0.5198, 0.4747]","[None, None]",2013
False,False,48,1e-05,0.0001,200,"(0.7, 0.0, 0.3)",0,20,2,0,1,3.2,48,0,[0.5019],[None],2014
False,False,48,1e-05,0.0001,200,"(0.7, 0.0, 0.3)",0,20,2,0,2,6.55,96,0,"[0.6343, 0.3785]","[None, None]",2015
False,False,48,1e-05,0.0001,200,"(0.7, 0.0, 0.3)",0,20,2,0,2,6.56,96,0,"[0.3962, 0.4467]","[None, None]",2016
False,False,48,1e-05,0.0001,200,"(0.7, 0.0, 0.3)",0,20,2,0,2,6.56,96,0,"[0.6184, 0.6387]","[None, None]",2017
False,False,48,1e-05,0.0001,200,"(0.7, 0.0, 0.3)",0,20,2,0,2,6.5,96,0,"[0.5493, 0.3837]","[None, None]",2018
False,False,48,1e-05,0.0001,200,"(0.7, 0.0, 0.3)",0,20,2,0,1,3.2,48,0,[0.5488],[None],2019
False,False,48,1e-05,1e-05,0,"(0.7, 0.0, 0.3)",0,20,2,0,1,3.17,48,1,[0.3676],[None],2000
False,False,48,1e-05,1e-05,0,"(0.7, 0.0, 0.3)",0,20,2,0,2,6.54,96,0,"[0.6001, 0.3313]","[None, None]",2001
False,False,48,1e-05,1e-05,0,"(0.7, 0.0, 0.3)",0,20,2,0,2,6.87,96,1,"[0.4244, 0.3062]","[None, None]",2002
False,False,48,1e-05,1e-05,0,"(0.7, 0.0, 0.3)",0,20,2,0,1,3.41,48,0,[0.4469],[None],2003
False,False,48,1e-05,1e-05,0,"(0.7, 0.0, 0.3)",0,20,2,0,1,3.4,48,0,[0.5627],[None],2004
False,False,48,1e-05,1e-05,0,"(0.7, 0.0, 0.3)",0,20,2,0,2,7.09,96,1,"[0.6012, 0.3714]","[None, None]",2005
False,False,48,1e-05,1e-05,0,"(0.7, 0.0, 0.3)",0,20,2,0,1,3.24,48,0,[0.5349],[None],2006
False,False,48,1e-05,1e-05,0,"(0.7, 0.0, 0.3)",0,20,2,0,1,3.17,48,0,[0.601],[None],2007
False,False,48,1e-05,1e-05,0,"(0.7, 0.0, 0.3)",0,20,2,0,2,6.51,96,1,"[0.5098, 0.2799]","[None, None]",2008
False,False,48,1e-05,1e-05,0,"(0.7, 0.0, 0.3)",0,20,2,0,1,3.15,48,0,[0.5495],[None],2009
False,False,48,1e-05,1e-05,0,"(0.7, 0.0, 0.3)",0,20,2,0,2,6.68,96,1,"[0.5678, 0.251]","[None, None]",2010
False,False,48,1e-05,1e-05,0,"(0.7, 0.0, 0.3)",0,20,2,0,2,6.84,96,0,"[0.4382, 0.0945]","[None, None]",2011
False,False,48,1e-05,1e-05,0,"(0.7, 0.0, 0.3)",0,20,2,0,1,3.33,48,0,[0.5027],[None],2012
False,False,48,1e-05,1e-05,0,"(0.7, 0.0, 0.3)",0,20,2,0,2,6.76,96,0,"[0.5226, 0.3107]","[None, None]",2013
False,False,48,1e-05,1e-05,0,"(0.7, 0.0, 0.3)",0,20,2,0,1,3.29,48,0,[0.4894],[None],2014
False,False,48,1e-05,1e-05,0,"(0.7, 0.0, 0.3)",0,20,2,0,1,3.32,48,0,[0.5505],[None],2015
False,False,48,1e-05,1e-05,0,"(0.7, 0.0, 0.3)",0,20,2,0,2,6.73,96,1,"[0.5116, 0.3132]","[None, None]",2016
False,False,48,1e-05,1e-05,0,"(0.7, 0.0, 0.3)",0,20,2,0,2,6.54,96,0,"[0.6353, 0.2277]","[None, None]",2017
False,False,48,1e-05,1e-05,0,"(0.7, 0.0, 0.3)",0,20,2,0,3,11.16,144,0,"[0.3976, 0.185, 0.3014]","[None, None, None]",2018
False,False,48,1e-05,1e-05,0,"(0.7, 0.0, 0.3)",0,20,2,0,2,7.07,96,1,"[0.5947, 0.279]","[None, None]",2019
False,False,48,1e-05,1e-05,100,"(0.7, 0.0, 0.3)",0,20,2,0,1,3.22,48,1,[0.3974],[None],2000
False,False,48,1e-05,1e-05,100,"(0.7, 0.0, 0.3)",0,20,2,0,2,6.55,96,0,"[0.6304, 0.4731]","[None, None]",2001
