measure_size,scratch,encoder_freeze,encoder_lr,cost_predictor_lr,rank_warmup_epochs,weights,uncertainty_topk,grad_num,rand_num,phase,train_size,used_time,top-1,val_reg_r2,val_rank_r2,seed_n,sampling_seed
48,False,False,1e-05,1e-05,0,"(0.5, 0.2, 0.3)",0,0,0,3.25,156.0,19.583999999999996,0.6,[0.3676],[None],20,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]"
48,False,False,1e-05,1e-05,0,"(0.5, 0.2, 0.3)",0,2,0,3.1,148.8,17.467499999999998,0.55,[0.3676],[None],20,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]"
48,False,False,1e-05,1e-05,0,"(0.6, 0.1, 0.3)",0,0,0,2.6,124.8,11.3265,0.45,[0.3676],[None],20,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]"
48,False,False,1e-05,1e-05,0,"(0.6, 0.1, 0.3)",0,2,0,3.25,156.0,20.080499999999997,0.45,[0.3676],[None],20,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]"
48,False,False,1e-05,1e-05,0,"(0.6, 0.1, 0.3)",0,4,0,3.2,153.6,19.226,0.45,[0.3676],[None],20,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]"
48,False,False,1e-05,1e-05,0,"(0.6, 0.1, 0.3)",48,0,0,2.6,124.8,11.0355,0.45,[0.3676],[None],20,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]"
48,False,False,1e-05,1e-05,0,"(0.6, 0.1, 0.3)",48,2,0,3.25,156.0,20.3005,0.45,[0.3676],[None],20,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]"
48,False,False,1e-05,1e-05,0,"(0.6, 0.1, 0.3)",48,4,0,3.2,153.6,19.18,0.45,[0.3676],[None],20,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]"
48,False,False,1e-05,1e-05,0,"(0.7, 0.0, 0.3)",0,2,0,1.6,76.8,5.4135,0.35,[0.3676],[None],20,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]"
48,False,False,1e-05,1e-05,0,"(0.7, 0.0, 0.3)",0,4,0,2.55,122.4,11.0265,0.35,[0.3676],[None],20,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]"
48,False,False,1e-05,1e-05,0,"(0.7, 0.3, 0.0)",0,0,0,6.25,300.0,39.9195,0.15,[0.3676],[None],20,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]"
48,False,False,1e-05,1e-05,0,"(0.7, 0.3, 0.0)",0,2,0,5.4,259.2,33.393,0.15,[0.3676],[None],20,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]"
48,False,False,1e-05,1e-05,0,"(0.7, 0.3, 0.0)",0,4,0,5.25,252.0,32.571000000000005,0.25,[0.3676],[None],20,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]"
48,False,False,1e-05,1e-05,0,"(0.7, 0.3, 0.0)",48,0,0,6.25,300.0,40.106,0.15,[0.3676],[None],20,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]"
48,False,False,1e-05,1e-05,0,"(0.7, 0.3, 0.0)",48,2,0,5.4,259.2,33.628,0.15,[0.3676],[None],20,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]"
48,False,False,1e-05,1e-05,0,"(0.7, 0.3, 0.0)",48,4,0,5.25,252.0,32.859,0.25,[0.3676],[None],20,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]"
48,False,False,1e-05,1e-05,100,"(0.5, 0.2, 0.3)",0,0,0,2.85,136.8,15.102,0.45,[0.3974],[None],20,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]"
48,False,False,1e-05,1e-05,100,"(0.5, 0.2, 0.3)",0,2,0,2.8,134.4,15.0425,0.45,[0.3974],[None],20,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]"
48,False,False,1e-05,1e-05,100,"(0.6, 0.1, 0.3)",0,0,0,1.55,74.4,5.144,0.4,[0.3974],[None],20,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]"
