,measure_size,scratch,encoder_freeze,encoder_lr,cost_predictor_lr,weights,uncertainty_topk,grad_num,rand_num,phase,used_time,train_size,val_reg_r2,val_rank_r2,sampling_seed,rank_warmup_epochs,top-1,T_mc
0,64,False,False,0.0001,0.01,"(0.4, 0.3, 0.3)",64,4,0,1,3.44,64,[0.8153],[None],2000,0,,
1,64,False,False,0.0001,0.01,"(0.4, 0.3, 0.3)",64,4,0,1,3.44,64,[0.713],[None],2001,0,,
2,64,False,False,0.0001,0.01,"(0.4, 0.3, 0.3)",64,4,0,1,3.41,64,[0.7737],[None],2002,0,,
3,64,False,False,0.0001,0.01,"(0.4, 0.3, 0.3)",64,4,0,3,11.19,192,"[0.7897, 0.7438, 0.8066]","[None, None, None]",2003,0,,
4,64,False,False,0.0001,0.01,"(0.4, 0.3, 0.3)",64,4,0,3,10.98,192,"[0.7887, 0.8399, 0.8845]","[None, None, None]",2004,0,,
5,64,False,False,0.0001,0.01,"(0.4, 0.3, 0.3)",64,4,0,3,11.33,192,"[0.7825, 0.8218, 0.8472]","[None, None, None]",2005,0,,
6,64,False,False,0.0001,0.01,"(0.4, 0.3, 0.3)",64,4,0,2,7.34,128,"[0.7903, 0.8258]","[None, None]",2006,0,,
7,64,False,False,0.0001,0.01,"(0.4, 0.3, 0.3)",64,4,0,5,20.13,320,"[0.7619, 0.8531, 0.8673, 0.8834, 0.8776]","[None, None, None, None, None]",2007,0,,
8,64,False,False,0.0001,0.01,"(0.4, 0.3, 0.3)",64,4,0,1,3.38,64,[0.6403],[None],2008,0,,
9,64,False,False,0.0001,0.01,"(0.4, 0.3, 0.3)",64,4,0,1,3.38,64,[0.7809],[None],2009,0,,
10,64,False,False,0.0001,0.01,"(0.4, 0.3, 0.3)",64,4,0,1,3.37,64,[0.7674],[None],2010,0,,
11,64,False,False,0.0001,0.01,"(0.4, 0.3, 0.3)",64,4,0,1,3.49,64,[0.7981],[None],2011,0,,
12,64,False,False,0.0001,0.01,"(0.4, 0.3, 0.3)",64,4,0,2,7.01,128,"[0.7616, 0.8179]","[None, None]",2012,0,,
13,64,False,False,0.0001,0.01,"(0.4, 0.3, 0.3)",64,4,0,3,11.19,192,"[0.7818, 0.8382, 0.8439]","[None, None, None]",2013,0,,
14,64,False,False,0.0001,0.01,"(0.4, 0.3, 0.3)",64,4,0,2,7.23,128,"[0.7626, 0.8297]","[None, None]",2014,0,,
15,64,False,False,0.0001,0.01,"(0.4, 0.3, 0.3)",64,4,0,2,7.01,128,"[0.765, 0.7797]","[None, None]",2015,0,,
16,64,False,False,0.0001,0.01,"(0.4, 0.3, 0.3)",64,4,0,3,10.86,192,"[0.7049, 0.788, 0.8191]","[None, None, None]",2016,0,,
17,64,False,False,0.0001,0.01,"(0.4, 0.3, 0.3)",64,4,0,2,7.04,128,"[0.7898, 0.8082]","[None, None]",2017,0,,
18,64,False,False,0.0001,0.01,"(0.4, 0.3, 0.3)",64,4,0,2,7.02,128,"[0.75, 0.8194]","[None, None]",2018,0,,
19,64,False,False,0.0001,0.01,"(0.4, 0.3, 0.3)",64,4,0,2,7.01,128,"[0.7402, 0.8348]","[None, None]",2019,0,,
20,64,False,False,0.0001,0.001,"(0.4, 0.3, 0.3)",64,4,0,1,3.37,64,[0.7838],[None],2000,0,,
21,64,False,False,0.0001,0.001,"(0.4, 0.3, 0.3)",64,4,0,1,3.38,64,[0.678],[None],2001,0,,
22,64,False,False,0.0001,0.001,"(0.4, 0.3, 0.3)",64,4,0,1,3.37,64,[0.7369],[None],2002,0,,
23,64,False,False,0.0001,0.001,"(0.4, 0.3, 0.3)",64,4,0,2,7.04,128,"[0.759, 0.7774]","[None, None]",2003,0,,
24,64,False,False,0.0001,0.001,"(0.4, 0.3, 0.3)",64,4,0,1,3.36,64,[0.7894],[None],2004,0,,
25,64,False,False,0.0001,0.001,"(0.4, 0.3, 0.3)",64,4,0,1,3.38,64,[0.7459],[None],2005,0,,
26,64,False,False,0.0001,0.001,"(0.4, 0.3, 0.3)",64,4,0,1,3.38,64,[0.7257],[None],2006,0,,
27,64,False,False,0.0001,0.001,"(0.4, 0.3, 0.3)",64,4,0,4,15.13,256,"[0.7163, 0.7873, 0.8417, 0.8628]","[None, None, None, None]",2007,0,,
28,64,False,False,0.0001,0.001,"(0.4, 0.3, 0.3)",64,4,0,1,3.42,64,[0.595],[None],2008,0,,
29,64,False,False,0.0001,0.001,"(0.4, 0.3, 0.3)",64,4,0,2,7.04,128,"[0.7322, 0.7689]","[None, None]",2009,0,,
30,64,False,False,0.0001,0.001,"(0.4, 0.3, 0.3)",64,4,0,1,3.42,64,[0.7318],[None],2010,0,,
31,64,False,False,0.0001,0.001,"(0.4, 0.3, 0.3)",64,4,0,1,3.39,64,[0.759],[None],2011,0,,
