measure_size,weights,uncertainty_topk,grad_num,rand_num,phase,used_time,train_size,val_reg_r2,val_rank_r2,sampling_seed
64,"(0.4, 0.3, 0.3)",64,4,0,1,3.51,64,[0.4663],[None],2000
64,"(0.4, 0.3, 0.3)",64,4,0,2,6.99,128,"[0.4026, 0.1316]","[None, None]",2001
64,"(0.4, 0.3, 0.3)",64,4,0,2,7.18,128,"[0.4314, 0.2323]","[None, None]",2002
64,"(0.4, 0.3, 0.3)",64,4,0,4,14.68,256,"[0.2108, 0.1872, 0.0603, 0.0177]","[None, None, None, None]",2003
64,"(0.4, 0.3, 0.3)",64,4,0,4,14.67,256,"[0.1272, 0.093, 0.1968, 0.0291]","[None, None, None, None]",2004
64,"(0.4, 0.3, 0.3)",64,4,0,4,14.65,256,"[0.4787, 0.2516, 0.0514, -0.0883]","[None, None, None, None]",2005
64,"(0.4, 0.3, 0.3)",64,4,0,1,4.4,64,[0.2196],[None],2006
64,"(0.4, 0.3, 0.3)",64,4,0,4,15.4,256,"[0.4644, 0.1432, -0.0033, -0.2009]","[None, None, None, None]",2007
64,"(0.4, 0.3, 0.3)",64,4,0,6,24.14,384,"[0.4014, 0.0661, 0.0196, -0.2355, -0.3155, -0.4382]","[None, None, None, None, None, None]",2008
64,"(0.4, 0.3, 0.3)",64,4,0,2,7.1,128,"[0.4294, 0.2366]","[None, None]",2009
