measure_size,weights,uncertainty_topk,grad_num,rand_num,phase,used_time,train_size,val_reg_r2,val_rank_r2,sampling_seed
64,"(0.4, 0.3, 0.3)",64,4,0,4,15.05,256,"[0.3204, 0.0852, -0.0726, -0.0561]","[None, None, None, None]",2000
64,"(0.4, 0.3, 0.3)",64,4,0,1,3.43,64,[0.1616],[None],2001
64,"(0.4, 0.3, 0.3)",64,4,0,2,7.03,128,"[0.2012, 0.2876]","[None, None]",2002
64,"(0.4, 0.3, 0.3)",64,4,0,6,24.13,384,"[0.2563, 0.2841, 0.1743, 0.0549, 0.0864, -0.0475]","[None, None, None, None, None, None]",2003
64,"(0.4, 0.3, 0.3)",64,4,0,3,10.9,192,"[0.3918, 0.3216, 0.1548]","[None, None, None]",2004
64,"(0.4, 0.3, 0.3)",64,4,0,4,15.13,256,"[0.1872, 0.3168, 0.0656, 0.0501]","[None, None, None, None]",2005
64,"(0.4, 0.3, 0.3)",64,4,0,6,24.35,384,"[0.1426, 0.2806, 0.2002, 0.1637, 0.1569, 0.0531]","[None, None, None, None, None, None]",2006
64,"(0.4, 0.3, 0.3)",64,4,0,3,11.0,192,"[-0.0357, 0.0525, 0.1236]","[None, None, None]",2007
64,"(0.4, 0.3, 0.3)",64,4,0,3,10.93,192,"[0.2189, 0.3729, 0.2239]","[None, None, None]",2008
64,"(0.4, 0.3, 0.3)",64,4,0,6,24.57,384,"[0.3819, 0.2607, 0.1517, 0.0987, 0.0138, 0.146]","[None, None, None, None, None, None]",2009
