measure_size,weights,grad_num,rand_num,phase,used_time,train_size,val_reg_r2,val_rank_r2,sampling_seed
64,"(0.5, 0.2, 0.3)",2,0,2,20.8,128,"[0.7301, 0.4865]","[0.8458, 0.8395]",2000
64,"(0.5, 0.2, 0.3)",2,0,3,31.85,192,"[0.6275, 0.6318, 0.3231]","[0.8246, 0.8633, 0.8626]",2001
64,"(0.5, 0.2, 0.3)",2,0,5,56.0,320,"[0.6435, 0.6235, 0.3485, 0.308, 0.2278]","[0.8417, 0.8388, 0.8619, 0.8729, 0.8637]",2002
64,"(0.5, 0.2, 0.3)",2,0,4,42.43,256,"[0.6283, 0.4812, 0.4685, 0.2493]","[0.8395, 0.8563, 0.8673, 0.8692]",2003
64,"(0.5, 0.2, 0.3)",2,0,4,42.25,256,"[0.7336, 0.5562, 0.5403, 0.4167]","[0.8491, 0.8618, 0.8655, 0.8613]",2004
64,"(0.5, 0.2, 0.3)",2,0,2,20.41,128,"[0.7757, 0.5803]","[0.843, 0.8591]",2005
64,"(0.5, 0.2, 0.3)",2,0,3,31.4,192,"[0.6572, 0.6856, 0.4301]","[0.8377, 0.8685, 0.8661]",2006
64,"(0.5, 0.2, 0.3)",2,0,1,9.92,64,[0.6809],[0.8417],2007
64,"(0.5, 0.2, 0.3)",2,0,1,9.89,64,[0.7029],[0.855],2008
64,"(0.5, 0.2, 0.3)",2,0,5,54.32,320,"[0.7018, 0.5354, 0.4826, 0.3499, 0.2641]","[0.8482, 0.8448, 0.8746, 0.8789, 0.8834]",2009
