use_topk,measure_size,weights,uncertainty_topk,grad_num,rand_num,phase,used_time,train_size,val_reg_r2,val_rank_r2,sampling_seed
False,64,"(0.6, 0.1, 0.3)",64,2,0,2,12.74,128,"[0.7609, 0.5547]","[0.8715, 0.8712]",2000
False,64,"(0.6, 0.1, 0.3)",64,2,0,1,6.29,64,[0.7088],[0.8548],2001
False,64,"(0.6, 0.1, 0.3)",64,2,0,1,6.25,64,[0.7988],[0.8641],2002
False,64,"(0.6, 0.1, 0.3)",64,2,0,3,19.63,192,"[0.7705, 0.5282, 0.3801]","[0.8624, 0.8508, 0.8633]",2003
False,64,"(0.6, 0.1, 0.3)",64,2,0,2,12.85,128,"[0.7366, 0.5282]","[0.8625, 0.8694]",2004
False,64,"(0.6, 0.1, 0.3)",64,2,0,2,12.71,128,"[0.7421, 0.6306]","[0.8648, 0.8775]",2005
False,64,"(0.6, 0.1, 0.3)",64,2,0,2,12.71,128,"[0.7234, 0.6691]","[0.8434, 0.8738]",2006
False,64,"(0.6, 0.1, 0.3)",64,2,0,4,26.42,256,"[0.703, 0.65, 0.3808, 0.2959]","[0.8535, 0.8621, 0.8842, 0.8988]",2007
False,64,"(0.6, 0.1, 0.3)",128,2,0,2,13.0,128,"[0.7609, 0.5171]","[0.8726, 0.8679]",2000
False,64,"(0.6, 0.1, 0.3)",128,2,0,1,6.26,64,[0.7088],[0.8489],2001
False,64,"(0.6, 0.1, 0.3)",128,2,0,1,6.33,64,[0.7988],[0.8623],2002
False,64,"(0.6, 0.1, 0.3)",128,2,0,3,19.75,192,"[0.7705, 0.636, 0.2561]","[0.8604, 0.8706, 0.8649]",2003
False,64,"(0.6, 0.1, 0.3)",128,2,0,2,12.71,128,"[0.7366, 0.5282]","[0.8673, 0.8743]",2004
False,64,"(0.6, 0.1, 0.3)",128,2,0,2,12.85,128,"[0.7421, 0.5792]","[0.8665, 0.8824]",2005
False,64,"(0.6, 0.1, 0.3)",128,2,0,2,12.87,128,"[0.7234, 0.6794]","[0.8424, 0.8747]",2006
False,64,"(0.6, 0.1, 0.3)",128,2,0,4,26.57,256,"[0.703, 0.6411, 0.3319, 0.1803]","[0.8501, 0.8621, 0.885, 0.89]",2007
False,64,"(0.6, 0.1, 0.3)",192,2,0,2,13.01,128,"[0.7609, 0.5171]","[0.868, 0.8678]",2000
False,64,"(0.6, 0.1, 0.3)",192,2,0,1,6.39,64,[0.7088],[0.8551],2001
False,64,"(0.6, 0.1, 0.3)",192,2,0,1,6.38,64,[0.7988],[0.8648],2002
False,64,"(0.6, 0.1, 0.3)",192,2,0,4,26.44,256,"[0.7705, 0.636, 0.3363, 0.1439]","[0.8586, 0.8644, 0.8755, 0.8849]",2003
False,64,"(0.6, 0.1, 0.3)",192,2,0,2,13.09,128,"[0.7366, 0.5282]","[0.8639, 0.8717]",2004
False,64,"(0.6, 0.1, 0.3)",192,2,0,2,13.27,128,"[0.7421, 0.5792]","[0.8649, 0.8822]",2005
False,64,"(0.6, 0.1, 0.3)",192,2,0,2,12.96,128,"[0.7234, 0.6794]","[0.839, 0.8726]",2006
False,64,"(0.6, 0.1, 0.3)",192,2,0,4,27.0,256,"[0.703, 0.6411, 0.3853, 0.2062]","[0.8521, 0.8589, 0.8906, 0.8919]",2007
False,64,"(0.6, 0.1, 0.3)",256,2,0,2,13.13,128,"[0.7609, 0.5171]","[0.8707, 0.8715]",2000
False,64,"(0.6, 0.1, 0.3)",256,2,0,1,6.31,64,[0.7088],[0.8504],2001
False,64,"(0.6, 0.1, 0.3)",256,2,0,1,6.29,64,[0.7988],[0.8598],2002
False,64,"(0.6, 0.1, 0.3)",256,2,0,4,26.68,256,"[0.7705, 0.636, 0.3363, 0.2507]","[0.8616, 0.8616, 0.8731, 0.8896]",2003
False,64,"(0.6, 0.1, 0.3)",256,2,0,2,13.1,128,"[0.7366, 0.5282]","[0.8674, 0.8711]",2004
False,64,"(0.6, 0.1, 0.3)",256,2,0,2,12.78,128,"[0.7421, 0.5792]","[0.864, 0.8832]",2005
False,64,"(0.6, 0.1, 0.3)",256,2,0,2,12.9,128,"[0.7234, 0.6794]","[0.8397, 0.8722]",2006
False,64,"(0.6, 0.1, 0.3)",256,2,0,4,26.81,256,"[0.703, 0.6411, 0.3853, 0.3847]","[0.8511, 0.8664, 0.8932, 0.8944]",2007
False,64,"(0.3, 0.3, 0.4)",64,2,0,2,13.14,128,"[0.7609, 0.5049]","[0.8697, 0.8672]",2000
False,64,"(0.3, 0.3, 0.4)",64,2,0,1,6.36,64,[0.7088],[0.8504],2001
False,64,"(0.3, 0.3, 0.4)",64,2,0,1,6.48,64,[0.7988],[0.8594],2002
False,64,"(0.3, 0.3, 0.4)",64,2,0,2,13.16,128,"[0.7705, 0.4784]","[0.8619, 0.861]",2003
