measure_size,weights,uncertainty_topk,grad_num,rand_num,phase,used_time,train_size,val_reg_r2,val_rank_r2,sampling_seed
64,"(0.4, 0.3, 0.3)",64,0,0,2,7.06,128,"[0.7609, 0.405]","[None, None]",2000
64,"(0.4, 0.3, 0.3)",64,0,0,1,3.36,64,[0.7088],[None],2001
64,"(0.4, 0.3, 0.3)",64,0,0,1,3.36,64,[0.7988],[None],2002
64,"(0.4, 0.3, 0.3)",64,0,0,2,6.96,128,"[0.7705, 0.5296]","[None, None]",2003
64,"(0.4, 0.3, 0.3)",64,0,0,2,7.21,128,"[0.7366, 0.5267]","[None, None]",2004
64,"(0.4, 0.3, 0.3)",64,0,0,2,7.22,128,"[0.7421, 0.6613]","[None, None]",2005
64,"(0.4, 0.3, 0.3)",64,0,0,5,19.06,320,"[0.7234, 0.7349, 0.6145, 0.6142, 0.5489]","[None, None, None, None, None]",2006
64,"(0.4, 0.3, 0.3)",64,0,0,4,14.84,256,"[0.703, 0.7232, 0.4829, 0.2854]","[None, None, None, None]",2007
64,"(0.4, 0.3, 0.3)",64,2,0,2,6.97,128,"[0.7609, 0.576]","[None, None]",2000
64,"(0.4, 0.3, 0.3)",64,2,0,1,3.4,64,[0.7088],[None],2001
64,"(0.4, 0.3, 0.3)",64,2,0,1,3.39,64,[0.7988],[None],2002
64,"(0.4, 0.3, 0.3)",64,2,0,2,6.95,128,"[0.7705, 0.5529]","[None, None]",2003
64,"(0.4, 0.3, 0.3)",64,2,0,2,6.96,128,"[0.7366, 0.5121]","[None, None]",2004
64,"(0.4, 0.3, 0.3)",64,2,0,2,6.94,128,"[0.7421, 0.6613]","[None, None]",2005
64,"(0.4, 0.3, 0.3)",64,2,0,4,14.64,256,"[0.7234, 0.7541, 0.5218, 0.3778]","[None, None, None, None]",2006
64,"(0.4, 0.3, 0.3)",64,2,0,3,10.78,192,"[0.703, 0.7285, 0.4071]","[None, None, None]",2007
64,"(0.4, 0.3, 0.3)",64,4,0,2,7.24,128,"[0.7609, 0.3829]","[None, None]",2000
64,"(0.4, 0.3, 0.3)",64,4,0,1,3.52,64,[0.7088],[None],2001
64,"(0.4, 0.3, 0.3)",64,4,0,1,3.52,64,[0.7988],[None],2002
64,"(0.4, 0.3, 0.3)",64,4,0,2,7.23,128,"[0.7705, 0.6272]","[None, None]",2003
64,"(0.4, 0.3, 0.3)",64,4,0,2,7.08,128,"[0.7366, 0.5059]","[None, None]",2004
64,"(0.4, 0.3, 0.3)",64,4,0,2,7.0,128,"[0.7421, 0.6538]","[None, None]",2005
64,"(0.4, 0.3, 0.3)",64,4,0,4,14.8,256,"[0.7234, 0.7435, 0.5405, 0.5385]","[None, None, None, None]",2006
64,"(0.4, 0.3, 0.3)",64,4,0,2,7.18,128,"[0.703, 0.7267]","[None, None]",2007
