use_topk,measure_size,weights,uncertainty_topk,grad_num,rand_num,phase,used_time,train_size,val_reg_r2,val_rank_r2,sampling_seed
False,64,"(0.6, 0.1, 0.3)",64,2,0,2,13.29,128,"[0.7801, 0.5208]","[0.8691, 0.8658]",2000
False,64,"(0.6, 0.1, 0.3)",64,2,0,1,6.52,64,[0.7086],[0.8502],2001
False,64,"(0.6, 0.1, 0.3)",64,2,0,1,6.6,64,[0.8093],[0.8631],2002
False,64,"(0.6, 0.1, 0.3)",64,2,0,4,27.18,256,"[0.7444, 0.6461, 0.4872, 0.3462]","[0.8538, 0.8567, 0.8744, 0.8872]",2003
False,64,"(0.6, 0.1, 0.3)",64,2,0,3,20.19,192,"[0.7378, 0.5813, 0.3501]","[0.863, 0.8647, 0.8832]",2004
False,64,"(0.6, 0.1, 0.3)",64,2,0,4,27.0,256,"[0.7493, 0.5047, 0.4455, 0.3566]","[0.8673, 0.8681, 0.8912, 0.9053]",2005
False,64,"(0.6, 0.1, 0.3)",64,2,0,3,20.08,192,"[0.7627, 0.5937, 0.5793]","[0.856, 0.8837, 0.8905]",2006
False,64,"(0.6, 0.1, 0.3)",64,2,0,5,34.53,320,"[0.6878, 0.7157, 0.4531, 0.4269, 0.4384]","[0.8528, 0.8534, 0.8701, 0.8921, 0.895]",2007
False,64,"(0.6, 0.1, 0.3)",128,2,0,4,26.99,256,"[0.7801, 0.4753, 0.2901, 0.1403]","[0.8707, 0.8755, 0.8799, 0.8857]",2000
False,64,"(0.6, 0.1, 0.3)",128,2,0,1,6.43,64,[0.7086],[0.8466],2001
False,64,"(0.6, 0.1, 0.3)",128,2,0,1,6.57,64,[0.8093],[0.8591],2002
False,64,"(0.6, 0.1, 0.3)",128,2,0,6,42.34,384,"[0.7444, 0.6022, 0.3265, 0.3556, 0.3028, 0.3523]","[0.8576, 0.8598, 0.8724, 0.891, 0.8971, 0.9019]",2003
