measure_size,weights,uncertainty_topk,grad_num,rand_num,phase,used_time,train_size,val_reg_r2,val_rank_r2,sampling_seed
64,"(0.3, 0.3, 0.4)",64,0,0,2,7.31,128,"[0.7609, 0.451]","[None, None]",2000
64,"(0.3, 0.3, 0.4)",64,0,0,1,3.53,64,[0.7088],[None],2001
64,"(0.3, 0.3, 0.4)",64,0,0,1,3.52,64,[0.7988],[None],2002
64,"(0.3, 0.3, 0.4)",64,0,0,2,7.05,128,"[0.7705, 0.5059]","[None, None]",2003
64,"(0.3, 0.3, 0.4)",64,0,0,2,7.06,128,"[0.7366, 0.52]","[None, None]",2004
64,"(0.3, 0.3, 0.4)",64,0,0,2,7.28,128,"[0.7421, 0.6148]","[None, None]",2005
64,"(0.3, 0.3, 0.4)",64,0,0,5,19.69,320,"[0.7234, 0.7655, 0.5798, 0.448, 0.2057]","[None, None, None, None, None]",2006
64,"(0.3, 0.3, 0.4)",64,0,0,2,7.0,128,"[0.703, 0.7153]","[None, None]",2007
64,"(0.3, 0.3, 0.4)",64,2,0,2,6.94,128,"[0.7609, 0.5049]","[None, None]",2000
64,"(0.3, 0.3, 0.4)",64,2,0,1,3.35,64,[0.7088],[None],2001
64,"(0.3, 0.3, 0.4)",64,2,0,1,3.36,64,[0.7988],[None],2002
64,"(0.3, 0.3, 0.4)",64,2,0,2,6.94,128,"[0.7705, 0.4784]","[None, None]",2003
64,"(0.3, 0.3, 0.4)",64,2,0,2,6.95,128,"[0.7366, 0.5116]","[None, None]",2004
64,"(0.3, 0.3, 0.4)",64,2,0,2,6.96,128,"[0.7421, 0.6148]","[None, None]",2005
64,"(0.3, 0.3, 0.4)",64,2,0,4,14.79,256,"[0.7234, 0.7567, 0.5645, 0.4656]","[None, None, None, None]",2006
64,"(0.3, 0.3, 0.4)",64,2,0,2,6.94,128,"[0.703, 0.7303]","[None, None]",2007
64,"(0.3, 0.3, 0.4)",64,4,0,2,6.94,128,"[0.7609, 0.5275]","[None, None]",2000
64,"(0.3, 0.3, 0.4)",64,4,0,1,3.4,64,[0.7088],[None],2001
64,"(0.3, 0.3, 0.4)",64,4,0,1,3.36,64,[0.7988],[None],2002
64,"(0.3, 0.3, 0.4)",64,4,0,3,10.68,192,"[0.7705, 0.5157, 0.4647]","[None, None, None]",2003
64,"(0.3, 0.3, 0.4)",64,4,0,2,6.93,128,"[0.7366, 0.4663]","[None, None]",2004
64,"(0.3, 0.3, 0.4)",64,4,0,2,6.95,128,"[0.7421, 0.6236]","[None, None]",2005
64,"(0.3, 0.3, 0.4)",64,4,0,4,14.94,256,"[0.7234, 0.7088, 0.5862, 0.5244]","[None, None, None, None]",2006
64,"(0.3, 0.3, 0.4)",64,4,0,2,6.92,128,"[0.703, 0.7308]","[None, None]",2007
