measure_size,weights,grad_num,rand_num,phase,used_time,train_size,val_reg_r2,val_rank_r2,sampling_seed
32,"(0.3, 0.0, 0.7)",2,0,5,50.45,160,"[0.5483, 0.447, 0.0028, 0.2142, 0.1951]","[0.8057, 0.8215, 0.8346, 0.8502, 0.8535]",2025
32,"(0.3, 0.1, 0.6)",2,0,4,39.57,128,"[0.5483, 0.3366, 0.3644, 0.2726]","[0.8057, 0.8178, 0.8476, 0.8509]",2025
32,"(0.3, 0.2, 0.5)",2,0,4,39.54,128,"[0.5483, 0.4739, 0.1533, -0.0768]","[0.8057, 0.8144, 0.841, 0.8444]",2025
32,"(0.3, 0.3, 0.4)",2,0,4,40.23,128,"[0.5483, 0.2893, -0.1005, 0.1272]","[0.8057, 0.819, 0.8223, 0.855]",2025
32,"(0.3, 0.4, 0.3)",2,0,3,29.7,96,"[0.5483, 0.3771, -0.2101]","[0.8057, 0.8166, 0.8272]",2025
32,"(0.3, 0.5, 0.2)",2,0,5,50.26,160,"[0.5483, 0.2766, -0.0906, -0.0144, 0.1367]","[0.8057, 0.8168, 0.8237, 0.8542, 0.8633]",2025
32,"(0.3, 0.6, 0.1)",2,0,9,95.69,288,"[0.5483, 0.2761, 0.1627, 0.2221, -0.1974, -0.0751, -0.0113, -0.2149, -0.7235]","[0.8057, 0.8066, 0.8299, 0.8444, 0.8313, 0.8472, 0.8571, 0.8469, 0.8475]",2025
32,"(0.3, 0.7, 0.0)",2,0,8,84.11,256,"[0.5483, 0.3414, 0.3118, 0.0351, -0.1151, -0.2211, -0.2123, -0.303]","[0.8057, 0.8093, 0.8393, 0.8482, 0.851, 0.856, 0.8574, 0.8432]",2025
32,"(0.4, 0.0, 0.6)",2,0,4,40.17,128,"[0.5483, 0.416, -0.0526, 0.0244]","[0.8057, 0.8027, 0.8502, 0.8481]",2025
32,"(0.4, 0.1, 0.5)",2,0,5,50.34,160,"[0.5483, 0.3868, 0.2039, 0.0128, 0.156]","[0.8057, 0.8145, 0.8388, 0.8608, 0.858]",2025
32,"(0.4, 0.2, 0.4)",2,0,7,72.23,224,"[0.5483, 0.364, 0.2779, -0.1325, 0.0187, -0.0477, 0.1112]","[0.8057, 0.8212, 0.8358, 0.847, 0.8535, 0.8643, 0.8622]",2025
32,"(0.4, 0.3, 0.3)",2,0,3,29.37,96,"[0.5483, 0.2915, -0.1146]","[0.8057, 0.8174, 0.8163]",2025
32,"(0.4, 0.4, 0.2)",2,0,3,29.42,96,"[0.5483, 0.2914, 0.1507]","[0.8057, 0.8135, 0.8197]",2025
32,"(0.4, 0.5, 0.1)",2,0,6,60.86,192,"[0.5483, 0.2635, -0.2028, 0.0805, 0.066, 0.0513]","[0.8057, 0.8097, 0.8126, 0.847, 0.8581, 0.8663]",2025
32,"(0.4, 0.6, 0.0)",2,0,9,94.87,288,"[0.5483, 0.321, 0.2698, 0.0414, -0.1802, 0.0504, -0.4207, -0.6731, -0.3069]","[0.8057, 0.8133, 0.8376, 0.8463, 0.8542, 0.8382, 0.8215, 0.8451, 0.8342]",2025
32,"(0.5, 0.0, 0.5)",2,0,6,61.82,192,"[0.5483, 0.4514, 0.1106, 0.3565, 0.184, -0.179]","[0.8057, 0.815, 0.8352, 0.8557, 0.8548, 0.8612]",2025
32,"(0.5, 0.1, 0.4)",2,0,4,40.14,128,"[0.5483, 0.4457, 0.1104, 0.1982]","[0.8057, 0.8117, 0.824, 0.8402]",2025
32,"(0.5, 0.2, 0.3)",2,0,8,84.78,256,"[0.5483, 0.4179, 0.225, -0.0236, 0.0315, -0.5249, -0.3214, -0.1749]","[0.8057, 0.8061, 0.83, 0.8261, 0.8446, 0.8417, 0.8472, 0.8433]",2025
32,"(0.5, 0.3, 0.2)",2,0,6,62.32,192,"[0.5483, 0.295, -0.1354, -0.16, -0.1343, 0.0298]","[0.8057, 0.7964, 0.8222, 0.8219, 0.8307, 0.844]",2025
32,"(0.5, 0.4, 0.1)",2,0,10,107.07,320,"[0.5483, 0.282, 0.1033, -0.0413, -0.1855, -0.5196, -0.3492, -0.2878, -0.5692, -0.7392]","[0.8057, 0.8037, 0.828, 0.8363, 0.8457, 0.8282, 0.8361, 0.8539, 0.8554, 0.8367]",2025
32,"(0.5, 0.5, 0.0)",2,0,11,117.44,352,"[0.5483, 0.3201, -0.1418, 0.1375, -0.0728, -0.3977, -0.1295, -0.4698, -0.6833, -0.6184, -0.0355]","[0.8057, 0.8127, 0.8109, 0.837, 0.8455, 0.8187, 0.8501, 0.8308, 0.8471, 0.836, 0.8527]",2025
32,"(0.6, 0.0, 0.4)",2,0,6,60.92,192,"[0.5483, 0.4576, 0.2514, 0.2057, -0.0883, -0.3573]","[0.8057, 0.8063, 0.8364, 0.8385, 0.8601, 0.8631]",2025
32,"(0.6, 0.1, 0.3)",2,0,9,96.37,288,"[0.5483, 0.4676, 0.1005, 0.4322, 0.122, 0.2169, 0.0642, 0.0525, -0.0027]","[0.8057, 0.8091, 0.8359, 0.8422, 0.8439, 0.8445, 0.8624, 0.8741, 0.88]",2025
32,"(0.6, 0.2, 0.2)",2,0,4,40.12,128,"[0.5483, 0.3558, 0.2008, 0.2334]","[0.8057, 0.8162, 0.8246, 0.837]",2025
32,"(0.6, 0.3, 0.1)",2,0,6,62.26,192,"[0.5483, 0.4691, 0.3175, 0.1839, -0.0975, -0.1096]","[0.8057, 0.8196, 0.8325, 0.8539, 0.853, 0.848]",2025
32,"(0.6, 0.4, 0.0)",2,0,7,73.3,224,"[0.5483, 0.3168, -0.0584, -0.0015, -0.0369, -0.2681, -0.5452]","[0.8057, 0.8231, 0.8257, 0.8497, 0.8484, 0.8502, 0.8433]",2025
32,"(0.7, 0.0, 0.3)",2,0,6,62.44,192,"[0.5483, 0.4938, 0.0309, 0.1201, 0.018, -0.2608]","[0.8057, 0.8208, 0.8347, 0.8399, 0.8433, 0.8452]",2025
32,"(0.7, 0.1, 0.2)",2,0,7,72.02,224,"[0.5483, 0.4993, 0.2401, 0.0305, -0.2439, -0.2608, -0.1637]","[0.8057, 0.8172, 0.8415, 0.8349, 0.8417, 0.8463, 0.8572]",2025
32,"(0.7, 0.2, 0.1)",2,0,3,29.45,96,"[0.5483, 0.3168, -0.008]","[0.8057, 0.81, 0.8344]",2025
32,"(0.7, 0.3, 0.0)",2,0,9,94.04,288,"[0.5483, 0.1725, 0.1432, 0.1254, -0.433, -0.3514, -0.5186, -0.6155, -0.8795]","[0.8057, 0.804, 0.8287, 0.8374, 0.8477, 0.8393, 0.8417, 0.8335, 0.8415]",2025
32,"(0.8, 0.0, 0.2)",2,0,6,61.56,192,"[0.5483, 0.4633, 0.1381, 0.1683, -0.1379, -0.1523]","[0.8057, 0.8262, 0.8485, 0.8506, 0.8444, 0.8348]",2025
32,"(0.8, 0.1, 0.1)",2,0,9,95.15,288,"[0.5483, 0.4085, -0.008, 0.0941, 0.0471, 0.0357, -0.3581, -0.2204, -0.3489]","[0.8057, 0.8232, 0.829, 0.841, 0.8532, 0.8596, 0.8457, 0.8458, 0.8588]",2025
32,"(0.8, 0.2, 0.0)",2,0,10,105.92,320,"[0.5483, 0.3334, 0.0415, -0.0863, -0.5005, -0.4614, -0.5974, -0.5729, -0.4561, -0.6882]","[0.8057, 0.8185, 0.8241, 0.8319, 0.8189, 0.8327, 0.8462, 0.8455, 0.857, 0.8279]",2025
32,"(0.9, 0.0, 0.1)",2,0,10,106.18,320,"[0.5483, 0.5287, 0.1408, 0.3681, 0.0803, -0.6711, -0.3305, -0.0333, -0.1622, -0.2787]","[0.8057, 0.8191, 0.8351, 0.8506, 0.8701, 0.8375, 0.8491, 0.8742, 0.8694, 0.8427]",2025
32,"(0.9, 0.1, 0.0)",2,0,10,106.26,320,"[0.5483, 0.4228, -0.2995, 0.0809, -0.1835, -0.2861, -0.0388, -0.4373, -0.793, -0.608]","[0.8057, 0.8177, 0.8206, 0.8425, 0.846, 0.8556, 0.851, 0.8436, 0.8507, 0.8429]",2025
32,"(1.0, 0.0, 0.0)",2,0,9,95.21,288,"[0.5483, 0.4334, -0.2377, -0.3056, -0.1667, -0.0218, -0.2628, -0.1463, -0.2974]","[0.8057, 0.8173, 0.8084, 0.8322, 0.8521, 0.8595, 0.8447, 0.8804, 0.8635]",2025
