measure_size,weights,uncertainty_topk,grad_num,rand_num,phase,used_time,train_size,val_reg_r2,val_rank_r2,sampling_seed
64,"(0.4, 0.3, 0.3)",64,4,0,1,3.41,64,[0.4189],[None],2000
64,"(0.4, 0.3, 0.3)",64,4,0,1,3.37,64,[0.1236],[None],2001
64,"(0.4, 0.3, 0.3)",64,4,0,1,3.3,64,[0.5436],[None],2002
64,"(0.4, 0.3, 0.3)",64,4,0,2,6.66,128,"[0.6486, 0.5938]","[None, None]",2003
64,"(0.4, 0.3, 0.3)",64,4,0,1,3.21,64,[0.2567],[None],2004
64,"(0.4, 0.3, 0.3)",64,4,0,1,3.21,64,[0.5816],[None],2005
64,"(0.4, 0.3, 0.3)",64,4,0,2,6.68,128,"[0.4293, 0.6466]","[None, None]",2006
64,"(0.4, 0.3, 0.3)",64,4,0,4,14.12,256,"[0.2933, 0.5348, 0.57, 0.616]","[None, None, None, None]",2007
64,"(0.4, 0.3, 0.3)",64,4,0,1,3.25,64,[0.191],[None],2008
64,"(0.4, 0.3, 0.3)",64,4,0,2,6.66,128,"[0.4926, 0.4729]","[None, None]",2009
