measure_size,phase,used_time,train_size,val_reg_r2,val_rank_r2,sampling_seed
64,4,5.1,256,"[0.4715, 0.5568, 0.5104, 0.5565]",[],2000
64,3,4.01,192,"[0.5626, 0.5161, 0.605]",[],2001
64,3,3.98,192,"[0.6207, 0.5753, 0.6437]",[],2002
64,4,4.86,256,"[0.6072, 0.579, 0.5048, 0.5879]",[],2003
64,3,3.95,192,"[0.493, 0.574, 0.5882]",[],2004
64,3,4.0,192,"[0.3719, 0.4445, 0.4413]",[],2005
64,2,3.32,128,"[0.579, 0.6516]",[],2006
64,2,3.43,128,"[0.4673, 0.4665]",[],2007
64,3,4.03,192,"[0.5415, 0.5958, 0.5992]",[],2008
64,4,4.9,256,"[0.3321, 0.6024, 0.6371, 0.6511]",[],2009
