lambda_reg,lambda_pair,margin_scale,gamma,beta,noise_std,alpha,encoder_lr,feature_predictor_lr,cost_predictor_lr,use_feature,mean_reg_r2,std_reg_r2,mean_rank_r2,std_rank_r2
0.01,2.0,0.3,0.01,0.01,0.001,0.0001,5e-05,0.01,0.01,False,0.4565,0.0,0.7853,0.0056
0.01,2.0,0.3,0.01,0.01,0.001,0.0001,5e-05,0.01,0.01,True,0.438,0.0,0.7771,0.0027
0.01,2.0,0.3,0.01,0.01,0.001,0.001,5e-05,0.01,0.01,False,0.4579,0.0,0.7788,0.0052
0.01,2.0,0.3,0.01,0.01,0.001,0.001,5e-05,0.01,0.01,True,0.4373,0.0,0.7785,0.0014
0.01,2.0,0.3,0.01,0.01,0.01,0.0001,5e-05,0.01,0.01,False,0.4281,0.0,0.7779,0.0021
0.01,2.0,0.3,0.01,0.01,0.01,0.0001,5e-05,0.01,0.01,True,0.4541,0.0,0.7833,0.0047
0.01,2.0,0.3,0.01,0.01,0.01,0.001,5e-05,0.01,0.01,False,0.4783,0.0,0.7833,0.0014
0.01,2.0,0.3,0.01,0.01,0.01,0.001,5e-05,0.01,0.01,True,0.4758,0.0,0.7845,0.006
0.01,2.0,0.3,0.01,0.1,0.001,0.0001,5e-05,0.01,0.01,False,0.4759,0.0,0.7893,0.0002
0.01,2.0,0.3,0.01,0.1,0.001,0.0001,5e-05,0.01,0.01,True,0.4405,0.0,0.7852,0.0038
0.01,2.0,0.3,0.01,0.1,0.001,0.001,5e-05,0.01,0.01,False,0.5011,0.0,0.7901,0.0031
0.01,2.0,0.3,0.01,0.1,0.001,0.001,5e-05,0.01,0.01,True,0.4311,0.0,0.7827,0.0007
0.01,2.0,0.3,0.01,0.1,0.01,0.0001,5e-05,0.01,0.01,False,0.4715,0.0,0.7862,0.0101
0.01,2.0,0.3,0.01,0.1,0.01,0.0001,5e-05,0.01,0.01,True,0.4443,0.0,0.793,0.0002
0.01,2.0,0.3,0.01,0.1,0.01,0.001,5e-05,0.01,0.01,False,0.4343,0.0,0.7924,0.0031
0.01,2.0,0.3,0.01,0.1,0.01,0.001,5e-05,0.01,0.01,True,0.3895,0.0,0.793,0.004
0.01,2.0,0.3,0.1,0.01,0.001,0.0001,5e-05,0.01,0.01,False,0.442,0.0,0.7851,0.0083
0.01,2.0,0.3,0.1,0.01,0.001,0.0001,5e-05,0.01,0.01,True,0.402,0.0,0.7777,0.0043
0.01,2.0,0.3,0.1,0.01,0.001,0.001,5e-05,0.01,0.01,False,0.4537,0.0,0.7917,0.0039
0.01,2.0,0.3,0.1,0.01,0.001,0.001,5e-05,0.01,0.01,True,0.4304,0.0,0.7837,0.0014
0.01,2.0,0.3,0.1,0.01,0.01,0.0001,5e-05,0.01,0.01,False,0.4261,0.0,0.7846,0.0112
0.01,2.0,0.3,0.1,0.01,0.01,0.0001,5e-05,0.01,0.01,True,0.4694,0.0,0.7808,0.0107
0.01,2.0,0.3,0.1,0.01,0.01,0.001,5e-05,0.01,0.01,False,0.4561,0.0,0.7886,0.006
0.01,2.0,0.3,0.1,0.01,0.01,0.001,5e-05,0.01,0.01,True,0.4423,0.0,0.7777,0.006
0.01,2.0,0.3,0.1,0.1,0.001,0.0001,5e-05,0.01,0.01,False,0.4657,0.0,0.7853,0.0061
0.01,2.0,0.3,0.1,0.1,0.001,0.0001,5e-05,0.01,0.01,True,0.4497,0.0,0.7827,0.0024
0.01,2.0,0.3,0.1,0.1,0.001,0.001,5e-05,0.01,0.01,False,0.471,0.0,0.7913,0.0039
0.01,2.0,0.3,0.1,0.1,0.001,0.001,5e-05,0.01,0.01,True,0.3466,0.0,0.7823,0.0034
0.01,2.0,0.3,0.1,0.1,0.01,0.0001,5e-05,0.01,0.01,False,0.4864,0.0,0.7834,0.0034
