epochs,lr,lambda_kld,lambda_reg,lambda_pair,lambda_smooth,lambda_infonce,num_pairs,tv_mean,tv_median,spearman_mean,spearman_median,unique_mean,unique_median
1000,5e-05,0.0,0.01,0.0,0.01,0.01,200.0,3.9971,3.6587,-0.0581,-0.1364,7.43,7.0
1000,5e-05,0.0,0.01,0.0,0.01,0.1,200.0,2.0335,2.1666,-0.123,-0.5773,7.0,7.0
1000,5e-05,0.0,0.01,0.0,0.01,0.2,200.0,2.1939,2.1664,-0.0303,-0.6727,7.565,8.0
1000,5e-05,0.0,0.01,0.0,0.1,0.0,200.0,3.8126,3.6766,-0.0124,-0.0545,7.285,7.0
1000,5e-05,0.0,0.01,0.0,0.1,0.01,200.0,3.4282,3.528,-0.0133,-0.0818,7.42,8.0
1000,5e-05,0.0,0.01,0.0,0.1,0.1,200.0,2.0532,2.172,-0.1314,-0.6455,7.02,7.0
1000,5e-05,0.0,0.01,0.0,0.1,0.2,200.0,2.2504,2.1667,-0.047,-0.6318,7.475,8.0
1000,5e-05,0.0,0.01,0.1,0.0,0.0,200.0,3.6119,3.3778,0.0366,0.0909,7.065,7.0
1000,5e-05,0.0,0.01,0.1,0.0,0.01,200.0,3.121,3.0376,-0.0507,-0.1818,6.885,7.0
1000,5e-05,0.0,0.01,0.1,0.0,0.1,200.0,2.1147,2.1286,-0.0243,-0.6591,7.22,7.0
1000,5e-05,0.0,0.01,0.1,0.0,0.2,200.0,2.1283,2.1117,-0.0675,-0.8091,7.555,8.0
1000,5e-05,0.0,0.01,0.1,0.01,0.0,200.0,3.3854,3.358,0.0957,0.1227,7.11,7.0
1000,5e-05,0.0,0.01,0.1,0.01,0.01,200.0,2.8344,2.7888,-0.0003,-0.0136,6.74,7.0
1000,5e-05,0.0,0.01,0.1,0.01,0.1,200.0,2.1325,2.1668,-0.0195,-0.6591,7.265,7.0
1000,5e-05,0.0,0.01,0.1,0.01,0.2,200.0,2.1081,2.0585,-0.094,-0.8318,7.5,8.0
1000,5e-05,0.0,0.01,0.1,0.1,0.0,200.0,3.6729,3.4578,0.0383,0.0455,7.17,7.0
1000,5e-05,0.0,0.01,0.1,0.1,0.01,200.0,3.1556,3.0058,0.0005,0.0182,6.74,7.0
1000,5e-05,0.0,0.01,0.1,0.1,0.1,200.0,2.0962,2.1414,-0.0142,-0.6636,7.385,7.0
1000,5e-05,0.0,0.01,0.1,0.1,0.2,200.0,2.1385,2.1352,-0.0715,-0.7955,7.6,8.0
1000,5e-05,0.0,0.01,0.5,0.0,0.0,200.0,3.4263,3.3821,0.0624,0.2,6.765,7.0
1000,5e-05,0.0,0.01,0.5,0.0,0.01,200.0,2.4121,2.4009,-0.032,-0.1545,6.485,6.0
1000,5e-05,0.0,0.01,0.5,0.0,0.1,200.0,2.0654,2.1056,0.0425,0.6227,7.82,8.0
1000,5e-05,0.0,0.01,0.5,0.0,0.2,200.0,1.9585,1.9684,0.0211,0.6045,7.985,8.0
1000,5e-05,0.0,0.01,0.5,0.01,0.0,200.0,3.2322,3.1042,0.0424,0.0591,6.75,7.0
1000,5e-05,0.0,0.01,0.5,0.01,0.01,200.0,2.6432,2.5013,-0.0258,-0.1136,6.52,6.0
1000,5e-05,0.0,0.01,0.5,0.01,0.1,200.0,2.0991,2.142,0.0721,0.8591,7.805,8.0
1000,5e-05,0.0,0.01,0.5,0.01,0.2,200.0,1.982,1.9679,0.0237,0.5909,7.93,8.0
1000,5e-05,0.0,0.01,0.5,0.1,0.0,200.0,3.4678,3.4019,0.0772,0.0955,6.575,7.0
1000,5e-05,0.0,0.01,0.5,0.1,0.01,200.0,2.3869,2.2672,-0.0385,-0.1636,6.41,6.0
1000,5e-05,0.0,0.01,0.5,0.1,0.1,200.0,2.1052,2.1283,0.022,-0.0682,7.805,8.0
1000,5e-05,0.0,0.01,0.5,0.1,0.2,200.0,2.0105,2.0475,0.0169,0.0227,7.94,8.0
1000,5e-05,0.0,0.01,1.0,0.0,0.0,200.0,2.6769,2.4482,0.0344,0.0409,6.94,7.0
1000,5e-05,0.0,0.01,1.0,0.0,0.01,200.0,2.0269,1.914,0.1108,0.2682,6.43,6.0
1000,5e-05,0.0,0.01,1.0,0.0,0.1,200.0,2.0556,2.0785,0.0579,0.75,7.65,8.0
1000,5e-05,0.0,0.01,1.0,0.0,0.2,200.0,1.9874,1.9961,0.0336,0.4864,7.9,8.0
1000,5e-05,0.0,0.01,1.0,0.01,0.0,200.0,2.5306,2.419,0.0395,0.0182,6.68,7.0
1000,5e-05,0.0,0.01,1.0,0.01,0.01,200.0,2.0559,1.8409,0.06,0.1409,6.535,6.5
