epochs,lr,lambda_kld,lambda_reg,lambda_pair,lambda_smooth,lambda_infonce,num_pairs,tv_mean,tv_median,spearman_mean,spearman_median,unique_mean,unique_median,mono_viol_mean,mono_viol_median
1000,5e-05,0.0,0.01,0.0,0.01,0.01,200.0,4.9408,4.721,-0.8984,-0.9273,8.21,8.0,1.535,1.0
1000,5e-05,0.0,0.01,0.0,0.01,0.1,200.0,4.6206,4.3811,-0.9769,-0.9909,9.72,10.0,0.505,0.0
1000,5e-05,0.0,0.01,0.0,0.01,0.2,200.0,4.5937,4.5027,-0.985,-0.9909,9.83,10.0,0.43,0.0
1000,5e-05,0.0,0.01,0.0,0.1,0.0,200.0,4.7598,4.5512,-0.8646,-0.9091,8.21,8.0,1.755,2.0
1000,5e-05,0.0,0.01,0.0,0.1,0.01,200.0,4.7859,4.6143,-0.895,-0.9136,7.98,8.0,1.415,1.0
1000,5e-05,0.0,0.01,0.0,0.1,0.1,200.0,4.5869,4.4437,-0.9777,-0.9909,9.615,10.0,0.5,0.0
1000,5e-05,0.0,0.01,0.0,0.1,0.2,200.0,4.6099,4.5029,-0.9846,-0.9909,9.9,10.0,0.385,0.0
1000,5e-05,0.0,0.01,0.1,0.0,0.0,200.0,4.703,4.5338,-0.8822,-0.9273,7.93,8.0,1.45,1.0
1000,5e-05,0.0,0.01,0.1,0.0,0.01,200.0,4.7219,4.6757,-0.8977,-0.9273,7.86,8.0,1.33,1.0
1000,5e-05,0.0,0.01,0.1,0.0,0.1,200.0,4.4751,4.4646,-0.9851,-0.9909,9.865,10.0,0.425,0.0
1000,5e-05,0.0,0.01,0.1,0.0,0.2,200.0,4.539,4.5028,-0.9878,-0.9909,9.98,10.0,0.32,0.0
1000,5e-05,0.0,0.01,0.1,0.01,0.0,200.0,4.5782,4.4747,-0.8774,-0.9091,7.98,8.0,1.45,1.0
1000,5e-05,0.0,0.01,0.1,0.01,0.01,200.0,4.7792,4.5732,-0.9057,-0.9455,7.905,8.0,1.27,1.0
1000,5e-05,0.0,0.01,0.1,0.01,0.1,200.0,4.4931,4.4647,-0.9864,-0.9909,9.93,10.0,0.4,0.0
