epochs,lr,lambda_kld,lambda_reg,lambda_pair,lambda_smooth,lambda_infonce,num_pairs,tv_mean,tv_median,spearman_mean,spearman_median,unique_mean,unique_median
1000,5e-05,0.0,0.01,0.0,0.01,0.01,200.0,2.7962,2.7153,-0.0299,-0.3091,7.12,7.0
1000,5e-05,0.0,0.01,0.0,0.01,0.1,200.0,2.1161,1.7991,-0.1197,-0.3955,7.98,8.0
1000,5e-05,0.0,0.01,0.0,0.01,0.2,200.0,1.6882,1.4084,-0.1691,-0.6273,8.01,8.0
1000,5e-05,0.0,0.01,0.0,0.1,0.0,200.0,2.8817,2.6518,-0.0412,-0.1318,7.285,7.0
1000,5e-05,0.0,0.01,0.0,0.1,0.01,200.0,2.8756,2.6423,0.0183,0.0091,7.545,8.0
1000,5e-05,0.0,0.01,0.0,0.1,0.1,200.0,1.9672,1.73,-0.1135,-0.6273,8.175,8.0
1000,5e-05,0.0,0.01,0.0,0.1,0.2,200.0,1.7902,1.5553,-0.1005,-0.3909,7.635,8.0
1000,5e-05,0.0,0.01,0.1,0.0,0.0,200.0,3.2216,3.3185,0.0808,0.1818,7.66,8.0
1000,5e-05,0.0,0.01,0.1,0.0,0.01,200.0,2.8614,3.0198,0.0519,0.0818,7.17,7.0
1000,5e-05,0.0,0.01,0.1,0.0,0.1,129.0,2.2973,2.1531,-0.0264,0.0,8.0155,8.0
1000,5e-05,0.0,0.01,0.1,0.0,0.2,173.0,2.1364,1.7601,0.1664,0.7273,8.2775,8.0
1000,5e-05,0.0,0.01,0.1,0.01,0.0,200.0,3.0322,2.9896,0.0495,0.1091,7.725,8.0
1000,5e-05,0.0,0.01,0.1,0.01,0.01,200.0,2.8625,3.0718,0.0147,-0.0364,7.315,7.0
1000,5e-05,0.0,0.01,0.1,0.01,0.1,149.0,2.2162,2.1847,-0.022,0.0364,7.9329,8.0
1000,5e-05,0.0,0.01,0.1,0.01,0.2,137.0,2.0775,1.8998,0.1183,0.0455,7.6934,8.0
1000,5e-05,0.0,0.01,0.1,0.1,0.0,200.0,2.9519,3.0189,0.0658,0.2091,7.505,7.0
1000,5e-05,0.0,0.01,0.1,0.1,0.01,200.0,2.9841,3.0927,0.1046,0.1955,7.48,7.0
1000,5e-05,0.0,0.01,0.1,0.1,0.1,120.0,2.1578,2.0322,-0.0778,0.0,7.85,8.0
1000,5e-05,0.0,0.01,0.1,0.1,0.2,188.0,1.9791,1.8881,0.0681,0.0091,8.0691,8.0
1000,5e-05,0.0,0.01,0.5,0.0,0.0,200.0,2.9883,2.7768,0.0441,0.0727,6.92,7.0
1000,5e-05,0.0,0.01,0.5,0.0,0.01,200.0,2.455,2.2878,0.0632,0.1045,6.74,7.0
1000,5e-05,0.0,0.01,0.5,0.0,0.1,11.0,3.2318,3.2245,0.557,0.2909,9.5455,10.0
1000,5e-05,0.0,0.01,0.5,0.0,0.2,64.0,1.8932,1.5194,0.3408,0.8818,8.5625,8.0
1000,5e-05,0.0,0.01,0.5,0.01,0.0,200.0,2.9916,3.0153,-0.0114,0.0045,7.24,7.0
1000,5e-05,0.0,0.01,0.5,0.01,0.01,200.0,2.4282,2.1677,0.0668,0.2182,6.84,7.0
1000,5e-05,0.0,0.01,0.5,0.01,0.1,4.0,2.9277,2.9277,0.4909,0.4909,9.0,9.0
1000,5e-05,0.0,0.01,0.5,0.01,0.2,47.0,1.8034,1.2571,0.2783,0.9,7.9787,8.0
1000,5e-05,0.0,0.01,0.5,0.1,0.0,200.0,2.9014,2.8901,0.0036,0.0773,7.06,7.0
1000,5e-05,0.0,0.01,0.5,0.1,0.01,200.0,2.3624,2.0848,0.0799,0.0636,6.87,7.0
1000,5e-05,0.0,0.01,0.5,0.1,0.1,11.0,3.1217,3.2665,0.6975,0.9909,9.0909,10.0
1000,5e-05,0.0,0.01,0.5,0.1,0.2,70.0,1.8581,1.3296,0.0817,0.4273,8.2571,8.0
1000,5e-05,0.0,0.01,1.0,0.0,0.0,200.0,2.3036,2.1546,0.0275,0.0591,7.39,7.0
1000,5e-05,0.0,0.01,1.0,0.0,0.01,200.0,2.1991,1.9172,0.1963,0.4636,7.065,7.0
1000,5e-05,0.0,0.01,1.0,0.0,0.1,22.0,3.6858,3.2308,0.264,0.95,9.5909,10.0
1000,5e-05,0.0,0.01,1.0,0.0,0.2,8.0,1.9842,2.4175,0.2773,1.0,8.875,10.0
1000,5e-05,0.0,0.01,1.0,0.01,0.0,200.0,2.2699,1.9775,0.0162,-0.0636,7.155,7.0
1000,5e-05,0.0,0.01,1.0,0.01,0.01,200.0,2.132,1.7058,0.144,0.45,6.865,7.0
1000,5e-05,0.0,0.01,1.0,0.01,0.1,5.0,3.4158,3.4214,0.9873,0.9909,9.4,9.0
