epochs,lr,lambda_kld,lambda_reg,lambda_pair,lambda_smooth,lambda_infonce,val_recon_r2,val_reg_r2
1000,5e-05,0.0,0.01,0.0,0.01,0.01,0.9623585741771803,0.8802180228433939
1000,5e-05,0.0,0.01,0.0,0.01,0.1,0.956823264445583,0.9024775351915784
1000,5e-05,0.0,0.01,0.0,0.01,0.2,0.9496655151633462,0.907300558743092
1000,5e-05,0.0,0.01,0.0,0.1,0.0,0.9553615260619601,0.8752540119195404
1000,5e-05,0.0,0.01,0.0,0.1,0.01,0.9554530103148358,0.8763891572169389
1000,5e-05,0.0,0.01,0.0,0.1,0.1,0.9559071019181984,0.9014170017091786
1000,5e-05,0.0,0.01,0.0,0.1,0.2,0.9489840943965805,0.9067201341157545
1000,5e-05,0.0,0.01,0.1,0.0,0.0,0.9576739173835505,0.908108549630375
1000,5e-05,0.0,0.01,0.1,0.0,0.01,0.9588177769893664,0.910241250889812
1000,5e-05,0.0,0.01,0.1,0.0,0.1,0.9633096893825503,0.92296346797599
1000,5e-05,0.0,0.01,0.1,0.0,0.2,0.9532168170894859,0.9198474729256438
1000,5e-05,0.0,0.01,0.1,0.01,0.0,0.9587096916657576,0.9085917329523988
1000,5e-05,0.0,0.01,0.1,0.01,0.01,0.9592633255680959,0.9094766279313435
1000,5e-05,0.0,0.01,0.1,0.01,0.1,0.9620748643846186,0.9199616454952508
1000,5e-05,0.0,0.01,0.1,0.01,0.2,0.9532781272096033,0.9216493789943017
1000,5e-05,0.0,0.01,0.1,0.1,0.0,0.9577185492262683,0.9061877386413424
1000,5e-05,0.0,0.01,0.1,0.1,0.01,0.9590243893533137,0.9097643336440872
1000,5e-05,0.0,0.01,0.1,0.1,0.1,0.9620597731309327,0.9202887318615717
1000,5e-05,0.0,0.01,0.1,0.1,0.2,0.953433898694956,0.9187800140412824
1000,5e-05,0.0,0.01,0.5,0.0,0.0,0.9559097882745939,0.9191211163727722
1000,5e-05,0.0,0.01,0.5,0.0,0.01,0.9562072773321453,0.9210722304378792
1000,5e-05,0.0,0.01,0.5,0.0,0.1,0.9585657666965364,0.9258518587935778
