scratch,encoder_freeze,encoder_lr,cost_predictor_lr,weights,uncertainty_topk,grad_num,rand_num,phase,used_time,train_size,val_reg_r2,val_rank_r2,sampling_seed
False,True,0.0001,0.001,"(0.4, 0.3, 0.3)",64,4,0,2,5.99,128,"[0.7516, 0.796]","[None, None]",2000
False,True,0.0001,0.001,"(0.4, 0.3, 0.3)",64,4,0,1,2.88,64,[0.6039],[None],2001
False,True,0.0001,0.001,"(0.4, 0.3, 0.3)",64,4,0,1,2.8,64,[0.7052],[None],2002
False,True,0.0001,0.001,"(0.4, 0.3, 0.3)",64,4,0,2,5.88,128,"[0.7049, 0.7521]","[None, None]",2003
False,True,0.0001,0.001,"(0.4, 0.3, 0.3)",64,4,0,2,5.77,128,"[0.7551, 0.8257]","[None, None]",2004
False,True,0.0001,0.001,"(0.4, 0.3, 0.3)",64,4,0,3,9.35,192,"[0.673, 0.7865, 0.8516]","[None, None, None]",2005
False,True,0.0001,0.001,"(0.4, 0.3, 0.3)",64,4,0,1,2.91,64,[0.7058],[None],2006
False,True,0.0001,0.001,"(0.4, 0.3, 0.3)",64,4,0,5,16.45,320,"[0.6653, 0.8082, 0.8284, 0.8783, 0.8736]","[None, None, None, None, None]",2007
False,True,0.0001,0.001,"(0.4, 0.3, 0.3)",64,4,0,1,2.84,64,[0.5845],[None],2008
False,True,0.0001,0.001,"(0.4, 0.3, 0.3)",64,4,0,2,5.98,128,"[0.6925, 0.792]","[None, None]",2009
False,True,0.0001,0.001,"(0.4, 0.3, 0.3)",64,4,0,2,6.04,128,"[0.7101, 0.8318]","[None, None]",2010
False,True,0.0001,0.001,"(0.4, 0.3, 0.3)",64,4,0,1,2.9,64,[0.7364],[None],2011
False,True,0.0001,0.001,"(0.4, 0.3, 0.3)",64,4,0,2,6.01,128,"[0.6834, 0.8172]","[None, None]",2012
False,True,0.0001,0.001,"(0.4, 0.3, 0.3)",64,4,0,3,9.01,192,"[0.7177, 0.7828, 0.8286]","[None, None, None]",2013
False,True,0.0001,0.001,"(0.4, 0.3, 0.3)",64,4,0,3,9.05,192,"[0.7194, 0.7675, 0.7984]","[None, None, None]",2014
False,True,0.0001,0.001,"(0.4, 0.3, 0.3)",64,4,0,2,6.38,128,"[0.7057, 0.8286]","[None, None]",2015
False,True,0.0001,0.001,"(0.4, 0.3, 0.3)",64,4,0,2,5.83,128,"[0.6712, 0.8291]","[None, None]",2016
False,True,0.0001,0.001,"(0.4, 0.3, 0.3)",64,4,0,2,6.33,128,"[0.7327, 0.8097]","[None, None]",2017
False,True,0.0001,0.001,"(0.4, 0.3, 0.3)",64,4,0,2,6.03,128,"[0.6628, 0.8194]","[None, None]",2018
False,True,0.0001,0.001,"(0.4, 0.3, 0.3)",64,4,0,1,2.78,64,[0.6764],[None],2019
False,True,0.0001,0.0001,"(0.4, 0.3, 0.3)",64,4,0,1,2.74,64,[0.7021],[None],2000
False,True,0.0001,0.0001,"(0.4, 0.3, 0.3)",64,4,0,1,2.79,64,[0.5539],[None],2001
False,True,0.0001,0.0001,"(0.4, 0.3, 0.3)",64,4,0,1,2.76,64,[0.6849],[None],2002
False,True,0.0001,0.0001,"(0.4, 0.3, 0.3)",64,4,0,2,6.1,128,"[0.6229, 0.6441]","[None, None]",2003
False,True,0.0001,0.0001,"(0.4, 0.3, 0.3)",64,4,0,1,2.93,64,[0.6978],[None],2004
