encoder_lr,cost_predictor_lr,rank_warmup_epochs,weights,uncertainty_topk,grad_num,rand_num,phase,used_time,train_size,top-1,val_reg_r2,val_rank_r2,sampling_seed
1e-05,0.0001,400,"(0.4, 0.3, 0.3)",64,4,0,1,3.84,64,0,[0.6965],[None],2000
1e-05,0.0001,400,"(0.4, 0.3, 0.3)",64,4,0,1,3.58,64,0,[0.5715],[None],2001
1e-05,0.0001,400,"(0.4, 0.3, 0.3)",64,4,0,1,3.54,64,1,[0.6818],[None],2002
1e-05,0.0001,400,"(0.4, 0.3, 0.3)",64,4,0,2,7.35,128,1,"[0.6543, 0.6664]","[None, None]",2003
1e-05,0.0001,400,"(0.4, 0.3, 0.3)",64,4,0,1,3.55,64,0,[0.6952],[None],2004
1e-05,0.0001,400,"(0.4, 0.3, 0.3)",64,4,0,1,3.46,64,0,[0.6315],[None],2005
1e-05,0.0001,400,"(0.4, 0.3, 0.3)",64,4,0,1,3.38,64,0,[0.6599],[None],2006
1e-05,0.0001,400,"(0.4, 0.3, 0.3)",64,4,0,1,3.56,64,0,[0.5871],[None],2007
1e-05,0.0001,400,"(0.4, 0.3, 0.3)",64,4,0,1,3.57,64,1,[0.4825],[None],2008
1e-05,0.0001,400,"(0.4, 0.3, 0.3)",64,4,0,1,4.48,64,0,[0.647],[None],2009
1e-05,0.0001,400,"(0.4, 0.3, 0.3)",64,4,0,1,3.94,64,0,[0.6426],[None],2010
1e-05,0.0001,400,"(0.4, 0.3, 0.3)",64,4,0,1,3.6,64,0,[0.6297],[None],2011
1e-05,0.0001,400,"(0.4, 0.3, 0.3)",64,4,0,1,3.58,64,0,[0.6018],[None],2012
1e-05,0.0001,400,"(0.4, 0.3, 0.3)",64,4,0,3,11.28,192,0,"[0.6698, 0.6973, 0.6375]","[None, None, None]",2013
1e-05,0.0001,400,"(0.4, 0.3, 0.3)",64,4,0,1,4.04,64,0,[0.6781],[None],2014
1e-05,0.0001,400,"(0.4, 0.3, 0.3)",64,4,0,2,7.09,128,0,"[0.6632, 0.6527]","[None, None]",2015
1e-05,0.0001,400,"(0.4, 0.3, 0.3)",64,4,0,2,7.09,128,0,"[0.589, 0.451]","[None, None]",2016
1e-05,0.0001,400,"(0.4, 0.3, 0.3)",64,4,0,1,3.99,64,0,[0.7041],[None],2017
1e-05,0.0001,400,"(0.4, 0.3, 0.3)",64,4,0,2,7.94,128,1,"[0.5896, 0.6804]","[None, None]",2018
1e-05,0.0001,400,"(0.4, 0.3, 0.3)",64,4,0,1,4.1,64,0,[0.5874],[None],2019
1e-05,1e-05,400,"(0.4, 0.3, 0.3)",64,4,0,1,3.55,64,0,[0.697],[None],2000
1e-05,1e-05,400,"(0.4, 0.3, 0.3)",64,4,0,1,3.58,64,0,[0.6782],[None],2001
1e-05,1e-05,400,"(0.4, 0.3, 0.3)",64,4,0,1,3.45,64,1,[0.6466],[None],2002
1e-05,1e-05,400,"(0.4, 0.3, 0.3)",64,4,0,2,7.12,128,1,"[0.653, 0.6002]","[None, None]",2003
1e-05,1e-05,400,"(0.4, 0.3, 0.3)",64,4,0,1,3.43,64,0,[0.737],[None],2004
1e-05,1e-05,400,"(0.4, 0.3, 0.3)",64,4,0,1,3.43,64,0,[0.622],[None],2005
1e-05,1e-05,400,"(0.4, 0.3, 0.3)",64,4,0,1,3.42,64,0,[0.6773],[None],2006
1e-05,1e-05,400,"(0.4, 0.3, 0.3)",64,4,0,1,3.42,64,0,[0.6875],[None],2007
1e-05,1e-05,400,"(0.4, 0.3, 0.3)",64,4,0,1,3.56,64,1,[0.5832],[None],2008
1e-05,1e-05,400,"(0.4, 0.3, 0.3)",64,4,0,1,3.55,64,0,[0.6458],[None],2009
1e-05,1e-05,400,"(0.4, 0.3, 0.3)",64,4,0,1,3.4,64,0,[0.6944],[None],2010
1e-05,1e-05,400,"(0.4, 0.3, 0.3)",64,4,0,1,3.42,64,0,[0.6607],[None],2011
1e-05,1e-05,400,"(0.4, 0.3, 0.3)",64,4,0,2,7.1,128,1,"[0.6833, 0.6305]","[None, None]",2012
1e-05,1e-05,400,"(0.4, 0.3, 0.3)",64,4,0,2,7.19,128,0,"[0.6833, 0.5141]","[None, None]",2013
1e-05,1e-05,400,"(0.4, 0.3, 0.3)",64,4,0,1,3.57,64,0,[0.705],[None],2014
1e-05,1e-05,400,"(0.4, 0.3, 0.3)",64,4,0,2,7.36,128,0,"[0.6057, 0.5423]","[None, None]",2015
1e-05,1e-05,400,"(0.4, 0.3, 0.3)",64,4,0,1,3.63,64,0,[0.6171],[None],2016
1e-05,1e-05,400,"(0.4, 0.3, 0.3)",64,4,0,1,3.61,64,0,[0.7467],[None],2017
1e-05,1e-05,400,"(0.4, 0.3, 0.3)",64,4,0,2,7.44,128,1,"[0.656, 0.5879]","[None, None]",2018
1e-05,1e-05,400,"(0.4, 0.3, 0.3)",64,4,0,1,3.44,64,0,[0.6444],[None],2019
