measure_size,encoder_lr,cost_predictor_lr,rank_warmup_epochs,weights,uncertainty_topk,grad_num,rand_num,phase,used_time,train_size,top-1,val_reg_r2,val_rank_r2,sampling_seed
64,0.0001,1e-05,100,"(0.4, 0.3, 0.3)",64,4,0,1,3.9,64,0,[0.6047],[None],2010
64,0.0001,1e-05,100,"(0.4, 0.3, 0.3)",64,4,0,1,3.43,64,0,[0.6328],[None],2011
64,0.0001,1e-05,100,"(0.4, 0.3, 0.3)",64,4,0,2,7.19,128,0,"[0.5304, 0.4051]","[None, None]",2012
64,0.0001,1e-05,100,"(0.4, 0.3, 0.3)",64,4,0,1,3.44,64,0,[0.6419],[None],2013
64,0.0001,1e-05,100,"(0.4, 0.3, 0.3)",64,4,0,1,3.42,64,0,[0.6418],[None],2014
64,0.0001,1e-05,100,"(0.4, 0.3, 0.3)",64,4,0,2,7.32,128,0,"[0.6078, 0.4461]","[None, None]",2015
64,0.0001,1e-05,100,"(0.4, 0.3, 0.3)",64,4,0,3,11.24,192,0,"[0.5591, 0.3236, 0.1883]","[None, None, None]",2016
64,0.0001,1e-05,100,"(0.4, 0.3, 0.3)",64,4,0,1,3.44,64,0,[0.6676],[None],2017
64,0.0001,1e-05,100,"(0.4, 0.3, 0.3)",64,4,0,2,7.17,128,1,"[0.5633, 0.4257]","[None, None]",2018
64,0.0001,1e-05,100,"(0.4, 0.3, 0.3)",64,4,0,1,3.4,64,0,[0.5854],[None],2019
64,0.0001,1e-05,200,"(0.4, 0.3, 0.3)",64,4,0,1,3.41,64,0,[0.6092],[None],2010
64,0.0001,1e-05,200,"(0.4, 0.3, 0.3)",64,4,0,1,3.4,64,0,[0.6301],[None],2011
64,0.0001,1e-05,200,"(0.4, 0.3, 0.3)",64,4,0,2,7.12,128,1,"[0.5278, 0.4433]","[None, None]",2012
64,0.0001,1e-05,200,"(0.4, 0.3, 0.3)",64,4,0,2,7.11,128,0,"[0.6357, 0.3702]","[None, None]",2013
64,0.0001,1e-05,200,"(0.4, 0.3, 0.3)",64,4,0,1,3.49,64,0,[0.6419],[None],2014
64,0.0001,1e-05,200,"(0.4, 0.3, 0.3)",64,4,0,3,11.01,192,1,"[0.6095, 0.4503, 0.42]","[None, None, None]",2015
64,0.0001,1e-05,200,"(0.4, 0.3, 0.3)",64,4,0,2,7.07,128,0,"[0.5551, 0.3795]","[None, None]",2016
64,0.0001,1e-05,200,"(0.4, 0.3, 0.3)",64,4,0,1,3.4,64,0,[0.6697],[None],2017
64,0.0001,1e-05,200,"(0.4, 0.3, 0.3)",64,4,0,2,7.33,128,1,"[0.5625, 0.4166]","[None, None]",2018
64,0.0001,1e-05,200,"(0.4, 0.3, 0.3)",64,4,0,1,3.4,64,0,[0.5933],[None],2019
