measure_size,scratch,encoder_freeze,encoder_lr,cost_predictor_lr,rank_warmup_epochs,weights,uncertainty_topk,T_mc,grad_num,rand_num,phase,train_size,used_time,top-1,val_reg_r2,val_rank_r2,seed_n,sampling_seed
48,False,False,1e-05,1e-05,0,"(0.3, 0.3, 0.4)",0,20,0,0,3.4,163.2,21.5575,0.45,[0.3676],[None],20,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]"
48,False,False,1e-05,1e-05,0,"(0.3, 0.3, 0.4)",0,20,2,0,3.2,153.6,18.9655,0.5,[0.3676],[None],20,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]"
48,False,False,1e-05,1e-05,0,"(0.3, 0.3, 0.4)",0,20,4,0,3.2,153.6,17.906,0.55,[0.3676],[None],20,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]"
48,False,False,1e-05,1e-05,0,"(0.3, 0.3, 0.4)",48,20,0,0,3.4,163.2,21.619999999999997,0.45,[0.3676],[None],20,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]"
48,False,False,1e-05,1e-05,0,"(0.3, 0.3, 0.4)",48,20,2,0,3.2,153.6,18.7885,0.5,[0.3676],[None],20,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]"
48,False,False,1e-05,1e-05,0,"(0.3, 0.3, 0.4)",48,20,4,0,3.2,153.6,17.9055,0.55,[0.3676],[None],20,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]"
48,False,False,1e-05,1e-05,0,"(0.4, 0.3, 0.3)",0,20,0,0,3.25,156.0,20.779500000000002,0.55,[0.3676],[None],20,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]"
48,False,False,1e-05,1e-05,0,"(0.4, 0.3, 0.3)",0,20,2,0,3.35,160.8,27.145500000000006,0.55,[0.3676],[None],20,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]"
48,False,False,1e-05,1e-05,0,"(0.4, 0.3, 0.3)",0,20,4,0,3.1,148.8,23.201,0.45,[0.3676],[None],20,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]"
48,False,False,1e-05,1e-05,0,"(0.4, 0.3, 0.3)",48,20,0,0,3.25,156.0,19.683500000000002,0.55,[0.3676],[None],20,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]"
48,False,False,1e-05,1e-05,0,"(0.4, 0.3, 0.3)",48,20,2,0,3.35,160.8,20.746000000000002,0.55,[0.3676],[None],20,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]"
48,False,False,1e-05,1e-05,0,"(0.4, 0.3, 0.3)",48,20,4,0,3.1,148.8,17.517500000000002,0.45,[0.3676],[None],20,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]"
48,False,False,1e-05,1e-05,0,"(0.5, 0.2, 0.3)",0,20,0,0,3.25,156.0,19.583999999999996,0.6,[0.3676],[None],20,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]"
