measure_size,scratch,encoder_freeze,encoder_lr,cost_predictor_lr,rank_warmup_epochs,weights,uncertainty_topk,grad_num,rand_num,phase,used_time,train_size,top-1,val_reg_r2,val_rank_r2,sampling_seed
48,False,False,1e-05,1e-05,100,"(1.0, 0.0, 0.0)",64,2,0,1,5.21,48,1,[0.3974],[None],2000
48,False,False,1e-05,1e-05,100,"(1.0, 0.0, 0.0)",64,2,0,20,180.55,960,0,"[0.6304, 0.4969, 0.2639, 0.1244, 0.0509, 0.0705, 0.0255, 0.0052, -0.0505, -0.1934, 0.0105, 0.1012, 0.0371, -0.101, 0.007, -0.0308, -0.0924, -0.1889, -0.0916, 0.1265]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",2001
48,False,False,1e-05,1e-05,100,"(1.0, 0.0, 0.0)",64,2,0,2,10.16,96,1,"[0.4923, 0.4075]","[None, None]",2002
48,False,False,1e-05,1e-05,100,"(1.0, 0.0, 0.0)",64,2,0,1,4.91,48,0,[0.5002],[None],2003
48,False,False,1e-05,1e-05,100,"(1.0, 0.0, 0.0)",64,2,0,1,5.05,48,0,[0.5915],[None],2004
48,False,False,1e-05,1e-05,100,"(1.0, 0.0, 0.0)",64,2,0,2,10.55,96,0,"[0.6048, 0.3556]","[None, None]",2005
48,False,False,1e-05,1e-05,100,"(1.0, 0.0, 0.0)",64,2,0,1,5.02,48,0,[0.5942],[None],2006
48,False,False,1e-05,1e-05,100,"(1.0, 0.0, 0.0)",64,2,0,1,5.02,48,0,[0.6268],[None],2007
48,False,False,1e-05,1e-05,100,"(1.0, 0.0, 0.0)",64,2,0,2,10.17,96,0,"[0.5661, 0.3588]","[None, None]",2008
48,False,False,1e-05,1e-05,100,"(1.0, 0.0, 0.0)",64,2,0,1,5.02,48,0,[0.571],[None],2009
48,False,False,1e-05,1e-05,100,"(1.0, 0.0, 0.0)",64,2,0,1,4.79,48,0,[0.5984],[None],2010
48,False,False,1e-05,1e-05,100,"(1.0, 0.0, 0.0)",64,2,0,1,4.97,48,0,[0.4572],[None],2011
48,False,False,1e-05,1e-05,100,"(1.0, 0.0, 0.0)",64,2,0,3,15.55,144,0,"[0.5661, 0.4009, 0.3972]","[None, None, None]",2012
48,False,False,1e-05,1e-05,100,"(1.0, 0.0, 0.0)",64,2,0,2,10.37,96,0,"[0.5686, 0.3393]","[None, None]",2013
48,False,False,1e-05,1e-05,100,"(1.0, 0.0, 0.0)",64,2,0,1,4.96,48,0,[0.5374],[None],2014
48,False,False,1e-05,1e-05,100,"(1.0, 0.0, 0.0)",64,2,0,1,5.06,48,0,[0.6082],[None],2015
48,False,False,1e-05,1e-05,100,"(1.0, 0.0, 0.0)",64,2,0,2,10.15,96,0,"[0.507, 0.3535]","[None, None]",2016
48,False,False,1e-05,1e-05,100,"(1.0, 0.0, 0.0)",64,2,0,3,15.39,144,0,"[0.6696, 0.3974, 0.3238]","[None, None, None]",2017
48,False,False,1e-05,1e-05,100,"(1.0, 0.0, 0.0)",64,2,0,3,15.33,144,0,"[0.4866, 0.2636, 0.2578]","[None, None, None]",2018
48,False,False,1e-05,1e-05,100,"(1.0, 0.0, 0.0)",64,2,0,2,10.19,96,0,"[0.6014, 0.4219]","[None, None]",2019
