scratch,encoder_freeze,measure_size,encoder_lr,cost_predictor_lr,rank_warmup_epochs,weights,uncertainty_topk,T_mc,grad_num,rand_num,phase,used_time,train_size,top-1,val_reg_r2,val_rank_r2,sampling_seed
False,False,64,1e-05,0.0001,0,"(0.7, 0.3, 0.0)",64,20,2,0,1,3.3,64,0,[0.6977],[None],2000
False,False,64,1e-05,0.0001,0,"(0.7, 0.3, 0.0)",64,20,2,0,1,3.2,64,0,[0.5826],[None],2001
False,False,64,1e-05,0.0001,0,"(0.7, 0.3, 0.0)",64,20,2,0,1,3.2,64,1,[0.695],[None],2002
False,False,64,1e-05,0.0001,0,"(0.7, 0.3, 0.0)",64,20,2,0,2,6.71,128,0,"[0.6664, 0.6502]","[None, None]",2003
False,False,64,1e-05,0.0001,0,"(0.7, 0.3, 0.0)",64,20,2,0,1,3.36,64,0,[0.7097],[None],2004
False,False,64,1e-05,0.0001,0,"(0.7, 0.3, 0.0)",64,20,2,0,1,3.26,64,0,[0.6643],[None],2005
False,False,64,1e-05,0.0001,0,"(0.7, 0.3, 0.0)",64,20,2,0,1,3.25,64,0,[0.6487],[None],2006
False,False,64,1e-05,0.0001,0,"(0.7, 0.3, 0.0)",64,20,2,0,5,18.01,320,0,"[0.6077, 0.5306, 0.5169, 0.4214, 0.4264]","[None, None, None, None, None]",2007
False,False,64,1e-05,0.0001,0,"(0.7, 0.3, 0.0)",64,20,2,0,1,3.26,64,1,[0.4084],[None],2008
False,False,64,1e-05,0.0001,0,"(0.7, 0.3, 0.0)",64,20,2,0,1,3.2,64,0,[0.6435],[None],2009
False,False,64,1e-05,0.0001,0,"(0.7, 0.3, 0.0)",64,20,2,0,1,3.19,64,0,[0.6674],[None],2010
False,False,64,1e-05,0.0001,0,"(0.7, 0.3, 0.0)",64,20,2,0,1,3.23,64,0,[0.653],[None],2011
False,False,64,1e-05,0.0001,0,"(0.7, 0.3, 0.0)",64,20,2,0,1,3.19,64,0,[0.5891],[None],2012
False,False,64,1e-05,0.0001,0,"(0.7, 0.3, 0.0)",64,20,2,0,2,6.89,128,0,"[0.6902, 0.6429]","[None, None]",2013
False,False,64,1e-05,0.0001,0,"(0.7, 0.3, 0.0)",64,20,2,0,4,14.0,256,1,"[0.6797, 0.5329, 0.4852, 0.4167]","[None, None, None, None]",2014
False,False,64,1e-05,0.0001,0,"(0.7, 0.3, 0.0)",64,20,2,0,4,14.12,256,0,"[0.6539, 0.607, 0.5812, 0.512]","[None, None, None, None]",2015
False,False,64,1e-05,0.0001,0,"(0.7, 0.3, 0.0)",64,20,2,0,3,10.43,192,0,"[0.6079, 0.5033, 0.4226]","[None, None, None]",2016
False,False,64,1e-05,0.0001,0,"(0.7, 0.3, 0.0)",64,20,2,0,1,3.19,64,0,[0.716],[None],2017
False,False,64,1e-05,0.0001,0,"(0.7, 0.3, 0.0)",64,20,2,0,2,6.58,128,1,"[0.5947, 0.5734]","[None, None]",2018
False,False,64,1e-05,0.0001,0,"(0.7, 0.3, 0.0)",64,20,2,0,1,3.2,64,0,[0.5953],[None],2019
False,False,64,1e-05,0.0001,100,"(0.7, 0.3, 0.0)",64,20,2,0,1,3.19,64,0,[0.6966],[None],2000
