encoder_freeze,scratch,measure_size,weights,uncertainty_topk,grad_num,rand_num,T_mc,encoder_lr,cost_predictor_lr,rank_warmup_epochs,lambda_pair,margin_scale,lambda_smooth,lambda_infonce,tau,tau_c,phase,train_size,top-1,used_time,val_reg_r2,val_rank_r2,seed_n,sampling_seed
False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.001,0.05,,1.4,89.6,0.2,5.838500000000001,[0.7125],[None],20,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]"
False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.001,0.1,,1.4,89.6,0.2,5.869,[0.7122],[None],20,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]"
False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.01,0.05,,1.35,86.4,0.25,5.6045,[0.7123],[None],20,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]"
False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.01,0.1,,1.1428571428571428,73.14285714285714,0.2857142857142857,4.685714285714285,[0.7114],[None],7,"[2000, 2001, 2002, 2003, 2004, 2005, 2006]"
False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,1e-05,100,2.0,0.3,0.01,0.001,0.05,,1.25,80.0,0.35,5.195,[0.708],[None],20,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]"
False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,1e-05,100,2.0,0.3,0.01,0.001,0.1,,1.25,80.0,0.35,5.1594999999999995,[0.7079],[None],20,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]"
False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,1e-05,100,2.0,0.3,0.01,0.01,0.05,,1.25,80.0,0.35,5.1259999999999994,[0.7095],[None],20,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]"
False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,1e-05,100,2.0,0.3,0.01,0.01,0.1,,1.25,80.0,0.35,5.125,[0.7102],[None],20,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]"
False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,1e-05,100,2.0,0.3,0.01,0.05,0.05,,1.25,80.0,0.3,5.128,[0.711],[None],20,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]"
False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,1e-05,100,2.0,0.3,0.01,0.05,0.1,,1.2,76.8,0.25,4.902,[0.7106],[None],20,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]"
