,encoder_freeze,scratch,measure_size,weights,uncertainty_topk,grad_num,rand_num,T_mc,encoder_lr,cost_predictor_lr,rank_warmup_epochs,lambda_reg,lambda_pair,lambda_infonce,gamma,beta,noise_std,margin_scale,tau,tau_c,feature_predictor_lr,epochs,phase,train_size,top-1,used_time,val_reg_r2,val_rank_r2,sampling_seed
0,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.01,0.01,0.001,0.001,0.3,0.05,,0.0,1000,1,64,0,4.27,[0.7115],[None],2000
1,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.01,0.01,0.001,0.001,0.3,0.05,,0.0,1000,1,64,0,4.11,[0.5822],[None],2001
2,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.01,0.01,0.001,0.001,0.3,0.05,,0.0,1000,1,64,1,4.02,[0.6933],[None],2002
3,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.01,0.01,0.001,0.001,0.3,0.05,,0.0,1000,2,128,1,8.37,"[0.6642, 0.7042]","[None, None]",2003
4,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.01,0.01,0.001,0.001,0.3,0.05,,0.0,1000,1,64,0,4.21,[0.7107],[None],2004
5,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.01,0.01,0.001,0.001,0.3,0.05,,0.0,1000,1,64,0,4.23,[0.6501],[None],2005
6,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.01,0.01,0.001,0.001,0.3,0.05,,0.0,1000,1,64,0,4.24,[0.6643],[None],2006
7,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.01,0.01,0.001,0.001,0.3,0.05,,0.0,1000,1,64,0,4.23,[0.6264],[None],2007
8,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.01,0.01,0.001,0.001,0.3,0.05,,0.0,1000,1,64,1,4.19,[0.4995],[None],2008
9,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.01,0.01,0.001,0.001,0.3,0.05,,0.0,1000,1,64,0,4.19,[0.6422],[None],2009
10,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.01,0.01,0.001,0.001,0.3,0.05,,0.0,1000,1,64,0,4.13,[0.6519],[None],2010
11,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.01,0.01,0.001,0.001,0.3,0.05,,0.0,1000,1,64,0,4.1,[0.6457],[None],2011
12,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.01,0.01,0.001,0.001,0.3,0.05,,0.0,1000,1,64,0,4.03,[0.6304],[None],2012
13,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.01,0.01,0.001,0.001,0.3,0.05,,0.0,1000,2,128,0,8.3,"[0.6801, 0.7066]","[None, None]",2013
14,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.01,0.01,0.001,0.001,0.3,0.05,,0.0,1000,1,64,0,4.03,[0.689],[None],2014
15,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.01,0.01,0.001,0.001,0.3,0.05,,0.0,1000,3,192,0,12.77,"[0.6666, 0.6406, 0.7479]","[None, None, None]",2015
16,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.01,0.01,0.001,0.001,0.3,0.05,,0.0,1000,2,128,0,8.31,"[0.6211, 0.5421]","[None, None]",2016
17,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.01,0.01,0.001,0.001,0.3,0.05,,0.0,1000,1,64,0,4.04,[0.711],[None],2017
18,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.01,0.01,0.001,0.001,0.3,0.05,,0.0,1000,2,128,1,8.3,"[0.6133, 0.6823]","[None, None]",2018
19,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.01,0.01,0.001,0.001,0.3,0.05,,0.0,1000,1,64,0,4.04,[0.6124],[None],2019
20,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.01,0.01,0.001,0.001,0.3,0.1,,0.0,1000,1,64,0,4.03,[0.7101],[None],2000
21,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.01,0.01,0.001,0.001,0.3,0.1,,0.0,1000,1,64,0,4.03,[0.5821],[None],2001
22,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.01,0.01,0.001,0.001,0.3,0.1,,0.0,1000,1,64,1,4.02,[0.6946],[None],2002
23,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.01,0.01,0.001,0.001,0.3,0.1,,0.0,1000,2,128,1,8.33,"[0.6629, 0.7114]","[None, None]",2003
24,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.01,0.01,0.001,0.001,0.3,0.1,,0.0,1000,1,64,0,4.19,[0.7107],[None],2004
25,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.01,0.01,0.001,0.001,0.3,0.1,,0.0,1000,1,64,0,4.17,[0.6479],[None],2005
26,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.01,0.01,0.001,0.001,0.3,0.1,,0.0,1000,1,64,0,4.2,[0.662],[None],2006
