measure_size,scratch,encoder_freeze,encoder_lr,cost_predictor_lr,rank_warmup_epochs,weights,uncertainty_topk,grad_num,rand_num,lambda_pair,lambda_infonce,tau,tau_c,beta,gamma,noise_std,margin_scale,lambda_reg,feature_predictor_lr,epochs,phase,train_size,top-1,used_time,val_reg_r2,seed_n,sampling_seed
32,False,False,1e-05,1e-05,100,"(0.4, 0.3, 0.3)",0,2,0,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,,6.75,230.4,0.15,44.5475,[0.4545],20,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]"
32,False,False,1e-05,1e-05,100,"(0.4, 0.3, 0.3)",0,4,0,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,,5.8,201.6,0.2,31.561500000000002,[0.4545],20,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]"
32,False,False,1e-05,1e-05,100,"(0.4, 0.3, 0.3)",64,4,0,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,,4.55,161.6,0.25,23.8445,[0.4545],20,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]"
32,False,False,1e-05,1e-05,200,"(0.4, 0.3, 0.3)",0,2,0,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,,5.5,192.0,0.25,29.047500000000003,[0.4735],20,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]"
32,False,False,1e-05,1e-05,200,"(0.4, 0.3, 0.3)",0,4,0,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,,5.8,201.6,0.25,30.9,[0.4735],20,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]"
32,False,False,1e-05,1e-05,200,"(0.4, 0.3, 0.3)",64,2,0,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,,6.35,219.2,0.35,36.137,[0.4735],20,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]"
32,False,False,1e-05,1e-05,200,"(0.4, 0.3, 0.3)",64,4,0,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,,6.35,219.2,0.35,36.9185,[0.4735],20,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]"
32,False,False,1e-05,1e-05,300,"(0.4, 0.3, 0.3)",0,2,0,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,,4.75,168.0,0.35,24.7935,[0.4884],20,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]"
32,False,False,1e-05,1e-05,300,"(0.4, 0.3, 0.3)",0,4,0,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,,6.3,217.6,0.4,36.141000000000005,[0.4884],20,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]"
32,False,False,1e-05,1e-05,300,"(0.4, 0.3, 0.3)",64,2,0,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,,4.15,148.8,0.35,16.759,[0.4884],20,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]"
