,measure_size,scratch,encoder_freeze,encoder_lr,cost_predictor_lr,weights,sampling_seed,rank_warmup_epochs,grad_num,rand_num,phase,used_time,train_size,top-1,val_reg_r2,val_rank_r2
0,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2000,0,2,0,6,21.71,288,0,"[0.6989, 0.7449, 0.7217, 0.7188, 0.6964, 0.6835]","[None, None, None, None, None, None]"
1,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2001,0,2,0,7,25.19,336,0,"[0.5645, 0.6685, 0.7139, 0.7217, 0.7301, 0.7334, 0.7684]","[None, None, None, None, None, None, None]"
2,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2002,0,2,0,4,13.54,192,0,"[0.6853, 0.6913, 0.7522, 0.7395]","[None, None, None, None]"
3,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2003,0,2,0,6,21.12,288,0,"[0.636, 0.6492, 0.6809, 0.677, 0.7015, 0.6771]","[None, None, None, None, None, None]"
4,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2004,0,2,0,5,17.2,240,0,"[0.6422, 0.6638, 0.7203, 0.7017, 0.6867]","[None, None, None, None, None]"
5,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2005,0,2,0,2,6.57,96,0,"[0.5984, 0.6693]","[None, None]"
6,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2006,0,2,0,4,13.9,192,0,"[0.6119, 0.693, 0.6875, 0.7073]","[None, None, None, None]"
7,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2007,0,2,0,7,25.82,336,0,"[0.6214, 0.6956, 0.6589, 0.6057, 0.6084, 0.622, 0.5853]","[None, None, None, None, None, None, None]"
8,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2008,0,2,0,5,17.62,240,0,"[0.4547, 0.6739, 0.7312, 0.7273, 0.7109]","[None, None, None, None, None]"
9,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2009,0,2,0,7,25.66,336,0,"[0.6796, 0.6554, 0.6821, 0.6881, 0.7101, 0.6926, 0.684]","[None, None, None, None, None, None, None]"
10,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2010,0,2,0,5,17.16,240,0,"[0.69, 0.706, 0.7227, 0.6972, 0.6972]","[None, None, None, None, None]"
11,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2011,0,2,0,4,13.72,192,0,"[0.6798, 0.7032, 0.7276, 0.7071]","[None, None, None, None]"
12,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2012,0,2,0,2,6.68,96,0,"[0.649, 0.722]","[None, None]"
13,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2013,0,2,0,7,25.25,336,0,"[0.5917, 0.7042, 0.7135, 0.6901, 0.7453, 0.7559, 0.7568]","[None, None, None, None, None, None, None]"
14,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2014,0,2,0,2,6.51,96,0,"[0.6131, 0.5528]","[None, None]"
