,measure_size,scratch,encoder_freeze,encoder_lr,cost_predictor_lr,weights,sampling_seed,rank_warmup_epochs,grad_num,rand_num,lambda_pair,phase,used_time,train_size,top-1,val_reg_r2,val_rank_r2
0,64,False,False,1e-05,0.0001,"(0.4, 0.3, 0.3)",2000,100,4,0,3.0,3,11.03,192,0,"[0.6052, 0.6451, 0.6276]","[None, None, None]"
1,64,False,False,1e-05,0.0001,"(0.4, 0.3, 0.3)",2001,100,4,0,3.0,1,3.29,64,0,[0.5482],[None]
2,64,False,False,1e-05,0.0001,"(0.4, 0.3, 0.3)",2002,100,4,0,3.0,2,6.99,128,0,"[0.6397, 0.6558]","[None, None]"
3,64,False,False,1e-05,0.0001,"(0.4, 0.3, 0.3)",2003,100,4,0,3.0,2,6.92,128,0,"[0.6177, 0.6403]","[None, None]"
4,64,False,False,1e-05,0.0001,"(0.4, 0.3, 0.3)",2004,100,4,0,3.0,3,10.5,192,0,"[0.5467, 0.6061, 0.6163]","[None, None, None]"
5,64,False,False,1e-05,0.0001,"(0.4, 0.3, 0.3)",2005,100,4,0,3.0,2,6.76,128,0,"[0.6795, 0.668]","[None, None]"
6,64,False,False,1e-05,0.0001,"(0.4, 0.3, 0.3)",2006,100,4,0,3.0,1,3.27,64,0,[0.5933],[None]
7,64,False,False,1e-05,0.0001,"(0.4, 0.3, 0.3)",2007,100,4,0,3.0,3,10.52,192,0,"[0.5085, 0.6968, 0.684]","[None, None, None]"
8,64,False,False,1e-05,0.0001,"(0.4, 0.3, 0.3)",2008,100,4,0,3.0,2,7.05,128,0,"[0.6001, 0.6632]","[None, None]"
9,64,False,False,1e-05,0.0001,"(0.4, 0.3, 0.3)",2009,100,4,0,3.0,2,6.8,128,0,"[0.6655, 0.666]","[None, None]"
10,64,False,False,1e-05,0.0001,"(0.4, 0.3, 0.3)",2010,100,4,0,3.0,4,14.32,256,0,"[0.5331, 0.6451, 0.5969, 0.6424]","[None, None, None, None]"
11,64,False,False,1e-05,0.0001,"(0.4, 0.3, 0.3)",2011,100,4,0,3.0,4,14.36,256,0,"[0.6454, 0.6567, 0.6492, 0.6977]","[None, None, None, None]"
12,64,False,False,1e-05,0.0001,"(0.4, 0.3, 0.3)",2012,100,4,0,3.0,3,10.45,192,0,"[0.6272, 0.6265, 0.6526]","[None, None, None]"
13,64,False,False,1e-05,0.0001,"(0.4, 0.3, 0.3)",2013,100,4,0,3.0,2,6.85,128,0,"[0.5578, 0.5938]","[None, None]"
14,64,False,False,1e-05,0.0001,"(0.4, 0.3, 0.3)",2014,100,4,0,3.0,3,10.52,192,0,"[0.5864, 0.6704, 0.6633]","[None, None, None]"
15,64,False,False,1e-05,0.0001,"(0.4, 0.3, 0.3)",2015,100,4,0,3.0,4,14.27,256,0,"[0.6289, 0.6527, 0.6159, 0.6256]","[None, None, None, None]"
16,64,False,False,1e-05,0.0001,"(0.4, 0.3, 0.3)",2016,100,4,0,3.0,3,10.44,192,0,"[0.6079, 0.6657, 0.6511]","[None, None, None]"
17,64,False,False,1e-05,0.0001,"(0.4, 0.3, 0.3)",2017,100,4,0,3.0,2,6.86,128,0,"[0.5212, 0.6844]","[None, None]"
18,64,False,False,1e-05,0.0001,"(0.4, 0.3, 0.3)",2018,100,4,0,3.0,3,10.4,192,0,"[0.5903, 0.5804, 0.6047]","[None, None, None]"
19,64,False,False,1e-05,0.0001,"(0.4, 0.3, 0.3)",2019,100,4,0,3.0,2,6.88,128,0,"[0.6081, 0.663]","[None, None]"
