encoder_freeze,scratch,measure_size,weights,uncertainty_topk,grad_num,rand_num,T_mc,encoder_lr,cost_predictor_lr,rank_warmup_epochs,lambda_reg,lambda_pair,lambda_infonce,gamma,beta,noise_std,margin_scale,tau,tau_c,feature_predictor_lr,epochs,phase,train_size,top-1,used_time,val_reg_r2,val_rank_r2,seed_n,sampling_seed
False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,1e-05,100,0.01,2.0,0.01,0.01,0.01,0.001,0.3,0.05,,0.0,1000,2.75,176.0,0.0,11.9005,"[0.6302, 0.5911, 0.5974, 0.5978]","[None, None, None, None]",20,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]"
False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,1e-05,100,0.01,2.0,0.1,0.01,0.01,0.001,0.3,0.05,,0.0,1000,2.8,179.2,0.0,12.0545,"[0.5578, 0.5605, 0.5845, 0.5391]","[None, None, None, None]",20,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]"
False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,1e-05,100,0.01,2.0,0.2,0.01,0.01,0.001,0.3,0.05,,0.0,1000,3.05,195.2,0.0,13.34,"[0.4074, 0.4662, 0.4997, 0.4633, 0.4443]","[None, None, None, None, None]",20,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]"
False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,1e-05,100,0.01,2.0,0.3,0.01,0.01,0.001,0.3,0.05,,0.0,1000,2.95,188.8,0.0,13.017,"[0.1634, 0.29, 0.379, 0.3332, 0.3246]","[None, None, None, None, None]",20,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]"
False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,1e-05,100,0.01,3.0,0.01,0.01,0.01,0.001,0.3,0.05,,0.0,1000,2.65,169.6,0.0,11.379999999999999,"[0.4364, 0.3065]","[None, None]",20,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]"
False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,1e-05,100,0.01,3.0,0.1,0.01,0.01,0.001,0.3,0.05,,0.0,1000,2.85,182.4,0.0,12.458,"[0.1239, 0.0842, 0.171, 0.015]","[None, None, None, None]",20,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]"
False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,1e-05,100,0.01,3.0,0.2,0.01,0.01,0.001,0.3,0.05,,0.0,1000,2.85,182.4,0.0,12.363,"[-0.3989, -0.3399, -0.3834]","[None, None, None]",20,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]"
False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,1e-05,100,0.01,3.0,0.3,0.01,0.01,0.001,0.3,0.05,,0.0,1000,3.05,195.2,0.0,13.4495,"[-0.9654, -1.0157, -0.9075, -0.9145]","[None, None, None, None]",20,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]"
False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.01,0.01,0.01,0.001,0.3,0.05,,0.0,1000,2.55,163.2,0.0,11.0535,"[0.6046, 0.655, 0.6541]","[None, None, None]",20,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]"
False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.1,0.01,0.01,0.001,0.3,0.05,,0.0,1000,3.1,198.4,0.0,13.7165,"[0.5809, 0.6277, 0.6096, 0.6675]","[None, None, None, None]",20,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]"
