weights,phase,used_time,train_size,val_reg_r2,val_rank_r2,sampling_seed
"(0.3, 0.0, 0.7)",4,42.39,256,"[0.7134, 0.6951, 0.4022, 0.3625]","[0.8184, 0.8754, 0.8683, 0.8835]",2023
"(0.3, 0.0, 0.7)",2,20.2,128,"[0.7082, 0.6937]","[0.8558, 0.8805]",2024
"(0.3, 0.0, 0.7)",4,42.18,256,"[0.6896, 0.5774, 0.4759, 0.3107]","[0.8422, 0.8599, 0.8753, 0.8871]",2025
"(0.3, 0.1, 0.6)",3,31.38,192,"[0.7134, 0.6103, 0.6003]","[0.8184, 0.879, 0.8859]",2023
"(0.3, 0.1, 0.6)",2,20.6,128,"[0.7082, 0.7791]","[0.8558, 0.8819]",2024
"(0.3, 0.1, 0.6)",5,54.57,320,"[0.6896, 0.7066, 0.5885, 0.435, 0.3239]","[0.8422, 0.8672, 0.8794, 0.8863, 0.8831]",2025
"(0.3, 0.2, 0.5)",3,30.51,192,"[0.7134, 0.6628, 0.5207]","[0.8184, 0.873, 0.8829]",2023
"(0.3, 0.2, 0.5)",2,20.2,128,"[0.7082, 0.72]","[0.8558, 0.88]",2024
"(0.3, 0.2, 0.5)",8,92.45,512,"[0.6896, 0.6208, 0.664, 0.5442, 0.5175, 0.3728, 0.2943, 0.4179]","[0.8422, 0.8686, 0.8888, 0.8866, 0.8949, 0.9026, 0.9052, 0.9046]",2025
"(0.3, 0.3, 0.4)",3,31.24,192,"[0.7134, 0.6733, 0.6102]","[0.8184, 0.8718, 0.8843]",2023
"(0.3, 0.3, 0.4)",2,20.6,128,"[0.7082, 0.7125]","[0.8558, 0.883]",2024
"(0.3, 0.3, 0.4)",6,65.75,384,"[0.6896, 0.6613, 0.6477, 0.5636, 0.3185, 0.2134]","[0.8422, 0.8706, 0.8916, 0.9011, 0.8974, 0.896]",2025
"(0.3, 0.4, 0.3)",3,30.53,192,"[0.7134, 0.6552, 0.587]","[0.8184, 0.8695, 0.8836]",2023
"(0.3, 0.4, 0.3)",2,20.03,128,"[0.7082, 0.7061]","[0.8558, 0.8819]",2024
"(0.3, 0.4, 0.3)",6,65.29,384,"[0.6896, 0.7285, 0.7213, 0.5109, 0.4392, 0.2199]","[0.8422, 0.8829, 0.8905, 0.8988, 0.9016, 0.9023]",2025
"(0.3, 0.5, 0.2)",3,31.07,192,"[0.7134, 0.7301, 0.7332]","[0.8184, 0.8714, 0.8835]",2023
"(0.3, 0.5, 0.2)",2,20.56,128,"[0.7082, 0.7395]","[0.8558, 0.8868]",2024
"(0.3, 0.5, 0.2)",8,92.65,512,"[0.6896, 0.7605, 0.7284, 0.5897, 0.4763, 0.1794, 0.1605, -0.0501]","[0.8422, 0.8771, 0.8802, 0.8792, 0.8838, 0.8837, 0.8934, 0.8841]",2025
"(0.3, 0.6, 0.1)",5,54.79,320,"[0.7134, 0.688, 0.755, 0.6057, 0.469]","[0.8184, 0.8688, 0.8784, 0.899, 0.8967]",2023
"(0.3, 0.6, 0.1)",2,20.55,128,"[0.7082, 0.7594]","[0.8558, 0.8822]",2024
"(0.3, 0.6, 0.1)",5,54.55,320,"[0.6896, 0.7771, 0.7414, 0.6514, 0.5485]","[0.8422, 0.8682, 0.8854, 0.897, 0.9024]",2025
"(0.3, 0.7, 0.0)",9,111.87,576,"[0.7134, 0.6622, 0.8063, 0.7056, 0.558, 0.4033, 0.2655, 0.0982, -0.0426]","[0.8184, 0.8605, 0.887, 0.8916, 0.8952, 0.9048, 0.9057, 0.9098, 0.9111]",2023
