measure_size,weights,uncertainty_topk,grad_num,rand_num,phase,used_time,train_size,val_reg_r2,val_rank_r2,sampling_seed
64,"(0.4, 0.3, 0.3)",64,4,0,2,6.99,128,"[0.3056, 0.3565]","[None, None]",2000
64,"(0.4, 0.3, 0.3)",64,4,0,1,3.36,64,[0.0523],[None],2001
64,"(0.4, 0.3, 0.3)",64,4,0,1,3.34,64,[0.3126],[None],2002
64,"(0.4, 0.3, 0.3)",64,4,0,5,19.08,320,"[0.1517, 0.2154, 0.0794, 0.1553, 0.2325]","[None, None, None, None, None]",2003
64,"(0.4, 0.3, 0.3)",64,4,0,5,19.1,320,"[0.2653, 0.3989, 0.2903, 0.2583, 0.232]","[None, None, None, None, None]",2004
64,"(0.4, 0.3, 0.3)",64,4,0,2,7.2,128,"[0.2376, 0.2711]","[None, None]",2005
64,"(0.4, 0.3, 0.3)",64,4,0,1,3.35,64,[0.1482],[None],2006
64,"(0.4, 0.3, 0.3)",64,4,0,6,24.19,384,"[0.3776, 0.2663, 0.1424, 0.221, 0.0767, 0.1645]","[None, None, None, None, None, None]",2007
64,"(0.4, 0.3, 0.3)",64,4,0,2,7.07,128,"[0.2444, 0.3806]","[None, None]",2008
64,"(0.4, 0.3, 0.3)",64,4,0,5,19.02,320,"[0.3875, 0.3226, 0.2703, 0.2692, 0.1699]","[None, None, None, None, None]",2009
