measure_size,weights,uncertainty_topk,grad_num,rand_num,phase,used_time,train_size,val_reg_r2,val_rank_r2,sampling_seed
64,"(0.4, 0.3, 0.3)",64,2,0,3,10.71,192,"[0.7609, 0.576, 0.4337]","[None, None, None]",2000
64,"(0.4, 0.3, 0.3)",64,2,0,2,6.94,128,"[0.7088, 0.6468]","[None, None]",2001
64,"(0.4, 0.3, 0.3)",64,2,0,1,3.36,64,[0.7988],[None],2002
64,"(0.4, 0.3, 0.3)",64,2,0,3,10.61,192,"[0.7705, 0.5529, 0.4678]","[None, None, None]",2003
64,"(0.4, 0.3, 0.3)",64,2,0,2,6.9,128,"[0.7366, 0.5121]","[None, None]",2004
64,"(0.4, 0.3, 0.3)",64,2,0,2,7.03,128,"[0.7421, 0.6613]","[None, None]",2005
64,"(0.4, 0.3, 0.3)",64,2,0,5,18.79,320,"[0.7234, 0.7541, 0.5218, 0.3778, 0.4387]","[None, None, None, None, None]",2006
64,"(0.4, 0.3, 0.3)",64,2,0,4,14.58,256,"[0.703, 0.7285, 0.4071, 0.2314]","[None, None, None, None]",2007
64,"(0.4, 0.3, 0.3)",64,4,0,3,10.62,192,"[0.7609, 0.3829, 0.4567]","[None, None, None]",2000
64,"(0.4, 0.3, 0.3)",64,4,0,2,6.99,128,"[0.7088, 0.6631]","[None, None]",2001
64,"(0.4, 0.3, 0.3)",64,4,0,1,3.44,64,[0.7988],[None],2002
64,"(0.4, 0.3, 0.3)",64,4,0,3,10.81,192,"[0.7705, 0.6272, 0.5206]","[None, None, None]",2003
64,"(0.4, 0.3, 0.3)",64,4,0,2,7.16,128,"[0.7366, 0.5059]","[None, None]",2004
64,"(0.4, 0.3, 0.3)",64,4,0,2,7.17,128,"[0.7421, 0.6538]","[None, None]",2005
64,"(0.4, 0.3, 0.3)",64,4,0,4,14.87,256,"[0.7234, 0.7435, 0.5405, 0.5385]","[None, None, None, None]",2006
64,"(0.4, 0.3, 0.3)",64,4,0,3,10.7,192,"[0.703, 0.7267, 0.4161]","[None, None, None]",2007
64,"(0.3, 0.3, 0.4)",64,2,0,2,7.08,128,"[0.7609, 0.5049]","[None, None]",2000
64,"(0.3, 0.3, 0.4)",64,2,0,2,6.88,128,"[0.7088, 0.6582]","[None, None]",2001
64,"(0.3, 0.3, 0.4)",64,2,0,1,3.34,64,[0.7988],[None],2002
64,"(0.3, 0.3, 0.4)",64,2,0,3,10.63,192,"[0.7705, 0.4784, 0.4386]","[None, None, None]",2003
64,"(0.3, 0.3, 0.4)",64,2,0,3,10.61,192,"[0.7366, 0.5116, 0.5436]","[None, None, None]",2004
64,"(0.3, 0.3, 0.4)",64,2,0,3,10.74,192,"[0.7421, 0.6148, 0.5037]","[None, None, None]",2005
64,"(0.3, 0.3, 0.4)",64,2,0,5,18.84,320,"[0.7234, 0.7567, 0.5645, 0.4656, 0.3726]","[None, None, None, None, None]",2006
64,"(0.3, 0.3, 0.4)",64,2,0,3,10.61,192,"[0.703, 0.7303, 0.4671]","[None, None, None]",2007
64,"(0.3, 0.3, 0.4)",64,4,0,3,10.58,192,"[0.7609, 0.5275, 0.4474]","[None, None, None]",2000
64,"(0.3, 0.3, 0.4)",64,4,0,2,6.92,128,"[0.7088, 0.6555]","[None, None]",2001
64,"(0.3, 0.3, 0.4)",64,4,0,1,3.33,64,[0.7988],[None],2002
64,"(0.3, 0.3, 0.4)",64,4,0,3,10.6,192,"[0.7705, 0.5157, 0.4647]","[None, None, None]",2003
64,"(0.3, 0.3, 0.4)",64,4,0,3,10.58,192,"[0.7366, 0.4663, 0.5675]","[None, None, None]",2004
64,"(0.3, 0.3, 0.4)",64,4,0,3,10.88,192,"[0.7421, 0.6236, 0.4497]","[None, None, None]",2005
64,"(0.3, 0.3, 0.4)",64,4,0,4,14.62,256,"[0.7234, 0.7088, 0.5862, 0.5244]","[None, None, None, None]",2006
64,"(0.3, 0.3, 0.4)",64,4,0,3,10.61,192,"[0.703, 0.7308, 0.3744]","[None, None, None]",2007
