measure_size,weights,uncertainty_topk,grad_num,rand_num,phase,used_time,train_size,val_reg_r2,val_rank_r2,sampling_seed,top_k
64,"(0.4, 0.3, 0.3)",64,4,0,3,11.65,192,"[0.2827, 0.2878, 0.2042]","[None, None, None]",2000,1
64,"(0.4, 0.3, 0.3)",64,4,0,2,7.97,128,"[0.1374, 0.2314]","[None, None]",2001,1
64,"(0.4, 0.3, 0.3)",64,4,0,2,7.6,128,"[0.402, 0.2709]","[None, None]",2002,1
64,"(0.4, 0.3, 0.3)",64,4,0,5,20.62,320,"[0.306, 0.3124, 0.0328, 0.1088, 0.1193]","[None, None, None, None, None]",2003,1
64,"(0.4, 0.3, 0.3)",64,4,0,5,20.84,320,"[0.3466, 0.3137, 0.1426, 0.1832, 0.1988]","[None, None, None, None, None]",2004,1
64,"(0.4, 0.3, 0.3)",64,4,0,3,12.3,192,"[0.2511, 0.2118, 0.2724]","[None, None, None]",2005,1
64,"(0.4, 0.3, 0.3)",64,4,0,2,7.89,128,"[0.1611, 0.302]","[None, None]",2006,1
64,"(0.4, 0.3, 0.3)",64,4,0,5,20.35,320,"[0.4211, 0.3316, 0.2656, 0.1415, 0.0916]","[None, None, None, None, None]",2007,1
64,"(0.4, 0.3, 0.3)",64,4,0,3,11.46,192,"[0.2704, 0.3163, 0.1416]","[None, None, None]",2008,1
64,"(0.4, 0.3, 0.3)",64,4,0,3,11.07,192,"[0.4444, 0.3661, 0.3339]","[None, None, None]",2009,1
