measure_size,phase,used_time,train_size,val_reg_r2,val_rank_r2,sampling_seed
64,2,3.57,128,"[0.4547, 0.489]",[],2000
64,3,4.13,192,"[0.5433, 0.5636, 0.6712]",[],2001
64,6,7.33,384,"[0.6255, 0.4681, 0.5927, 0.6718, 0.6482, 0.6609]",[],2002
64,3,4.18,192,"[0.5862, 0.4752, 0.5982]",[],2003
64,4,5.14,256,"[0.4647, 0.5131, 0.5286, 0.4733]",[],2004
64,4,5.17,256,"[0.3901, 0.407, 0.4877, 0.5069]",[],2005
64,1,2.96,64,[0.5244],[],2006
64,2,3.5,128,"[0.4921, 0.577]",[],2007
64,2,3.47,128,"[0.4989, 0.6216]",[],2008
64,3,4.16,192,"[0.3666, 0.5786, 0.5925]",[],2009
64,1,3.02,64,[0.379],[],2010
64,2,3.4,128,"[0.5684, 0.5889]",[],2011
64,5,6.14,320,"[0.5625, 0.5577, 0.5735, 0.6169, 0.5622]",[],2012
64,3,4.19,192,"[0.3752, 0.378, 0.4312]",[],2013
64,1,2.95,64,[0.5021],[],2014
64,5,6.09,320,"[0.3963, 0.547, 0.5749, 0.6809, 0.6142]",[],2015
64,2,3.49,128,"[0.5186, 0.4875]",[],2016
64,3,4.15,192,"[0.5255, 0.6076, 0.6415]",[],2017
64,3,4.21,192,"[0.4762, 0.5517, 0.6144]",[],2018
64,3,4.19,192,"[0.5331, 0.462, 0.5645]",[],2019
