measure_size,phase,used_time,train_size,val_reg_r2,val_rank_r2,sampling_seed
64,1,2.99,64,[0.571],[],2000
64,4,5.26,256,"[0.6434, 0.5924, 0.5613, 0.6349]",[],2001
64,2,3.64,128,"[0.4126, 0.5606]",[],2002
64,2,3.6,128,"[0.5806, 0.5783]",[],2003
64,2,3.52,128,"[0.4923, 0.5771]",[],2004
64,2,3.53,128,"[0.5476, 0.5741]",[],2005
64,2,3.5,128,"[0.5533, 0.5627]",[],2006
64,2,3.57,128,"[0.4007, 0.627]",[],2007
64,11,16.99,704,"[0.5658, 0.4738, 0.6431, 0.611, 0.5232, 0.5887, 0.6291, 0.6948, 0.6907, 0.6899, 0.6769]",[],2008
64,3,4.28,192,"[0.577, 0.5027, 0.5919]",[],2009
64,1,3.04,64,[0.63],[],2010
64,1,3.02,64,[0.6334],[],2011
64,4,5.23,256,"[0.4191, 0.5491, 0.5625, 0.5709]",[],2012
64,2,3.55,128,"[0.4745, 0.5474]",[],2013
64,4,5.31,256,"[0.3741, 0.573, 0.6532, 0.6503]",[],2014
64,2,3.53,128,"[0.5239, 0.5645]",[],2015
64,3,4.27,192,"[0.5505, 0.5214, 0.4497]",[],2016
64,3,4.27,192,"[0.6056, 0.5081, 0.6289]",[],2017
64,1,2.96,64,[0.466],[],2018
64,3,4.27,192,"[0.4756, 0.5376, 0.5716]",[],2019
